asset_id,table,path,exists,size_bytes,method,checksum_recorded,checksum_actual,ok
figure_00001,figure_asset,Output/figures/review/plot_treed_exclusion_map.png,1,255284,full_file,488a134ce2711f41ffe5209d6b755449e1e65d73b4bbe2b178706e90cffd36cc,488a134ce2711f41ffe5209d6b755449e1e65d73b4bbe2b178706e90cffd36cc,1
figure_00002,figure_asset,Output/figures/review/gc_total_veg_with_gauge_context.png,1,499852,full_file,fe16c6085d11ad9502abeb66104691dea7faab5b0fe4dec2376c756bf931bd04,fe16c6085d11ad9502abeb66104691dea7faab5b0fe4dec2376c756bf931bd04,1
figure_00003,figure_asset,Output/figures/review/inundation_with_gauge_context.png,1,329504,full_file,372b86e49e9f4413e35fef6a632e78546217eb3e9c1a58d0aa80f4e68819ae9a,372b86e49e9f4413e35fef6a632e78546217eb3e9c1a58d0aa80f4e68819ae9a,1
figure_00004,figure_asset,Output/figures/review/gauge_flow_by_station_overview.png,1,268964,full_file,f9868de9d55131f022f289880ee94c27e5d83734d07c47d8c8d1ce9c7b9ea84c,f9868de9d55131f022f289880ee94c27e5d83734d07c47d8c8d1ce9c7b9ea84c,1
figure_00005,figure_asset,Output/figures/review/gauge_data_completeness_overview.png,1,91121,full_file,73d75859cba6d13596e67e417569daf810622b08802e0363fdd620358bf1cbb2,73d75859cba6d13596e67e417569daf810622b08802e0363fdd620358bf1cbb2,1
figure_00006,figure_asset,Output/figures/review/dashboard_gauge_integration_prototype.png,1,144726,full_file,7fe34fa63ee1d88990c1c752e459adc0a1b476695df838e5cbbc7293cbe00caf,7fe34fa63ee1d88990c1c752e459adc0a1b476695df838e5cbbc7293cbe00caf,1
figure_00007,figure_asset,Output/figures/review/matched_year_inundation_comparison.png,1,142340,full_file,4e651964cb2d542248bf360f1393da7034ebbfd51cfa1524e496fcb230b5e6ba,4e651964cb2d542248bf360f1393da7034ebbfd51cfa1524e496fcb230b5e6ba,1
figure_00008,figure_asset,Output/figures/review/mer_metric_summary_review.png,1,185070,full_file,c56057d6871bd4758eef48cbf43dbbfc71f5ef2fffe1567e808fee3123e2ee5c,c56057d6871bd4758eef48cbf43dbbfc71f5ef2fffe1567e808fee3123e2ee5c,1
figure_00009,figure_asset,Output/figures/review/gauge_completeness_by_gauge_main_deck.png,1,84572,full_file,a9c5f64e232bfe3d24f1f8ab911749063773a1abdea00ad82a0371e41b2bb538,a9c5f64e232bfe3d24f1f8ab911749063773a1abdea00ad82a0371e41b2bb538,1
figure_00010,figure_asset,Output/figures/review/kingsford_ratio_context_main_deck.png,1,321060,full_file,059887a7d4caaa1ac69d7102d02bfb62794ae3aab186bfe8bdaf815c9c5c4222,059887a7d4caaa1ac69d7102d02bfb62794ae3aab186bfe8bdaf815c9c5c4222,1
figure_00011,figure_asset,Output/figures/review/mer_vs_annual_inundation_change_comparison.png,1,443053,full_file,4d74409aa38ee1b6d9e2754d62bee8060a644596bff46bd0dd02f0fc16c894c4,4d74409aa38ee1b6d9e2754d62bee8060a644596bff46bd0dd02f0fc16c894c4,1
figure_00012,figure_asset,Output/figures/review/mer_change_result_main_deck.png,1,347101,full_file,ab0a7f79d82ea2435c8bfc57b354938e9cb9d3b2cbf6ef03c7332f3d56595faf,ab0a7f79d82ea2435c8bfc57b354938e9cb9d3b2cbf6ef03c7332f3d56595faf,1
figure_00013,figure_asset,Output/figures/review/inundation_with_gauge_context_main_deck.png,1,255881,full_file,e4ef49fd4c86c0e198c309ef9d8bac8f17d3cb565c6aff398d5ffb11b4625777,e4ef49fd4c86c0e198c309ef9d8bac8f17d3cb565c6aff398d5ffb11b4625777,1
figure_00014,figure_asset,Output/figures/review/candidate_dashboard_set_for_review_updated.png,1,136154,full_file,6dc8b9663279291122d3bcc35a6f2ae768b03a0d641c7e7ddd96fbda6e308e45,6dc8b9663279291122d3bcc35a6f2ae768b03a0d641c7e7ddd96fbda6e308e45,1
figure_00015,figure_asset,Output/figures/maps/modis_ground_cover/modis_scale_context_map.png,1,626286,full_file,3595ffe3cd6a3c214ee346366572416c97a31542537b6b411b46bc70394c2b50,3595ffe3cd6a3c214ee346366572416c97a31542537b6b411b46bc70394c2b50,1
figure_00016,figure_asset,Output/figures/maps/modis_ground_cover/modis_rgb_2001_01.png,1,1159939,full_file,8f47959f461b9daabf0c614e84a9f36b380fb548e9ab7e53b84983dabb384510,8f47959f461b9daabf0c614e84a9f36b380fb548e9ab7e53b84983dabb384510,1
figure_00017,figure_asset,Output/figures/maps/modis_ground_cover/modis_bare_pct_2001_01.png,1,36298,full_file,b4f01bdc784a5715afa80dbdb3757353fa6d6df348a8718a486f1f8d2c544c52,b4f01bdc784a5715afa80dbdb3757353fa6d6df348a8718a486f1f8d2c544c52,1
figure_00018,figure_asset,Output/figures/maps/modis_ground_cover/modis_pv_pct_2001_01.png,1,41554,full_file,5e7ab5fed58a4d7afb7d9158c354236b3ca3bc316caea94ca03bc3c44cb7de68,5e7ab5fed58a4d7afb7d9158c354236b3ca3bc316caea94ca03bc3c44cb7de68,1
figure_00019,figure_asset,Output/figures/maps/modis_ground_cover/modis_npv_pct_2001_01.png,1,38187,full_file,aec1e56fb50282c0bc90ae17d5a3bd0ff4862d51afc131aa5ad194fc7b3a0b93,aec1e56fb50282c0bc90ae17d5a3bd0ff4862d51afc131aa5ad194fc7b3a0b93,1
figure_00020,figure_asset,Output/figures/maps/modis_ground_cover/modis_total_veg_pct_2001_01.png,1,37219,full_file,d0571c1f723227c30d0ef893992051146083ba4c362ec0e212cb09f5538fc835,d0571c1f723227c30d0ef893992051146083ba4c362ec0e212cb09f5538fc835,1
figure_00021,figure_asset,Output/figures/maps/modis_ground_cover/modis_rgb_2010_01.png,1,1230571,full_file,8346756a799e89400da07c005282c9a27716139e46436a4b428226b4da6a7607,8346756a799e89400da07c005282c9a27716139e46436a4b428226b4da6a7607,1
figure_00022,figure_asset,Output/figures/maps/modis_ground_cover/modis_bare_pct_2010_01.png,1,37739,full_file,253afc0556bf8f3259b0d621b95ba4d4e2e5b585187e1015dcec287a57f17e8f,253afc0556bf8f3259b0d621b95ba4d4e2e5b585187e1015dcec287a57f17e8f,1
figure_00023,figure_asset,Output/figures/maps/modis_ground_cover/modis_pv_pct_2010_01.png,1,44203,full_file,07432491a9d390c76765a39ef020dbc244a85a1456f8388dbe75a134f0a7c760,07432491a9d390c76765a39ef020dbc244a85a1456f8388dbe75a134f0a7c760,1
figure_00024,figure_asset,Output/figures/maps/modis_ground_cover/modis_npv_pct_2010_01.png,1,38302,full_file,1953d7c1c5461f417c524197457dbc619978ce9fad08a5bf2b6a322a182bf57f,1953d7c1c5461f417c524197457dbc619978ce9fad08a5bf2b6a322a182bf57f,1
figure_00025,figure_asset,Output/figures/maps/modis_ground_cover/modis_total_veg_pct_2010_01.png,1,37992,full_file,af7f0e57ffd8fe23ede498866a39bf310f5b67905e7b21b14354af1446ab4686,af7f0e57ffd8fe23ede498866a39bf310f5b67905e7b21b14354af1446ab4686,1
figure_00026,figure_asset,Output/figures/maps/modis_ground_cover/modis_rgb_2015_01.png,1,1207766,full_file,d529a51ad2095ca1bcb1157cf386bd63a3555f8d2817b8199129cb39b0f0e64f,d529a51ad2095ca1bcb1157cf386bd63a3555f8d2817b8199129cb39b0f0e64f,1
figure_00027,figure_asset,Output/figures/maps/modis_ground_cover/modis_bare_pct_2015_01.png,1,37302,full_file,49d21652fbc2e5a1569eec91020e957c9b0d053241ac703800b8e5d0c490bde8,49d21652fbc2e5a1569eec91020e957c9b0d053241ac703800b8e5d0c490bde8,1
figure_00028,figure_asset,Output/figures/maps/modis_ground_cover/modis_pv_pct_2015_01.png,1,43931,full_file,7e458469b025137a1bce467a3ae49c24373673f044217adcf52d76fc34cc3d5a,7e458469b025137a1bce467a3ae49c24373673f044217adcf52d76fc34cc3d5a,1
figure_00029,figure_asset,Output/figures/maps/modis_ground_cover/modis_npv_pct_2015_01.png,1,38610,full_file,a0d1f9485c8dde5442be163eb8c227f8fbe4a504d586f300bdde22079f4e2c88,a0d1f9485c8dde5442be163eb8c227f8fbe4a504d586f300bdde22079f4e2c88,1
figure_00030,figure_asset,Output/figures/maps/modis_ground_cover/modis_total_veg_pct_2015_01.png,1,37547,full_file,6e4358a9d1976e691239dcbe4a3be9d32ebb4f1c04b0154f64270e0b0cf23629,6e4358a9d1976e691239dcbe4a3be9d32ebb4f1c04b0154f64270e0b0cf23629,1
figure_00031,figure_asset,Output/figures/maps/modis_ground_cover/modis_rgb_2019_07.png,1,1306499,full_file,b128dd0828e2f3c0e763696d69c0417127bbe8bbc42149a33fa803f08ed735a2,b128dd0828e2f3c0e763696d69c0417127bbe8bbc42149a33fa803f08ed735a2,1
figure_00032,figure_asset,Output/figures/maps/modis_ground_cover/modis_bare_pct_2019_07.png,1,40217,full_file,9edc3e143aad9f5f97d024f9d9240fd9a3c6a901e03ae609dd4b7e27b3c6b83e,9edc3e143aad9f5f97d024f9d9240fd9a3c6a901e03ae609dd4b7e27b3c6b83e,1
figure_00033,figure_asset,Output/figures/maps/modis_ground_cover/modis_pv_pct_2019_07.png,1,36597,full_file,7fbd0162a86d2ec6195d254f6347a665aed191ae3f88955bb23638b5342c9008,7fbd0162a86d2ec6195d254f6347a665aed191ae3f88955bb23638b5342c9008,1
figure_00034,figure_asset,Output/figures/maps/modis_ground_cover/modis_npv_pct_2019_07.png,1,37430,full_file,58f4642db8d07ecdc76eb5c36aabeccbc19de1f1c05aa9fb4a2651225651ebd9,58f4642db8d07ecdc76eb5c36aabeccbc19de1f1c05aa9fb4a2651225651ebd9,1
figure_00035,figure_asset,Output/figures/maps/modis_ground_cover/modis_total_veg_pct_2019_07.png,1,41112,full_file,23955750b4434864a33e95496a09e3beb78f902589ef8d92a6a774766d645755,23955750b4434864a33e95496a09e3beb78f902589ef8d92a6a774766d645755,1
figure_00036,figure_asset,Output/figures/maps/modis_ground_cover/modis_rgb_2022_01.png,1,1254660,full_file,dd30df0d38fee300df2fdf8fee6cab702c3d3dfda5c454626a1552e77aa436b4,dd30df0d38fee300df2fdf8fee6cab702c3d3dfda5c454626a1552e77aa436b4,1
figure_00037,figure_asset,Output/figures/maps/modis_ground_cover/modis_bare_pct_2022_01.png,1,38029,full_file,33c636ecca2f251a62cc9004d1528104bb51e4a02afe0da2d89483daec6ee046,33c636ecca2f251a62cc9004d1528104bb51e4a02afe0da2d89483daec6ee046,1
figure_00038,figure_asset,Output/figures/maps/modis_ground_cover/modis_pv_pct_2022_01.png,1,40221,full_file,eead46a0f8ff36aa26bbe533b5e3716ee56716e3fbcbb28b2c94d6bd6abe902c,eead46a0f8ff36aa26bbe533b5e3716ee56716e3fbcbb28b2c94d6bd6abe902c,1
figure_00039,figure_asset,Output/figures/maps/modis_ground_cover/modis_npv_pct_2022_01.png,1,39643,full_file,e41bea12b42185a7486af8fe228c856a4641a2b1eb83fafe8435d6a43ca37f93,e41bea12b42185a7486af8fe228c856a4641a2b1eb83fafe8435d6a43ca37f93,1
figure_00040,figure_asset,Output/figures/maps/modis_ground_cover/modis_total_veg_pct_2022_01.png,1,38693,full_file,b58651c938f4fe654fdf7220cf7660af4aca77f5dbb1163eaa9a3482828a6c36,b58651c938f4fe654fdf7220cf7660af4aca77f5dbb1163eaa9a3482828a6c36,1
figure_00041,figure_asset,Output/figures/maps/modis_ground_cover/modis_rgb_2026_02.png,1,1317186,full_file,d072fdb47730dfdf3f6d69f21cef097023bf6c73cab5a4b9b0b90a572d589d7c,d072fdb47730dfdf3f6d69f21cef097023bf6c73cab5a4b9b0b90a572d589d7c,1
