object_name,object_type,object_class,read_by
bio_final_map_index,table,no_pipeline_reads_it,
bio_monitoring_headline,table,no_pipeline_reads_it,
bio_monitoring_timeseries,table,no_pipeline_reads_it,
bio_output_manifest,table,no_pipeline_reads_it,
bio_planning_headline,table,no_pipeline_reads_it,
bio_planning_timeseries,table,no_pipeline_reads_it,
bio_plot_loocb_context,table,no_pipeline_reads_it,
bio_raster_catalog,table,no_pipeline_reads_it,
bio_rs_loocb_joined_plot_summary,table,no_pipeline_reads_it,
bio_run_metadata,table,no_pipeline_reads_it,
bio_treatment_summary,table,no_pipeline_reads_it,
bio_vegetation_type_summary,table,no_pipeline_reads_it,
census_by_zone_stratum,table,no_pipeline_reads_it,
diagnostic_issue,table,no_pipeline_reads_it,
fact_biodiversity_context,table,no_pipeline_reads_it,
fact_community_year_flood,table,no_pipeline_reads_it,
fact_context_unit_month,table,no_pipeline_reads_it,
fact_dea_cultivation_assessment,table,no_pipeline_reads_it,
fact_dea_landcover_community_year,table,no_pipeline_reads_it,
fact_dea_landcover_farm_year,table,no_pipeline_reads_it,
fact_dea_landcover_plot_year,table,no_pipeline_reads_it,
fact_dea_landcover_zone_year,table,no_pipeline_reads_it,
fact_gauge_month,table,no_pipeline_reads_it,
fact_gauge_water_year,table,no_pipeline_reads_it,
fact_part_summary_full_period,table,no_pipeline_reads_it,
fact_part_year_floor_inund,table,no_pipeline_reads_it,
fact_plot_month,table,no_pipeline_reads_it,
fact_plot_observation,table,no_pipeline_reads_it,
fact_plot_period,table,no_pipeline_reads_it,
fact_plot_year,table,no_pipeline_reads_it,
fact_reference_gap_decomposition,table,no_pipeline_reads_it,
fact_rookery_survey,table,no_pipeline_reads_it,
fact_three_arm_gap_decomposition,table,no_pipeline_reads_it,
fact_three_arm_stratum_veg_annual,table,no_pipeline_reads_it,
fact_unzoned_community_veg_annual,table,no_pipeline_reads_it,
fact_zone_community_flood_annual,table,no_pipeline_reads_it,
fact_zone_community_part_classification,table,no_pipeline_reads_it,
fact_zone_community_part_summary,table,no_pipeline_reads_it,
fact_zone_community_veg_annual,table,no_pipeline_reads_it,
fact_zone_floor_flood_residual,table,no_pipeline_reads_it,
fact_zone_floor_temporal,table,no_pipeline_reads_it,
fact_zone_veg_annual,table,no_pipeline_reads_it,
gauge_completeness_by_gauge,table,no_pipeline_reads_it,
gauge_completeness_overall,table,no_pipeline_reads_it,
gauge_gauge_sites,table,no_pipeline_reads_it,
gauge_kingsford_flow_ratios_nov_oct_year,table,no_pipeline_reads_it,
gauge_kingsford_flow_ratios_water_year,table,no_pipeline_reads_it,
gauge_monthly_flow,table,no_pipeline_reads_it,
gauge_qa_checks,table,no_pipeline_reads_it,
gauge_source_files,table,no_pipeline_reads_it,
gauge_water_year_flow,table,no_pipeline_reads_it,
plot_boundary_overlay,table,no_pipeline_reads_it,
plot_management_overlay,table,no_pipeline_reads_it,
plot_paddock,table,no_pipeline_reads_it,
plot_vegetation_overlay,table,no_pipeline_reads_it,
qa_check,table,no_pipeline_reads_it,
source_file,table,no_pipeline_reads_it,
spatial_review_flags,table,no_pipeline_reads_it,
stg_canonical_annual_inundation,table,no_pipeline_reads_it,
stg_canonical_daily_inundation_monthly,table,no_pipeline_reads_it,
stg_canonical_ground_cover_timeseries,table,no_pipeline_reads_it,
stg_canonical_plot_rs_analysis_base,table,no_pipeline_reads_it,
stg_canonical_plot_rs_gauge_analysis_base,table,no_pipeline_reads_it,
stg_ground_cover_plot_context_flags,table,no_pipeline_reads_it,
stg_ground_cover_prepost_plot_summary,table,no_pipeline_reads_it,
stg_hydrology_gauge_context,table,no_pipeline_reads_it,
stg_inundation_frequency_by_vegetation_group,table,no_pipeline_reads_it,
stg_mer_annual_max_by_plot,table,no_pipeline_reads_it,
stg_mer_period_summary_by_plot,table,no_pipeline_reads_it,
stg_mer_period_summary_by_vegetation_group,table,no_pipeline_reads_it,
stg_mer_vs_annual_occurrence_by_plot,table,no_pipeline_reads_it,
stg_modis_context_full,table,no_pipeline_reads_it,
stg_modis_context_units_summary,table,no_pipeline_reads_it,
stg_review_mer_metric_comparison,table,no_pipeline_reads_it,
t1_zone_identity_check,table,no_pipeline_reads_it,
t3_always_green_sweep,table,no_pipeline_reads_it,
table_asset,table,no_pipeline_reads_it,
taskM_headline_source,table,no_pipeline_reads_it,
v_always_green_sweep,view,no_pipeline_reads_it,
v_biodiversity_plot_context,view,no_pipeline_reads_it,
v_biodiversity_presentation_headlines,view,no_pipeline_reads_it,
v_census_by_zone_stratum,view,no_pipeline_reads_it,
v_current_qa_issues,view,no_pipeline_reads_it,
v_database_release_checks,view,no_pipeline_reads_it,
v_dea_zone_landuse_summary,view,no_pipeline_reads_it,
v_gauge_context_by_water_year,view,no_pipeline_reads_it,
v_gauge_database_qa,view,no_pipeline_reads_it,
v_gauge_database_sites,view,no_pipeline_reads_it,
v_groundcover_response_by_hydro_class,view,no_pipeline_reads_it,
v_inundation_change_by_vegetation_group,view,no_pipeline_reads_it,
v_mer_vs_rs_agreement,view,no_pipeline_reads_it,
v_modis_context_timeseries,view,no_pipeline_reads_it,
v_modis_farm_vs_buffer_summary,view,no_pipeline_reads_it,
v_modis_management_zone_summary,view,no_pipeline_reads_it,
v_pixel_census_by_veg_regime,view,no_pipeline_reads_it,
v_plot_current_summary,view,no_pipeline_reads_it,
v_plot_current_summary_map,view,no_pipeline_reads_it,
v_plot_paddock,view,no_pipeline_reads_it,
v_plot_timeseries_groundcover,view,no_pipeline_reads_it,
v_presentation_headlines,view,no_pipeline_reads_it,
v_presentation_headlines_live,view,no_pipeline_reads_it,
v_reference_gap_decomposition,view,no_pipeline_reads_it,
v_three_arm_gap_decomposition,view,no_pipeline_reads_it,
v_three_arm_veg_annual,view,no_pipeline_reads_it,
v_zone_community_composition,view,no_pipeline_reads_it,
v_zone_community_part_summary,view,no_pipeline_reads_it,
v_zone_floor_flood_residual,view,no_pipeline_reads_it,
v_zone_floor_temporal,view,no_pipeline_reads_it,
v_zone_stratum_contrast_bala_robust,view,no_pipeline_reads_it,
v_zone_stratum_treatment_contrast,view,no_pipeline_reads_it,
v_zone_veg_annual,view,no_pipeline_reads_it,
workflow_run,table,no_pipeline_reads_it,
census_asset,table,read_by_pipeline,scripts/03_inundation_products/15_build_pixel_census_parquet.R
census_stratum,table,read_by_pipeline,scripts/03_inundation_products/15_build_pixel_census_parquet.R
raster_asset,table,read_by_pipeline,scripts/03_inundation_products/15_build_pixel_census_parquet.R|scripts/03_inundation_products/BQ_build_counted_flood_frequency.py|scripts/03_inundation_products/internal/05_build_unified_annual_stack_impl.R
v_plot_timeseries_inundation_annual,view,read_by_pipeline,R/gayini_gradient_helpers.R
v_plot_year_analysis_spine,view,read_by_pipeline,R/gayini_gradient_helpers.R
dim_dea_landcover_class,table,registry_or_dimension,
dim_gauge,table,registry_or_dimension,
dim_headline_number,table,registry_or_dimension,
dim_management_zone,table,registry_or_dimension,
dim_metric,table,registry_or_dimension,
dim_plot,table,registry_or_dimension,
dim_source_product,table,registry_or_dimension,
dim_spatial_unit,table,registry_or_dimension,
dim_species,table,registry_or_dimension,
dim_time,table,registry_or_dimension,
figure_asset,table,registry_or_dimension,
report_asset,table,registry_or_dimension,
spatial_layer_asset,table,registry_or_dimension,
