path,verdict,reached_by,depth,cited_by,taskK_essential,size_bytes,reason
.gitignore,ARCHIVE,,,Output/audit/TRACE1_report.md|docs/Audit/Gayini_CC_spec_HANDOFF2.md|docs/Biodiversity_workstation_onboarding_and_audit.md,,7962,cited by 19 tracked document(s) but no pipeline reaches it
CLAUDE.md,ARCHIVE,,,Output/audit/AUD1_gateA_inventory.md|Output/audit/AUD1_pack_gap_report.md|Output/audit/DOC1_gateB_value_claims.md,,43843,cited by 89 tracked document(s) but no pipeline reaches it
DESCRIPTION,ARCHIVE,,,Output/audit/DOC2_gate0_verify_sweep.md|Output/audit/DOC2_review.md|README.md,,463,cited by 4 tracked document(s) but no pipeline reaches it
Gayini.Rproj,ARCHIVE,,,docs/reference_update/Gayini_repo_root_and_github_audit_20260729.md|github_push_audit_plan.md,,218,cited by 2 tracked document(s) but no pipeline reaches it
LICENSE,ARCHIVE,,,docs/reference_update/Gayini_repo_root_and_github_audit_20260729.md,,115,cited by 1 tracked document(s) but no pipeline reaches it
NAMESPACE,ARCHIVE,,,README.md|docs/reference_update/Gayini_repo_root_and_github_audit_20260729.md,,111,cited by 2 tracked document(s) but no pipeline reaches it
Output/INVENTORY_20260809.md,ORPHAN,,,,,21937,nothing references it and no tracked document names it
Output/audit/AUD1_gateA_disk.csv,ARCHIVE,,,Output/audit/AUD1_gateA_inventory.md|Output/audit/AUD1_pack_gap_report.md|Output/audit/STATUS1_focus_report.md,,718382,cited by 3 tracked document(s) but no pipeline reaches it
Output/audit/AUD1_gateA_inventory.md,ARCHIVE,,,Output/audit/AUD1_pack_gap_report.md,,12858,cited by 1 tracked document(s) but no pipeline reaches it
Output/audit/AUD1_gateA_registry.csv,ARCHIVE,,,Output/audit/AUD1_gateA_inventory.md|Output/audit/AUD1_pack_gap_report.md,,160855,cited by 2 tracked document(s) but no pipeline reaches it
Output/audit/AUD1_manifest_delta_REM1.csv,ARCHIVE,,,docs/Gayini_issues_log.md|docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md|docs/change_reports/REM1_pack_item_remediation.md,,5964,cited by 5 tracked document(s) but no pipeline reaches it
Output/audit/AUD1_pack_gap_report.md,ARCHIVE,,,docs/reports/AUD1_output_audit_and_pack_reconciliation.md|docs/reports/AUD1_v2_output_audit_and_manifest.md,,22428,cited by 2 tracked document(s) but no pipeline reaches it
Output/audit/AUD1_pack_manifest_draft.csv,ARCHIVE,,,Output/audit/AUD1_pack_gap_report.md|Output/audit/STATUS1_focus_report.md|docs/change_reports/REM1_pack_item_remediation.md,,137241,cited by 7 tracked document(s) but no pipeline reaches it
Output/audit/AUD1_reconciliation.csv,ARCHIVE,,,Output/audit/AUD1_pack_gap_report.md|docs/reports/AUD1_output_audit_and_pack_reconciliation.md|docs/reports/AUD1_v2_output_audit_and_manifest.md,,1104209,cited by 3 tracked document(s) but no pipeline reaches it
Output/audit/DOC1_claim_check.csv,ARCHIVE,,,Output/audit/DOC1_verification_report.md|Output/audit/DOC2_gateC_consistency.md|Output/audit/DOC2_review.md,,63231,cited by 6 tracked document(s) but no pipeline reaches it
Output/audit/DOC1_followon_lidar_section_review.md,ORPHAN,,,,,14596,nothing references it and no tracked document names it
Output/audit/DOC1_gateA_verify_answers.md,ARCHIVE,,,Output/audit/DOC1_verification_report.md|docs/reference_update/CC_handover_DOC1_gates_BCDE.md|docs/reports/CC_spec_DOC1_document_verification_v2.md,,11553,cited by 3 tracked document(s) but no pipeline reaches it
Output/audit/DOC1_gateB_value_claims.md,ARCHIVE,,,Output/audit/DOC1_verification_report.md|docs/Gayini_issues_log.md|docs/reference_update/CC_handover_DOC1_gates_BCDE.md,,16100,cited by 4 tracked document(s) but no pipeline reaches it
Output/audit/DOC1_gateC_figures_methods.md,ARCHIVE,,,Output/audit/DOC1_verification_report.md,,21075,cited by 1 tracked document(s) but no pipeline reaches it
Output/audit/DOC1_gateD_substitution.md,ARCHIVE,,,Output/audit/DOC1_verification_report.md,,6879,cited by 1 tracked document(s) but no pipeline reaches it
Output/audit/DOC1_verification_report.md,ARCHIVE,,,docs/reports/CC_spec_DOC1_document_verification_v2.md,,22030,cited by 1 tracked document(s) but no pipeline reaches it
Output/audit/DOC2_gate0_verify_sweep.md,ARCHIVE,,,Output/audit/DOC2_review.md,,9050,cited by 1 tracked document(s) but no pipeline reaches it
Output/audit/DOC2_gateB_reference_state.md,ARCHIVE,,,Output/audit/DOC2_review.md,,11598,cited by 1 tracked document(s) but no pipeline reaches it
Output/audit/DOC2_gateC_consistency.md,ARCHIVE,,,Output/audit/DOC2_review.md,,9923,cited by 1 tracked document(s) but no pipeline reaches it
Output/audit/DOC2_review.md,ORPHAN,,,,,23254,nothing references it and no tracked document names it
Output/audit/DOC2_section_scores.md,ARCHIVE,,,Output/audit/DOC2_review.md,,12733,cited by 1 tracked document(s) but no pipeline reaches it
Output/audit/DOC3_findings.md,ORPHAN,,,,,20058,nothing references it and no tracked document names it
Output/audit/DOC3_refstate_figure_verification.md,ARCHIVE,,,docs/Gayini_issues_log.md,,7699,cited by 1 tracked document(s) but no pipeline reaches it
Output/audit/DOC3_rulingU_blast_radius.md,ORPHAN,,,,,6167,nothing references it and no tracked document names it
Output/audit/FIG25_lineage_and_package_plan.md,ORPHAN,,,,,10180,nothing references it and no tracked document names it
Output/audit/FIG3_partA_producer_review.md,ORPHAN,,,,,17133,nothing references it and no tracked document names it
Output/audit/FIGSEQ_findings.md,ORPHAN,,,,,9492,nothing references it and no tracked document names it
Output/audit/RETRO1_candidate_learnings.csv,ARCHIVE,,,Output/audit/RETRO1_report.md|docs/Audit/Gayini_CC_spec_RETRO1.md,,6350,cited by 2 tracked document(s) but no pipeline reaches it
Output/audit/RETRO1_gates_and_controls.csv,ARCHIVE,,,docs/Audit/Gayini_CC_spec_RETRO1.md,,67192,cited by 1 tracked document(s) but no pipeline reaches it
Output/audit/RETRO1_report.md,ARCHIVE,,,docs/Audit/Gayini_CC_spec_RETRO1.md,,17288,cited by 1 tracked document(s) but no pipeline reaches it
Output/audit/RETRO1_rulings_timeline.csv,ARCHIVE,,,docs/Audit/Gayini_CC_spec_RETRO1.md,,16840,cited by 1 tracked document(s) but no pipeline reaches it
Output/audit/RETRO1_spec_inventory.csv,ARCHIVE,,,docs/Audit/Gayini_CC_spec_RETRO1.md,,15165,cited by 1 tracked document(s) but no pipeline reaches it
Output/audit/S11_VERIFY_findings.md,ORPHAN,,,,,7909,nothing references it and no tracked document names it
Output/audit/SCHEM1_verification_findings.md,ARCHIVE,,,,,11511,referenced by 2 tracked file(s) but no pipeline reaches it
Output/audit/STATUS1_focus_report.md,ORPHAN,,,,,9194,nothing references it and no tracked document names it
Output/audit/TRACE1_number_producers.csv,ARCHIVE,,,Output/audit/TRACE1_report.md|docs/Audit/Gayini_CC_spec_TRACE1.md,,51011,cited by 2 tracked document(s) but no pipeline reaches it
Output/audit/TRACE1_report.md,ARCHIVE,,,docs/Audit/Gayini_CC_spec_TRACE1.md,,14192,cited by 1 tracked document(s) but no pipeline reaches it
Output/audit/XCHECK1_findings.md,ARCHIVE,,,,,14482,referenced by 1 tracked file(s) but no pipeline reaches it
Output/diag/BE_dashboard_scope_check.csv,ARCHIVE,,,Output/diag/EXEMPLAR1_report.md,,1825,cited by 1 tracked document(s) but no pipeline reaches it
Output/diag/BR_surface_divergence.csv,ARCHIVE,,,,,7835,referenced by 1 tracked file(s) but no pipeline reaches it
Output/diag/DIAG1_between_pointwise.csv,ARCHIVE,,,Output/diag/DIAG1_diagnostics.md|Output/diag/SPAT1_findings.md,,191862,cited by 2 tracked document(s) but no pipeline reaches it
Output/diag/DIAG1_carried_from_WITHIN1.csv,ARCHIVE,,,Output/diag/DIAG1_diagnostics.md,,5464,cited by 1 tracked document(s) but no pipeline reaches it
Output/diag/DIAG1_diagnostics.md,ARCHIVE,,,docs/reference_update/Gayini_CC_spec_DIAG1.md|docs/reference_update/Gayini_CC_spec_DIAG1_v2.md,,21988,cited by 2 tracked document(s) but no pipeline reaches it
Output/diag/DIAG1_fixture_2_1.txt,ARCHIVE,,,Output/diag/DIAG1_diagnostics.md,,763,cited by 1 tracked document(s) but no pipeline reaches it
Output/diag/DIAG1_form_comparison.csv,ARCHIVE,,,Output/diag/DIAG1_diagnostics.md|docs/reference_update/Gayini_CC_spec_DIAG1.md|docs/reference_update/Gayini_CC_spec_DIAG1_v2.md,,472213,cited by 3 tracked document(s) but no pipeline reaches it
Output/diag/DIAG1_heteroscedasticity.csv,ARCHIVE,,,Output/diag/DIAG1_diagnostics.md,,18033,cited by 1 tracked document(s) but no pipeline reaches it
Output/diag/DIAG1_influence.csv,ARCHIVE,,,Output/diag/DIAG1_diagnostics.md|docs/reference_update/Gayini_CC_spec_DIAG1.md|docs/reference_update/Gayini_CC_spec_DIAG1_v2.md,,273503,cited by 3 tracked document(s) but no pipeline reaches it
Output/diag/DIAG1_inputs.csv,ARCHIVE,,,Output/diag/DIAG1_diagnostics.md,,1278,cited by 1 tracked document(s) but no pipeline reaches it
Output/diag/DIAG1_lag_fits.csv,ARCHIVE,,,Output/diag/DIAG1_diagnostics.md|docs/reference_update/Gayini_CC_spec_DIAG1_v2.md,,5933,cited by 2 tracked document(s) but no pipeline reaches it
Output/diag/DIAG1_local_z.csv,ARCHIVE,,,Output/diag/DIAG1_diagnostics.md|docs/reference_update/Gayini_CC_spec_DIAG1.md|docs/reference_update/Gayini_CC_spec_DIAG1_v2.md,,69613,cited by 3 tracked document(s) but no pipeline reaches it
Output/diag/DIAG1_manifest.csv,ARCHIVE,,,Output/diag/DIAG1_diagnostics.md|docs/reference_update/Gayini_CC_spec_DIAG1.md|docs/reference_update/Gayini_CC_spec_DIAG1_v2.md,,7632,cited by 3 tracked document(s) but no pipeline reaches it
Output/diag/DIAG1_mean_vs_median_summary.csv,ARCHIVE,,,Output/diag/DIAG1_diagnostics.md,,2079,cited by 1 tracked document(s) but no pipeline reaches it
Output/diag/DIAG1_part_series_summary.csv,ARCHIVE,,,Output/diag/DIAG1_diagnostics.md,,73783,cited by 1 tracked document(s) but no pipeline reaches it
Output/diag/DIAG1_reproduction_checks_stageA.csv,ARCHIVE,,,Output/diag/DIAG1_diagnostics.md,,6375,cited by 1 tracked document(s) but no pipeline reaches it
Output/diag/DIAG1_reproduction_checks_stageC.csv,ARCHIVE,,,,,429,referenced by 3 tracked file(s) but no pipeline reaches it
Output/diag/DIAG1_reproduction_checks_stageE.csv,ARCHIVE,,,,,425,referenced by 3 tracked file(s) but no pipeline reaches it
Output/diag/DIAG1_unzoned_between_not_applicable.csv,ARCHIVE,,,Output/diag/DIAG1_diagnostics.md,,607,cited by 1 tracked document(s) but no pipeline reaches it
Output/diag/DIAG1_within_diagnostics.csv,ARCHIVE,,,Output/diag/DIAG1_diagnostics.md|docs/reference_update/Gayini_CC_spec_DIAG1_v2.md,,113952,cited by 2 tracked document(s) but no pipeline reaches it
Output/diag/DIAG1_within_pointwise.csv,ARCHIVE,,,Output/diag/DIAG1_diagnostics.md,,4446925,cited by 1 tracked document(s) but no pipeline reaches it
Output/diag/DL_tercile_recut_consequence.csv,ARCHIVE,,,,,2782,referenced by 1 tracked file(s) but no pipeline reaches it
Output/diag/EX1_gate3_checks.csv,ARCHIVE,,,Output/diag/EXEMPLAR1_report.md,,2182,cited by 1 tracked document(s) but no pipeline reaches it
Output/diag/EX1_gate3_community_by_floodbin.csv,ARCHIVE,,,Output/diag/EXEMPLAR1_report.md,,29298,cited by 1 tracked document(s) but no pipeline reaches it
Output/diag/EXEMPLAR1_report.md,ARCHIVE,,,,,10116,referenced by 3 tracked file(s) but no pipeline reaches it
Output/diag/GATE3_water_surface_by_figure.csv,ARCHIVE,,,,,7950,referenced by 1 tracked file(s) but no pipeline reaches it
Output/diag/SPAT1_checks.csv,ARCHIVE,,,Output/diag/SPAT1_findings.md,,586,cited by 1 tracked document(s) but no pipeline reaches it
Output/diag/SPAT1_correlogram.csv,ARCHIVE,,,Output/diag/SPAT1_findings.md,,9686,cited by 1 tracked document(s) but no pipeline reaches it
Output/diag/SPAT1_findings.md,ARCHIVE,,,,,11438,referenced by 1 tracked file(s) but no pipeline reaches it
Output/diag/SPAT1_inputs.csv,ARCHIVE,,,Output/diag/SPAT1_findings.md,,773,cited by 1 tracked document(s) but no pipeline reaches it
Output/diag/SPAT1_morans_i.csv,ARCHIVE,,,Output/diag/SPAT1_findings.md,,22503,cited by 1 tracked document(s) but no pipeline reaches it
Output/diag/SPAT1_scale_reference.csv,ARCHIVE,,,Output/diag/SPAT1_findings.md,,3162,cited by 1 tracked document(s) but no pipeline reaches it
Output/diag/analysis/DIAG1_between_parts.csv,ARCHIVE,,,,,179546,referenced by 9 tracked file(s) but no pipeline reaches it
Output/diag/analysis/DIAG1_part_year.csv,ARCHIVE,,,,,1203939,referenced by 6 tracked file(s) but no pipeline reaches it
Output/diag/analysis/DIAG1_patch_year.csv,ARCHIVE,,,,,1317598,referenced by 5 tracked file(s) but no pipeline reaches it
Output/diag/analysis/SPAT1_pairs.csv,ARCHIVE,,,Output/diag/SPAT1_findings.md,,1693581,cited by 1 tracked document(s) but no pipeline reaches it
Output/diag/analysis/SPAT1_part_centroids.csv,ARCHIVE,,,Output/diag/SPAT1_findings.md,,41980,cited by 1 tracked document(s) but no pipeline reaches it
Output/diagnostics/ondisk_review_20260720/refugia_area_check.csv,ARCHIVE,,,docs/Gayini_established_data_facts.md|docs/Tier2_TaskH_ondisk_census_groundcover_review.md|docs/Tier2_TaskM_gateB_classification.md,,201,cited by 7 tracked document(s) but no pipeline reaches it
Output/diagnostics/tier2H_h2_green_fraction_at_floor.csv,ARCHIVE,,,Output/audit/DOC1_gateB_value_claims.md|docs/Gayini_established_data_facts.md|docs/Tier2_TaskH_ondisk_census_groundcover_review.md,no,207,cited by 5 tracked document(s) but no pipeline reaches it
Output/figures/F3_annual_gap_series.png,ARCHIVE,,,Output/audit/FIG3_partA_producer_review.md|Output/pack/00_START_HERE.md|docs/change_reports/adrian_pack_T1_F3_F5.md,,262645,cited by 3 tracked document(s) but no pipeline reaches it
Output/figures/F5_cover_vs_water_64_paddocks.png,ARCHIVE,,,Output/audit/AUD1_pack_gap_report.md|Output/audit/FIG25_lineage_and_package_plan.md|Output/audit/FIG3_partA_producer_review.md,,165133,cited by 11 tracked document(s) but no pipeline reaches it
Output/figures/M5_dual_grain_floor_and_flood.png,ARCHIVE,,,Output/audit/AUD1_pack_gap_report.md|Output/audit/FIG25_lineage_and_package_plan.md|Output/audit/FIG3_partA_producer_review.md,,1015424,cited by 9 tracked document(s) but no pipeline reaches it
Output/figures/M5b_paddock_residual_from_expectation.png,ARCHIVE,,,Output/audit/AUD1_pack_gap_report.md|Output/audit/FIG25_lineage_and_package_plan.md|Output/audit/FIG3_partA_producer_review.md,,322235,cited by 10 tracked document(s) but no pipeline reaches it
Output/figures/T13_D1_part_state_map_and_scatter.png,ARCHIVE,,,Output/audit/FIG25_lineage_and_package_plan.md|Output/audit/FIG3_partA_producer_review.md|Output/pack/00_START_HERE.md,,502268,cited by 8 tracked document(s) but no pipeline reaches it
Output/figures/T13_D2_part_state_map_sensitivity.png,ARCHIVE,,,Output/audit/AUD1_gateA_inventory.md|Output/audit/AUD1_pack_gap_report.md|Output/audit/DOC2_gateB_reference_state.md,,613784,cited by 13 tracked document(s) but no pipeline reaches it
Output/figures/T1_conserved_paddock_comparison.png,ARCHIVE,,,Output/audit/AUD1_pack_gap_report.md|Output/audit/FIG3_partA_producer_review.md|Output/pack/00_START_HERE.md,,127619,cited by 8 tracked document(s) but no pipeline reaches it
Output/glm/GLM1_prereg.md,ARCHIVE,,,docs/reference_update/Gayini_CC_spec_GLM1.md,,6687,cited by 1 tracked document(s) but no pipeline reaches it
