control_kind,control_id,defined_in,ever_fired,firing_evidence_kind,fixture_proof,evidence
canary,rptscope_page3_canary,scripts/11_database/write_RPTSCOPE_E_canaries.py,1,recorded: Ruling J,data-level drift fixture moved the value 34.59 -> 51.40 and was correctly rejected; an earlier column-rename fixture only ERRORED and was discarded as invalid,"CLAUDE.md, 'Every check must be able to fail'"
deny_rule,Edit(Output/pack/**),.claude/settings.json,1,recorded: DATA-1 spec routed around it by design,,DATA-1 section 0.1 names Output/pack as unwritable under this rule
gate,Biodiversity_Task_deck_restyle_spec:Gate A,docs/Biodiversity_Task_deck_restyle_spec.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T1_gateB_dim_management_zone.md
gate,Biodiversity_Task_deck_restyle_spec:Gate M,docs/Biodiversity_Task_deck_restyle_spec.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,Biodiversity_Task_deck_restyle_spec:Gate R,docs/Biodiversity_Task_deck_restyle_spec.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,CC_spec_DOC1_document_verification_v2:Gate 0,docs/reports/CC_spec_DOC1_document_verification_v2.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md
gate,CC_spec_DOC1_document_verification_v2:Gate A,docs/reports/CC_spec_DOC1_document_verification_v2.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T1_gateB_dim_management_zone.md
gate,CC_spec_DOC1_document_verification_v2:Gate B,docs/reports/CC_spec_DOC1_document_verification_v2.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,CC_spec_DOC1_document_verification_v2:Gate C,docs/reports/CC_spec_DOC1_document_verification_v2.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T10_gateC_residuals.md
gate,CC_spec_DOC1_document_verification_v2:Gate D,docs/reports/CC_spec_DOC1_document_verification_v2.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md; docs/change_reports/T10_gateC_residuals.md
gate,CC_spec_DOC1_document_verification_v2:Gate E,docs/reports/CC_spec_DOC1_document_verification_v2.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/tier2H_gateE_palette_audit.md
gate,CC_spec_DOC2_section_review:Gate 0,docs/reports/CC_spec_DOC2_section_review.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md
gate,CC_spec_DOC2_section_review:Gate A,docs/reports/CC_spec_DOC2_section_review.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T1_gateB_dim_management_zone.md
gate,CC_spec_DOC2_section_review:Gate B,docs/reports/CC_spec_DOC2_section_review.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,CC_spec_DOC2_section_review:Gate C,docs/reports/CC_spec_DOC2_section_review.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T10_gateC_residuals.md
gate,CC_spec_DOC2_section_review:Gate D,docs/reports/CC_spec_DOC2_section_review.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md; docs/change_reports/T10_gateC_residuals.md
gate,CC_spec_REPCONS_report_consistency:Gate 0,docs/reports/CC_spec_REPCONS_report_consistency.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md
gate,CC_spec_REPCONS_report_consistency:Gate A,docs/reports/CC_spec_REPCONS_report_consistency.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T1_gateB_dim_management_zone.md
gate,CC_spec_REPCONS_report_consistency:Gate B,docs/reports/CC_spec_REPCONS_report_consistency.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,CC_spec_REPCONS_report_consistency:Gate C,docs/reports/CC_spec_REPCONS_report_consistency.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T10_gateC_residuals.md
gate,CC_specs_from_biodiversity_session_20260730:Gate 1,docs/reference_update/Gayini_CC_specs_from_biodiversity_session_20260730.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/diag/EXEMPLAR1_report.md
gate,CC_specs_from_biodiversity_session_20260730:Gate 2,docs/reference_update/Gayini_CC_specs_from_biodiversity_session_20260730.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/temporal/TEMPORAL1_report.md
gate,CC_specs_from_biodiversity_session_20260730:Gate 3,docs/reference_update/Gayini_CC_specs_from_biodiversity_session_20260730.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
