spec_id,path,date_issued,line_count,section_count,gate_count,names_stop,stop_mentions,names_ruling_set,ruling_count,cited_files,cited_files_absent,absent_examples,sections_present,section_hits
ANNUAL1,docs/reference_update/Gayini_CC_spec_ANNUAL1.md,2026-08-07,184,8,0,0,0,1,4,5,5,ANNUAL1_findings.md; ANNUAL1_part_year_residuals.csv; ANNUAL1_prereg.md,,0
Biodiversity_Task_deck_restyle_spec,docs/Biodiversity_Task_deck_restyle_spec.md,,95,7,3,0,0,0,0,3,2,Gayini_vegetation_crosswalk_biodiversity_to_main_groups.csv; OUTPUT/Gayini/database/Gayini_Biodiversity.sqlite,,0
CC_spec_DOC1_document_verification_v2,docs/reports/CC_spec_DOC1_document_verification_v2.md,2026-08-04,193,11,6,1,4,0,0,8,0,,,0
CC_spec_DOC2_section_review,docs/reports/CC_spec_DOC2_section_review.md,,149,8,5,1,5,0,0,5,0,,,0
CC_spec_REPCONS_report_consistency,docs/reports/CC_spec_REPCONS_report_consistency.md,,104,8,4,1,3,0,0,3,1,Output/audit/REPCONS_consistency.md,,0
CC_specs_from_biodiversity_session_20260730,docs/reference_update/Gayini_CC_specs_from_biodiversity_session_20260730.md,2026-07-30,265,9,5,1,5,0,0,8,5,Gayini_Biodiversity.sqlite; Gayini_LOOCB_findings_and_caveats.md; condition_vs_inundation.csv,,0
DASH2,docs/reference_update/Gayini_CC_spec_DASH2.md,2026-08-09,150,8,0,0,0,1,5,6,0,,rulings_in_force|standing_conditions,2
DATA1,docs/reference_update/Gayini_CC_spec_DATA1.md,2026-08-08,179,7,1,0,0,0,0,13,1,code/REBUILD.md,,0
DELIVER1,docs/reference_update/Gayini_CC_spec_DELIVER1.md,2026-08-09,134,4,1,0,0,1,2,10,0,,rulings_in_force|standing_conditions,2
DIAG1,docs/reference_update/Gayini_CC_spec_DIAG1.md,2026-08-06,273,10,3,1,6,0,0,10,1,Output/diag/DIAG1_bootstrap_stability.csv,standing_conditions,1
DIAG1_v2,docs/reference_update/Gayini_CC_spec_DIAG1_v2.md,2026-08-07,279,10,0,0,0,1,4,15,0,,standing_conditions,1
EXEMPLAR1,docs/reference_update/Gayini_CC_spec_EXEMPLAR1.md,2026-08-08,186,8,4,1,1,1,3,3,0,,rulings_in_force,1
FIG2,docs/reference_update/Gayini_CC_spec_FIG2.md,2026-08-07,179,6,3,1,3,0,0,3,0,,,0
FIGFIND1,docs/reference_update/Gayini_CC_spec_FIGFIND1.md,2026-08-08,103,7,0,0,0,1,2,2,0,,,0
GLM1,docs/reference_update/Gayini_CC_spec_GLM1.md,2026-08-07,158,7,0,0,0,1,3,4,3,GLM1_model_comparison.csv; GLM1_response_scale_effects.csv; Output/glm/GLM1_findings.md,,0
HANDOFF1,docs/Audit/Gayini_CC_spec_HANDOFF1.md,2026-08-11,255,12,2,1,1,1,1,3,2,HANDOFF1_manifest.csv; HANDOFF1_report.md,checks_on_checks|rulings_in_force|standing_conditions|what_this_is_not,4
INVENTORY1,docs/reference_update/Gayini_CC_spec_INVENTORY1.md,2026-08-09,112,6,0,0,0,0,0,2,0,,rulings_in_force|standing_conditions,2
LID1_shippability_audit_spec,docs/reference_update/Gayini_LID1_shippability_audit_spec.md,2026-08-04,187,6,6,1,2,0,0,2,0,,,0
MAP1,docs/reference_update/Gayini_CC_spec_MAP1.md,2026-08-10,212,10,1,0,0,1,3,3,0,,standing_conditions,1
