"row_type","quantity","value","lag","scope","n_obs","n_units","source","support_level","unit","period_label","weighting","estimand","cluster","source_sha256_first50","interval_status"
"carried_from_WITHIN1","median lag-1 autocorrelation of the floor",0.477280033720296,,"as recorded by WITHIN-1",,,"Output/tables/WITHIN1_reproduction_checks.csv via scripts/12_zone_stratum/WITHIN1_reproduce.R","pixel","part-year","1988-2022","pixel-weighted by the part's cell count","WITHIN-UNIT (part fixed effects; how a part's own floor moves with its own wetness)","zone_fid (paddock)","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"carried_from_WITHIN1","median residual lag-1 autocorrelation",0.363681965791047,,"as recorded by WITHIN-1",,,"Output/tables/WITHIN1_reproduction_checks.csv via scripts/12_zone_stratum/WITHIN1_reproduce.R","pixel","part-year","1988-2022","pixel-weighted by the part's cell count","WITHIN-UNIT (part fixed effects; how a part's own floor moves with its own wetness)","zone_fid (paddock)","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"carried_from_WITHIN1","median lag-1 autocorrelation of wetness",0.172239937389968,,"as recorded by WITHIN-1",,,"Output/tables/WITHIN1_reproduction_checks.csv via scripts/12_zone_stratum/WITHIN1_reproduce.R","pixel","part-year","1988-2022","pixel-weighted by the part's cell count","WITHIN-UNIT (part fixed effects; how a part's own floor moves with its own wetness)","zone_fid (paddock)","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"carried_from_WITHIN1","previous-year slope",0.117783518002217,,"as recorded by WITHIN-1",,,"Output/tables/WITHIN1_reproduction_checks.csv via scripts/12_zone_stratum/WITHIN1_reproduce.R","pixel","part-year","1988-2022","pixel-weighted by the part's cell count","WITHIN-UNIT (part fixed effects; how a part's own floor moves with its own wetness)","zone_fid (paddock)","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"carried_from_WITHIN1","same-year slope with lagged water added",0.137932107954052,,"as recorded by WITHIN-1",,,"Output/tables/WITHIN1_reproduction_checks.csv via scripts/12_zone_stratum/WITHIN1_reproduce.R","pixel","part-year","1988-2022","pixel-weighted by the part's cell count","WITHIN-UNIT (part fixed effects; how a part's own floor moves with its own wetness)","zone_fid (paddock)","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"carried_from_WITHIN1","within-part median slope, Aeolian",0.35046874117107,,"as recorded by WITHIN-1",,,"Output/tables/WITHIN1_reproduction_checks.csv via scripts/12_zone_stratum/WITHIN1_reproduce.R","pixel","part-year","1988-2022","pixel-weighted by the part's cell count","WITHIN-UNIT (part fixed effects; how a part's own floor moves with its own wetness)","zone_fid (paddock)","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"carried_from_WITHIN1","within-part median slope, Inland",0.140202559403781,,"as recorded by WITHIN-1",,,"Output/tables/WITHIN1_reproduction_checks.csv via scripts/12_zone_stratum/WITHIN1_reproduce.R","pixel","part-year","1988-2022","pixel-weighted by the part's cell count","WITHIN-UNIT (part fixed effects; how a part's own floor moves with its own wetness)","zone_fid (paddock)","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"carried_from_WITHIN1","within-part median slope, Riverine",0.217712853437089,,"as recorded by WITHIN-1",,,"Output/tables/WITHIN1_reproduction_checks.csv via scripts/12_zone_stratum/WITHIN1_reproduce.R","pixel","part-year","1988-2022","pixel-weighted by the part's cell count","WITHIN-UNIT (part fixed effects; how a part's own floor moves with its own wetness)","zone_fid (paddock)","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"carried_from_WITHIN1","effective n of 35 years",16.331616722961,,"as recorded by WITHIN-1",,,"Output/tables/WITHIN1_reproduction_checks.csv via scripts/12_zone_stratum/WITHIN1_reproduce.R","pixel","part-year","1988-2022","pixel-weighted by the part's cell count","WITHIN-UNIT (part fixed effects; how a part's own floor moves with its own wetness)","zone_fid (paddock)","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"carried_from_WITHIN1","pooled within slope, pixel-weighted",0.161270968760518,,"as recorded by WITHIN-1",,,"Output/tables/WITHIN1_reproduction_checks.csv via scripts/12_zone_stratum/WITHIN1_reproduce.R","pixel","part-year","1988-2022","pixel-weighted by the part's cell count","WITHIN-UNIT (part fixed effects; how a part's own floor moves with its own wetness)","zone_fid (paddock)","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
