"scope","period","water_quartile","n_parts","x_lower","x_upper","residual_sd_sample","residual_sd_population","number_id","support_level","unit","period_label","weighting","estimand","cluster","source_sha256_first50","interval_status"
"all communities","whole_record",1,29,0.997691428571428,9.67421,12.8110143844197,12.5881971369718,"cap_residual_sd_water_quartile_1","pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"all communities","whole_record",2,29,9.67421,20.5980114285714,8.48562122135004,8.33803394163183,"cap_residual_sd_water_quartile_2","pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"all communities","whole_record",3,28,20.5980114285714,31.9233071428571,6.33433521519219,6.22019370018055,"cap_residual_sd_water_quartile_3","pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"all communities","whole_record",4,29,31.9233071428571,58.8975085714286,3.83288579700831,3.76622182821982,"cap_residual_sd_water_quartile_4","pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"aeolian","whole_record",1,5,0.997691428571428,1.88860571428571,2.2298436560121,,,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"aeolian","whole_record",2,4,1.88860571428571,2.81614,18.5839228460603,,,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"aeolian","whole_record",3,4,2.81614,4.32653142857143,10.8061738310385,,,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"aeolian","whole_record",4,4,4.32653142857143,19.7088285714286,5.78522686018345,,,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"riverine","whole_record",1,10,3.0222,7.71960285714286,14.0033121773727,,,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"riverine","whole_record",2,9,7.71960285714286,13.34232,7.93266957685504,,,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"riverine","whole_record",3,9,13.34232,19.0548971428571,8.80111542706699,,,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"riverine","whole_record",4,9,19.0548971428571,33.2615057142857,7.62326893802341,,,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"inland","whole_record",1,16,5.9298,24.31096,4.51851079074255,,,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"inland","whole_record",2,15,24.31096,30.9320085714286,6.43926330148598,,,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"inland","whole_record",3,15,30.9320085714286,40.38994,3.49673772208673,,,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"inland","whole_record",4,15,40.38994,58.8975085714286,3.6609070285086,,,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"all communities","cropping_era",1,29,0.11655,7.93068076923077,13.2966190788901,13.0653558881216,,"pixel","part (paddock x community)","1988-2013","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"all communities","cropping_era",2,29,7.93068076923077,19.7330153846154,8.9868686949588,8.83056340283281,,"pixel","part (paddock x community)","1988-2013","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"all communities","cropping_era",3,28,19.7330153846154,31.1257634615385,6.58612201738399,6.46744343161658,,"pixel","part (paddock x community)","1988-2013","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"all communities","cropping_era",4,29,31.1257634615385,53.3137076923077,4.1218930152326,4.05020245050682,,"pixel","part (paddock x community)","1988-2013","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"aeolian","cropping_era",1,5,0.11655,0.708142307692308,5.31463746151589,,,"pixel","part (paddock x community)","1988-2013","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"aeolian","cropping_era",2,4,0.708142307692308,1.20879230769231,5.82895285575227,,,"pixel","part (paddock x community)","1988-2013","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"aeolian","cropping_era",3,4,1.20879230769231,2.89402307692308,17.9349328477029,,,"pixel","part (paddock x community)","1988-2013","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"aeolian","cropping_era",4,4,2.89402307692308,18.8633038461538,10.625958131178,,,"pixel","part (paddock x community)","1988-2013","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"riverine","cropping_era",1,10,1.21322692307692,5.49119615384615,15.1184442057621,,,"pixel","part (paddock x community)","1988-2013","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"riverine","cropping_era",2,9,5.49119615384615,10.4219884615385,7.30321788160469,,,"pixel","part (paddock x community)","1988-2013","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"riverine","cropping_era",3,9,10.4219884615385,16.5615576923077,9.181167849719,,,"pixel","part (paddock x community)","1988-2013","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"riverine","cropping_era",4,9,16.5615576923077,32.3360384615385,6.2890490133072,,,"pixel","part (paddock x community)","1988-2013","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"inland","cropping_era",1,16,2.24026538461538,23.7356961538462,4.74083243746033,,,"pixel","part (paddock x community)","1988-2013","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
