"part_id","zone_fid","paddock_name","community_short","n_pixels_part","x_inund_mean","residual","water_quartile","local_residual_sd","residual_z_local","rank_pooled","rank_local","rank_movement","support_level","unit","period_label","weighting","estimand","cluster","source_sha256_first50","interval_status","note"
"62_riverine",62,"Dinan 1","riverine",1288,7.71960285714286,-27.6385001621694,1,12.8110143844197,-2.15740138390464,1,3,2,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","residual_z_local = residual / SD of the residuals in this part's water quartile. ADDITIONAL COLUMN. It does not replace the published residual and the shipped GeoPackage and CSV are not edited."
"04_aeolian",4,"Bala 29ca","aeolian",11848,2.81614,-24.8453786859863,1,12.8110143844197,-1.93937637882933,2,6,4,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","residual_z_local = residual / SD of the residuals in this part's water quartile. ADDITIONAL COLUMN. It does not replace the published residual and the shipped GeoPackage and CSV are not edited."
"04_riverine",4,"Bala 29ca","riverine",12141,6.37556857142857,-21.5752779580664,1,12.8110143844197,-1.68411940777347,3,9,6,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","residual_z_local = residual / SD of the residuals in this part's water quartile. ADDITIONAL COLUMN. It does not replace the published residual and the shipped GeoPackage and CSV are not edited."
"57_aeolian",57,"Dinan 10","aeolian",8780,4.60234857142857,-19.3339568156521,1,12.8110143844197,-1.50916674007996,4,12,8,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","residual_z_local = residual / SD of the residuals in this part's water quartile. ADDITIONAL COLUMN. It does not replace the published residual and the shipped GeoPackage and CSV are not edited."
"51_riverine",51,"Dinan 3","riverine",2674,13.5099971428571,-18.4384843774425,2,8.48562122135004,-2.17290919503345,5,2,-3,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","residual_z_local = residual / SD of the residuals in this part's water quartile. ADDITIONAL COLUMN. It does not replace the published residual and the shipped GeoPackage and CSV are not edited."
"14_inland",14,"Bala 15","inland",8452,25.6013771428571,-17.6541311670633,3,6.33433521519219,-2.78705350558679,6,1,-5,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","residual_z_local = residual / SD of the residuals in this part's water quartile. ADDITIONAL COLUMN. It does not replace the published residual and the shipped GeoPackage and CSV are not edited."
"52_riverine",52,"Dinan 2","riverine",1060,11.4986514285714,-14.6817951339958,2,8.48562122135004,-1.73019685312562,7,7,0,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","residual_z_local = residual / SD of the residuals in this part's water quartile. ADDITIONAL COLUMN. It does not replace the published residual and the shipped GeoPackage and CSV are not edited."
"58_riverine",58,"Dinan 13","riverine",11694,18.2635828571429,-14.3303689108822,2,8.48562122135004,-1.6887825342506,8,8,0,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","residual_z_local = residual / SD of the residuals in this part's water quartile. ADDITIONAL COLUMN. It does not replace the published residual and the shipped GeoPackage and CSV are not edited."
"55_riverine",55,"Dinan 8","riverine",22565,16.3212314285714,-13.4129732548515,2,8.48562122135004,-1.58067074937355,9,10,1,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","residual_z_local = residual / SD of the residuals in this part's water quartile. ADDITIONAL COLUMN. It does not replace the published residual and the shipped GeoPackage and CSV are not edited."
"63_riverine",63,"Dinan 4","riverine",4032,7.02026,-11.4821650149387,1,12.8110143844197,-0.896272900052545,10,20,10,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","residual_z_local = residual / SD of the residuals in this part's water quartile. ADDITIONAL COLUMN. It does not replace the published residual and the shipped GeoPackage and CSV are not edited."
"57_riverine",57,"Dinan 10","riverine",944,6.21670571428571,-10.8892840218077,1,12.8110143844197,-0.849993895491274,11,21,10,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","residual_z_local = residual / SD of the residuals in this part's water quartile. ADDITIONAL COLUMN. It does not replace the published residual and the shipped GeoPackage and CSV are not edited."
"18_aeolian",18,"Bala 20","aeolian",157,19.7088285714286,-10.1613088358658,2,8.48562122135004,-1.19747377013479,12,14,2,"pixel","part (paddock x community)","1988-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","residual_z_local = residual / SD of the residuals in this part's water quartile. ADDITIONAL COLUMN. It does not replace the published residual and the shipped GeoPackage and CSV are not edited."
