file,name,kind,bytes,rows,carries_section7_columns,note,sha256_first50
Output/diag/analysis/DIAG1_between_parts.csv,DIAG1_between_parts.csv,csv,179546,345.0,yes,,77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a
Output/diag/analysis/DIAG1_part_year.csv,DIAG1_part_year.csv,csv,1203939,4025.0,yes,,1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c
Output/diag/analysis/DIAG1_patch_year.csv,DIAG1_patch_year.csv,csv,1317598,3253.0,yes,,f9d526890ca5bf781287dbc901b8366c3ec7308c388ac152abd37c1de3329a39
Output/diag/analysis/SPAT1_pairs.csv,SPAT1_pairs.csv,csv,1693581,6555.0,yes,,01b017c2478d99d15e44653541062086dc79738f52293adce48b4edb4a2e5962
Output/diag/analysis/SPAT1_part_centroids.csv,SPAT1_part_centroids.csv,csv,41980,115.0,yes,,b4dc30828a9e97b1636364b9580255033ba4cd5792173adb933095cb608f0c07
Output/diag/analysis/SPAT1_perm_draws.rds,SPAT1_perm_draws.rds,rds,1225019,,,,c4deaf20aa3dac840546894e0cc75755e00ba9312da5293e649084c20d6d1d55
Output/diag/DIAG1_between_pointwise.csv,DIAG1_between_pointwise.csv,csv,191862,345.0,yes,,6b7178120f7a1de3123573ccfadb3277a523027e284e11c1fe96910b139fccdd
Output/diag/DIAG1_carried_from_WITHIN1.csv,DIAG1_carried_from_WITHIN1.csv,csv,5464,10.0,yes,,f8179a37b149cb3209301fece51afc586e3c601d762d034983e802d71a558a2f
Output/diag/DIAG1_diagnostics.md,DIAG1_diagnostics.md,md,21988,,,,1a7be3adb833bc5383ee009b4ff7eeef7e991b90ef51d5cc4503979d56bf688e
Output/diag/DIAG1_fixture_2_1.txt,DIAG1_fixture_2_1.txt,txt,763,,,,a58045400bd26626878a0712da422d92f14ec2ae4f3566ea2619f5af4fd27a34
Output/diag/DIAG1_form_comparison.csv,DIAG1_form_comparison.csv,csv,472213,1095.0,yes,,84d0ae086680843ccb5d360364c7a9156d6705bd4c2986140514a88d9cb251a4
Output/diag/DIAG1_heteroscedasticity.csv,DIAG1_heteroscedasticity.csv,csv,18033,48.0,yes,,41c57effc8d6bd02a54d505d94d83623c3585f358d744b03756e7518d47e0087
Output/diag/DIAG1_influence.csv,DIAG1_influence.csv,csv,273503,537.0,yes,,48f7220c41e110c3edecdd0d624c0caf5b55598f7a50e8c12f6f3e65235cc5f7
Output/diag/DIAG1_inputs.csv,DIAG1_inputs.csv,csv,1278,7.0,exempt,"provenance ledger of file checksums; describes files, not estimates",665c114e7c510674271e7f8618c89ef27bae3f19ac6f55a9e6276448356aa28b
Output/diag/DIAG1_lag_fits.csv,DIAG1_lag_fits.csv,csv,5933,8.0,yes,,0ee15f4f2f9edd94159eb26dea686417e6e92b8f6de7c77fe1275d3d58a85247
Output/diag/DIAG1_local_z.csv,DIAG1_local_z.csv,csv,69613,115.0,yes,,38979140fe45606131cc7c14c2979f5f1cbddc5c97dab5a0b56ef12ce0e4085f
Output/diag/DIAG1_mean_vs_median_summary.csv,DIAG1_mean_vs_median_summary.csv,csv,2079,4.0,yes,,0f3d9f8e48c52756235584aaf0e8f4594a35f55548d5ed4aa9f8a004e7456835
Output/diag/DIAG1_part_series_summary.csv,DIAG1_part_series_summary.csv,csv,73783,115.0,yes,,7acdd17f9978be023bf456a3be35feaf3c688d5f1e398620edbabd2bc92c4253
Output/diag/DIAG1_reproduction_checks_stageA.csv,DIAG1_reproduction_checks_stageA.csv,csv,6375,50.0,exempt,check ledger; each row names its own target and section,a5dc473dd332d8ccca909d589b2adc54386fe6a2ce29147f11e41e94192ad5a4
