"check","what","section","target","got","tolerance","agrees","halt_condition","expected_to_disagree"
"S2_whole_full115__slope","whole-record slope, pixel-weighted","2.1",0.547274,0.54727373330792,5e-06,TRUE,TRUE,FALSE
"S2_whole_full115__intercept","whole-record intercept, pixel-weighted","2.1",52.697196,52.6971961343224,5e-06,TRUE,TRUE,FALSE
"S2_whole_record_common_unweighted__slope","whole-record slope, unweighted","2.1",0.521378,0.52137832616542,5e-06,TRUE,TRUE,FALSE
"S2_whole_record_common_unweighted__intercept","whole-record intercept, unweighted","2.1",53.956357,53.9563571531212,5e-06,TRUE,TRUE,FALSE
"S2_cropping_era_common__slope","cropping-era slope, pixel-weighted","2.1",0.592241,0.592241397897202,5e-06,TRUE,TRUE,FALSE
"S2_post_management_common__slope","post-management slope, pixel-weighted","2.1",0.324225,0.324225093305474,5e-06,TRUE,TRUE,FALSE
"published_residual_max_abs_diff__whole_record","largest |refit residual - published residual|, whole_record","2.1",0,2.8421709430404e-14,5e-05,TRUE,TRUE,FALSE
"published_residual_max_abs_diff__cropping_era","largest |refit residual - published residual|, cropping_era","2.1",0,9.2370555648813e-14,5e-05,TRUE,TRUE,FALSE
"published_residual_max_abs_diff__post_management","largest |refit residual - published residual|, post_management","2.1",0,8.5265128291212e-14,5e-05,TRUE,TRUE,FALSE
"FIXTURE_perturbed_weight","reproduction check against a doubled weight","2.1 fixture",0.547274,0.58750565912162,5e-06,FALSE,FALSE,TRUE
"cap_residual_sd_water_quartile_1","registered residual SD, water quartile 1 (cite the number_id)","2.3",12.811,12.8110143844197,5e-04,TRUE,FALSE,FALSE
"cap_residual_sd_water_quartile_2","registered residual SD, water quartile 2 (cite the number_id)","2.3",8.4856,8.48562122135004,5e-04,TRUE,FALSE,FALSE
"cap_residual_sd_water_quartile_3","registered residual SD, water quartile 3 (cite the number_id)","2.3",6.3343,6.33433521519219,5e-04,TRUE,FALSE,FALSE
"cap_residual_sd_water_quartile_4","registered residual SD, water quartile 4 (cite the number_id)","2.3",3.8329,3.83288579700831,5e-04,TRUE,FALSE,FALSE
"corr_abs_resid_x","corr(|residual|, wetness), whole record","2.3",-0.506,-0.50563604898958,0.001,TRUE,FALSE,FALSE
"rank_pooled__Mara_6","Mara 6 (Inland) pooled residual rank","2.3",85,85,0,TRUE,FALSE,FALSE
"rank_local__Mara_6","Mara 6 (Inland) local-z rank","2.3",113,113,0,TRUE,FALSE,FALSE
"rank_pooled__Dinan_2","Dinan 2 (Inland) pooled residual rank","2.3",87,87,0,TRUE,FALSE,FALSE
"rank_local__Dinan_2","Dinan 2 (Inland) local-z rank","2.3",114,114,0,TRUE,FALSE,FALSE
"drop_one_min","drop-one-paddock slope, minimum","2.4",0.4692,0.469218432571937,5e-04,TRUE,FALSE,FALSE
"drop_one_max","drop-one-paddock slope, maximum","2.4",0.5867,0.586710558474033,5e-04,TRUE,FALSE,FALSE
"drop_one_bala29ca","Bala 29ca's effect on the slope","2.4",-0.0781,-0.0780553007359839,5e-04,TRUE,FALSE,FALSE
"loo_bala29ca_aeolian","Bala 29ca / aeolian cluster-deleted residual","2.4",-27.29,-27.2901625946861,0.005,TRUE,FALSE,FALSE
"loo_bala29ca_inland","Bala 29ca / inland cluster-deleted residual","2.4",4.45,4.45105690063976,0.005,TRUE,FALSE,FALSE
"loo_bala29ca_riverine","Bala 29ca / riverine cluster-deleted residual","2.4",-23.74,-23.742229599175,0.005,TRUE,FALSE,FALSE
"cv_rmse_linear","leave-one-paddock-out CV weighted RMSE, linear","2.5",8.572,8.57182007139694,0.005,TRUE,FALSE,FALSE
"cv_rmse_quadratic","leave-one-paddock-out CV weighted RMSE, quadratic","2.5",8.553,8.55347351084701,0.005,TRUE,FALSE,FALSE
"quad_x2_pooled","quadratic x-squared term, pooled","2.5",-0.0096,-0.00958212146151166,5e-04,TRUE,FALSE,FALSE
"quad_dr2_pooled","delta R2 from quadratic, pooled","2.5",0.026,0.0255931775462264,5e-04,TRUE,FALSE,FALSE
"cv_rmse_sqrt_x","leave-one-paddock-out CV weighted RMSE, sqrt_x","2.5",8.481,8.48112773504405,0.005,TRUE,FALSE,FALSE
"cv_rmse_log_x1","leave-one-paddock-out CV weighted RMSE, log_x1","2.5",8.701,8.70129972767027,0.005,TRUE,FALSE,FALSE
"cv_rmse_cubic","leave-one-paddock-out CV weighted RMSE, cubic","2.5",8.805,8.8053647111162,0.005,TRUE,FALSE,FALSE
"quad_x2_aeolian","quadratic x-squared term, aeolian","2.5",0.306,0.306290955921606,5e-04,TRUE,FALSE,FALSE
"quad_dr2_aeolian","delta R2 from quadratic, aeolian","2.5",0.106,0.106276989974749,5e-04,TRUE,FALSE,FALSE
"quad_x2_riverine","quadratic x-squared term, riverine","2.5",0.047,0.0466016986780958,5e-04,TRUE,FALSE,FALSE
"quad_dr2_riverine","delta R2 from quadratic, riverine","2.5",0.111,0.11054859833821,5e-04,TRUE,FALSE,FALSE
"quad_x2_inland","quadratic x-squared term, inland","2.5",-0.0028,-0.00283360356167605,5e-04,TRUE,FALSE,FALSE
"quad_dr2_inland","delta R2 from quadratic, inland","2.5",0.006,0.00581174670978946,5e-04,TRUE,FALSE,FALSE
"spearman_linear_sqrt","Spearman between residual rankings, linear vs sqrt(x)","2.6",0.984,0.98383965911781,0.001,TRUE,FALSE,FALSE
"form_resid_bala29ca_aeolian_linear","Bala 29ca / aeolian residual under linear","2.6",-24.85,-24.8453786859863,0.005,TRUE,FALSE,FALSE
"form_resid_bala29ca_aeolian_quadratic","Bala 29ca / aeolian residual under quadratic","2.6",-21.66,-21.6568498693091,0.005,TRUE,FALSE,FALSE
"form_resid_bala29ca_aeolian_sqrt_x","Bala 29ca / aeolian residual under sqrt_x","2.6",-21.53,-21.5341288421819,0.005,TRUE,FALSE,FALSE
"form_resid_bala29ca_inland_linear","Bala 29ca / inland residual under linear","2.6",5.87,5.87301396116153,0.005,TRUE,FALSE,FALSE
"form_resid_bala29ca_inland_quadratic","Bala 29ca / inland residual under quadratic","2.6",4.93,4.93318115643869,0.005,TRUE,FALSE,FALSE
"form_resid_bala29ca_inland_sqrt_x","Bala 29ca / inland residual under sqrt_x","2.6",4.74,4.74051941899302,0.005,TRUE,FALSE,FALSE
"form_resid_bala29ca_riverine_linear","Bala 29ca / riverine residual under linear","2.6",-21.58,-21.5752779580664,0.005,TRUE,FALSE,FALSE
"form_resid_bala29ca_riverine_quadratic","Bala 29ca / riverine residual under quadratic","2.6",-19.83,-19.8336745525969,0.005,TRUE,FALSE,FALSE
"form_resid_bala29ca_riverine_sqrt_x","Bala 29ca / riverine residual under sqrt_x","2.6",-20.57,-20.5707818172658,0.005,TRUE,FALSE,FALSE
"worst_three_identical","worst three parts identical and in order across linear and sqrt(x)","2.6",1,1,0,TRUE,FALSE,FALSE
"aeolian_observed_slope","Aeolian observed between-unit slope (FIG-2 panel B)","2.5",-0.309,-0.308531743033839,0.001,TRUE,FALSE,FALSE
