"set","row_type","scope","form","n","value","reference","delta","detail","cluster_note","support_level","unit","period_label","weighting","estimand","cluster","source_sha256_first50","interval_status"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","1","linear",70,0.15878250944637,0.161270968760519,-0.00248845931414932,"slope with zone_fid 1 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","2","linear",35,0.161019422988811,0.161270968760519,-0.000251545771708134,"slope with zone_fid 2 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","3","linear",70,0.160498438956397,0.161270968760519,-0.000772529804121819,"slope with zone_fid 3 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","4","linear",105,0.159949332074889,0.161270968760519,-0.00132163668562998,"slope with zone_fid 4 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","5","linear",70,0.160665928540756,0.161270968760519,-0.000605040219763431,"slope with zone_fid 5 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","6","linear",70,0.158343393218268,0.161270968760519,-0.00292757554225134,"slope with zone_fid 6 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","7","linear",35,0.159121259988914,0.161270968760519,-0.00214970877160492,"slope with zone_fid 7 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","8","linear",35,0.161206886335921,0.161270968760519,-6.40824245983496e-05,"slope with zone_fid 8 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","9","linear",70,0.157565928956892,0.161270968760519,-0.0037050398036268,"slope with zone_fid 9 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","10","linear",70,0.158767580407183,0.161270968760519,-0.00250338835333619,"slope with zone_fid 10 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
