"community","bin","n_cells","flood_freq_mean","mean_p05","mean_p50","gap_p50_minus_p05","binning","support_level","unit","period_label","weighting","estimand","cluster","source_sha256_first50","interval_status"
"Aeolian Chenopod Shrublands","[0,10)",60863,2.28773200945683,44.7651368506432,71.9850859062271,27.2199490555839,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Aeolian Chenopod Shrublands","[10,20)",10863,14.3801974955813,48.8657587565129,74.7911948144159,25.925436057903,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Aeolian Chenopod Shrublands","[20,30)",4054,23.3936432143562,55.2555089541194,77.6745232192896,22.4190142651702,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Aeolian Chenopod Shrublands","[30,40)",899,34.4758230022247,52.4637949232481,76.2175856429366,23.7537907196885,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Aeolian Chenopod Shrublands","[40,50)",375,44.3772501093333,53.4577394613333,75.243541912,21.7858024506667,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Aeolian Chenopod Shrublands","[50,60)",242,54.5193384545455,40.875841607438,70.3928878016529,29.5170461942149,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Aeolian Chenopod Shrublands","[60,70)",193,65.139780507772,53.0647667875648,76.7229222072539,23.6581554196891,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Aeolian Chenopod Shrublands","[70,80)",55,72.1876065636364,70.1303551454545,81.6697386363636,11.5393834909091,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Aeolian Chenopod Shrublands","1",43034,0.765509773871154,44.7592034085514,72.5904226225333,27.831219213982,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Aeolian Chenopod Shrublands","2",10031,4.589892543226,44.007966070003,69.7971473398565,25.7891812698535,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
