artefact,producer,water_surface,note,support_level,unit,period_label,weighting,estimand
veg_regime_class_8058.tif,10_build_veg_regime_checkerboard.R,INTERPOLATED,"The wetness TERCILE BOUNDARIES that define the 11 classes were cut on the interpolated surface (gayini_background_flood_frequency). The class raster is a labelling and is not itself a flood-frequency number, but the band ranges quoted for it - 0.00-0.18, 0.18-5.71 and the rest - are interpolated-surface quantiles.",pixel,varies by artefact; stated in the note,1988-2022 (35 water years),"n/a - this is a provenance list, not an estimate",WATER-SURFACE PROVENANCE per artefact. Four surfaces are in use and they are not interchangeable.
v_pixel_census_by_veg_regime (DB view),09_build_pixel_census_view.R,INTERPOLATED,The census VIEW builds its flood frequency by the interpolated route. The census PARQUET does not - see the next row. Two objects with the same name in conversation and different surfaces underneath.,pixel,varies by artefact; stated in the note,1988-2022 (35 water years),"n/a - this is a provenance list, not an estimate",WATER-SURFACE PROVENANCE per artefact. Four surfaces are in use and they are not interchangeable.
gayini_pixel_census_8058.parquet (flood_freq_pct),15_build_pixel_census_parquet.R,COUNTED-8058,"Counted from inundation_annual_stack_8058. Verified this run to agree with flood_frequency_counted_8058.tif to 0.00e+00 on all 1,080,157 census cells. THE ANALYSIS SOURCE OF TRUTH.",pixel,varies by artefact; stated in the note,1988-2022 (35 water years),"n/a - this is a provenance list, not an estimate",WATER-SURFACE PROVENANCE per artefact. Four surfaces are in use and they are not interchangeable.
flood_zone_8058.tif,14_build_flood_zone_raster.R,COUNTED-8058,"Verified this run: the counted surface reproduces it at 100.0000% over all 1,080,157 census cells.",pixel,varies by artefact; stated in the note,1988-2022 (35 water years),"n/a - this is a provenance list, not an estimate",WATER-SURFACE PROVENANCE per artefact. Four surfaces are in use and they are not interchangeable.
flood_frequency_counted_8058.tif,BQ_build_counted_flood_frequency.py,COUNTED-8058,New this run under Ruling BQ. Map product and BR verification artefact; not an analysis input.,pixel,varies by artefact; stated in the note,1988-2022 (35 water years),"n/a - this is a provenance list, not an estimate",WATER-SURFACE PROVENANCE per artefact. Four surfaces are in use and they are not interchangeable.
background_flood_frequency_8058.tif,06_build_stratified_sampling_frame_f5.R,INTERPOLATED,"The older surface. Retained, not deleted.",pixel,varies by artefact; stated in the note,1988-2022 (35 water years),"n/a - this is a provenance list, not an estimate",WATER-SURFACE PROVENANCE per artefact. Four surfaces are in use and they are not interchangeable.
F5 background flood-frequency surface figures,06_build_stratified_sampling_frame_f5.R,INTERPOLATED,Drawn from the interpolated surface it also builds.,pixel,varies by artefact; stated in the note,1988-2022 (35 water years),"n/a - this is a provenance list, not an estimate",WATER-SURFACE PROVENANCE per artefact. Four surfaces are in use and they are not interchangeable.
F7 ground-cover response figures,08_run_groundcover_response_f7.R,INTERPOLATED,Reads background_flood_frequency_8058.tif.,pixel,varies by artefact; stated in the note,1988-2022 (35 water years),"n/a - this is a provenance list, not an estimate",WATER-SURFACE PROVENANCE per artefact. Four surfaces are in use and they are not interchangeable.
FigA_floor_gradient_density.png,24_build_figA_floor_gradient_density.R,COUNTED-8058,Counts from inundation_annual_stack_8058.,pixel,varies by artefact; stated in the note,1988-2022 (35 water years),"n/a - this is a provenance list, not an estimate",WATER-SURFACE PROVENANCE per artefact. Four surfaces are in use and they are not interchangeable.
S21 census flood-trend figure,25_build_s21_flood_trend_census_figure.R,COUNTED-8058,Annual series counted on the 8058 stack.,pixel,varies by artefact; stated in the note,1988-2022 (35 water years),"n/a - this is a provenance list, not an estimate",WATER-SURFACE PROVENANCE per artefact. Four surfaces are in use and they are not interchangeable.
