part_i,part_j,zone_fid_i,zone_fid_j,distance_m,adjacent,same_paddock,community_i,community_j,same_community,support_level,unit,period_label,weighting,estimand
01_inland,01_riverine,1,1,1625.519303304515,1,1,inland,riverine,0,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,02_inland,1,2,3386.284362193421,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,03_inland,1,3,16357.563711726687,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,03_riverine,1,3,16039.788599462387,0,0,inland,riverine,0,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,04_aeolian,1,4,31211.765038804642,0,0,inland,aeolian,0,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,04_inland,1,4,29465.063535287292,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,04_riverine,1,4,30041.487316107177,0,0,inland,riverine,0,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,05_inland,1,5,9022.605892222677,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,05_riverine,1,5,8752.75610662683,0,0,inland,riverine,0,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,06_inland,1,6,7034.797043385316,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,06_riverine,1,6,6863.944967511573,0,0,inland,riverine,0,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,07_inland,1,7,6401.625544071154,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,08_inland,1,8,5704.31828579291,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,09_inland,1,9,3695.6008188195647,1,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,09_riverine,1,9,4028.1357697483195,0,0,inland,riverine,0,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,10_inland,1,10,5128.189982646907,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,10_riverine,1,10,7060.058746960529,0,0,inland,riverine,0,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,11_inland,1,11,5513.080015422447,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,12_inland,1,12,10649.181874883692,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,12_riverine,1,12,11014.537251685382,0,0,inland,riverine,0,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,13_inland,1,13,9428.727836450882,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,14_inland,1,14,12306.834801765457,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,15_inland,1,15,4153.97675384356,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,16_inland,1,16,5509.259778988815,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,16_riverine,1,16,6443.553506939546,0,0,inland,riverine,0,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,17_inland,1,17,7715.9820953640265,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,18_aeolian,1,18,10233.248782603736,0,0,inland,aeolian,0,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,18_inland,1,18,8890.493166542235,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,18_riverine,1,18,9608.532665767838,0,0,inland,riverine,0,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,19_inland,1,19,12163.242878611205,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,20_inland,1,20,12552.163230982182,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,21_inland,1,21,14960.817398099929,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,21_riverine,1,21,11751.414649401575,0,0,inland,riverine,0,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,22_inland,1,22,16780.27429954768,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,23_inland,1,23,18574.333290335442,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,24_inland,1,24,6561.132099097785,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,24_riverine,1,24,8781.731575268259,0,0,inland,riverine,0,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,25_inland,1,25,7620.4624515201485,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,25_riverine,1,25,8860.752106687776,0,0,inland,riverine,0,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,26_inland,1,26,12077.56557846964,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,26_riverine,1,26,11657.79728212684,0,0,inland,riverine,0,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,27_inland,1,27,36613.308648089456,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,27_riverine,1,27,37188.31989923595,0,0,inland,riverine,0,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,28_inland,1,28,39735.63362861124,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,28_riverine,1,28,38982.39776808474,0,0,inland,riverine,0,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
01_inland,29_inland,1,29,34878.759045817365,0,0,inland,inland,1,pixel,pair of parts,geometry is time-invariant,"unweighted - this table is geometry, not an estimate",GEOMETRY ONLY - no estimate. Neighbour definitions for the spatial-dependence diagnostic
