part_id,zone_fid,paddock_name,community_short,n_pixels_part,area_ha,centroid_x_8058,centroid_y_8058,support_level,unit,period_label,weighting,estimand,crs
01_inland,1,Bala 26ca,inland,32399,2020.123928705111,9044247.868017228,4352132.683074145,pixel,part (paddock x community),geometry is time-invariant; residuals joined per period,pixel-weighted by the part's cell count where used,GEOMETRY ONLY - no estimate. Centroids and adjacency for the spatial-dependence diagnostic,"EPSG:8058 (GDA2020 / NSW Lambert), metres"
01_riverine,1,Bala 26ca,riverine,636,39.65550846188001,9045868.824869981,4352254.387169925,pixel,part (paddock x community),geometry is time-invariant; residuals joined per period,pixel-weighted by the part's cell count where used,GEOMETRY ONLY - no estimate. Centroids and adjacency for the spatial-dependence diagnostic,"EPSG:8058 (GDA2020 / NSW Lambert), metres"
02_inland,2,Bala 27ca,inland,23908,1490.697950167653,9044899.213439569,4355455.7345215995,pixel,part (paddock x community),geometry is time-invariant; residuals joined per period,pixel-weighted by the part's cell count where used,GEOMETRY ONLY - no estimate. Centroids and adjacency for the spatial-dependence diagnostic,"EPSG:8058 (GDA2020 / NSW Lambert), metres"
03_inland,3,Bala 28ca,inland,18272,1139.285299709861,9028231.417860325,4355455.816377917,pixel,part (paddock x community),geometry is time-invariant; residuals joined per period,pixel-weighted by the part's cell count where used,GEOMETRY ONLY - no estimate. Centroids and adjacency for the spatial-dependence diagnostic,"EPSG:8058 (GDA2020 / NSW Lambert), metres"
03_riverine,3,Bala 28ca,riverine,3704,230.94969079057165,9028609.038988555,4355696.647850537,pixel,part (paddock x community),geometry is time-invariant; residuals joined per period,pixel-weighted by the part's cell count where used,GEOMETRY ONLY - no estimate. Centroids and adjacency for the spatial-dependence diagnostic,"EPSG:8058 (GDA2020 / NSW Lambert), metres"
04_aeolian,4,Bala 29ca,aeolian,11848,738.7397236735131,9014029.994562201,4344318.951526829,pixel,part (paddock x community),geometry is time-invariant; residuals joined per period,pixel-weighted by the part's cell count where used,GEOMETRY ONLY - no estimate. Centroids and adjacency for the spatial-dependence diagnostic,"EPSG:8058 (GDA2020 / NSW Lambert), metres"
04_inland,4,Bala 29ca,inland,12687,791.0525721004273,9015396.9042971,4346148.381815152,pixel,part (paddock x community),geometry is time-invariant; residuals joined per period,pixel-weighted by the part's cell count where used,GEOMETRY ONLY - no estimate. Centroids and adjacency for the spatial-dependence diagnostic,"EPSG:8058 (GDA2020 / NSW Lambert), metres"
04_riverine,4,Bala 29ca,riverine,12141,757.0086921944736,9015026.021213068,4345163.1329080295,pixel,part (paddock x community),geometry is time-invariant; residuals joined per period,pixel-weighted by the part's cell count where used,GEOMETRY ONLY - no estimate. Centroids and adjacency for the spatial-dependence diagnostic,"EPSG:8058 (GDA2020 / NSW Lambert), metres"
05_inland,5,Bala 1,inland,9808,611.542809739181,9051523.187444154,4357469.081140497,pixel,part (paddock x community),geometry is time-invariant; residuals joined per period,pixel-weighted by the part's cell count where used,GEOMETRY ONLY - no estimate. Centroids and adjacency for the spatial-dependence diagnostic,"EPSG:8058 (GDA2020 / NSW Lambert), metres"
05_riverine,5,Bala 1,riverine,318,19.827754230940005,9052151.124435078,4355894.235606784,pixel,part (paddock x community),geometry is time-invariant; residuals joined per period,pixel-weighted by the part's cell count where used,GEOMETRY ONLY - no estimate. Centroids and adjacency for the spatial-dependence diagnostic,"EPSG:8058 (GDA2020 / NSW Lambert), metres"
06_inland,6,Bala 2,inland,26087,1626.5617126494715,9051254.553160233,4352760.960678723,pixel,part (paddock x community),geometry is time-invariant; residuals joined per period,pixel-weighted by the part's cell count where used,GEOMETRY ONLY - no estimate. Centroids and adjacency for the spatial-dependence diagnostic,"EPSG:8058 (GDA2020 / NSW Lambert), metres"
06_riverine,6,Bala 2,riverine,1956,121.9593939488008,9051111.698852021,4352172.265751837,pixel,part (paddock x community),geometry is time-invariant; residuals joined per period,pixel-weighted by the part's cell count where used,GEOMETRY ONLY - no estimate. Centroids and adjacency for the spatial-dependence diagnostic,"EPSG:8058 (GDA2020 / NSW Lambert), metres"
07_inland,7,Bala 3,inland,20725,1292.2333535730554,9048322.375989119,4357070.212253148,pixel,part (paddock x community),geometry is time-invariant; residuals joined per period,pixel-weighted by the part's cell count where used,GEOMETRY ONLY - no estimate. Centroids and adjacency for the spatial-dependence diagnostic,"EPSG:8058 (GDA2020 / NSW Lambert), metres"
08_inland,8,Bala 4,inland,5578,347.79626761063946,9049307.962666329,4354766.062888713,pixel,part (paddock x community),geometry is time-invariant; residuals joined per period,pixel-weighted by the part's cell count where used,GEOMETRY ONLY - no estimate. Centroids and adjacency for the spatial-dependence diagnostic,"EPSG:8058 (GDA2020 / NSW Lambert), metres"
09_inland,9,Bala 5,inland,22252,1387.443984738607,9047769.4054425,4351011.862136409,pixel,part (paddock x community),geometry is time-invariant; residuals joined per period,pixel-weighted by the part's cell count where used,GEOMETRY ONLY - no estimate. Centroids and adjacency for the spatial-dependence diagnostic,"EPSG:8058 (GDA2020 / NSW Lambert), metres"
