folder,depth,n_files_direct,n_bytes_direct
Output,0,5,78086858
Output/_archive,1,0,0
Output/_archive/reports,2,0,0
Output/_archive/reports/adrian_review_png_assets,3,33,9775159
Output/_archive/reports/ppt_asset_packs,3,0,0
Output/_archive/reports/ppt_asset_packs/ppt_asset_pack_20260625,4,0,0
Output/_archive/reports/ppt_asset_packs/ppt_asset_pack_20260625/01_main_deck_figures,5,0,0
Output/_archive/reports/ppt_asset_packs/ppt_asset_pack_20260625/02_supporting_figures,5,0,0
Output/_archive/reports/ppt_asset_packs/ppt_asset_pack_20260625/03_appendix_figures,5,0,0
Output/_archive/reports/ppt_asset_packs/ppt_asset_pack_20260625/04_tables,5,0,0
Output/_archive/reports/ppt_asset_packs/ppt_asset_pack_20260625/05_reference_reports,5,0,0
Output/census,1,1,26724747
Output/csv,1,6,22243
Output/csv/MER,2,19,381616
Output/csv/MER/raster_build,3,2,38854
Output/csv/MODIS,2,8,12452198
Output/csv/archive,2,0,0
Output/csv/archive/legacy_MER_plot_metrics,3,2,2870435
Output/csv/canonical,2,5,14175495
Output/csv/extraction,2,4,36044240
Output/csv/ground_cover,2,8,89690
Output/csv/hydrology,2,3,598071
Output/csv/inundation,2,3,33609
Output/csv/inundation/background_rasters,3,9,272710
Output/csv/review_deck,2,3,10870
Output/database,1,4,76804091
Output/diagnostics,1,48,457253
Output/diagnostics/MER,2,0,0
Output/diagnostics/MER/annual_max_raster_build,3,6,69396
Output/diagnostics/MER/archive,3,0,0
Output/diagnostics/MER/archive/old_05b_MER_inundation,4,7,7934
Output/diagnostics/MER/plot_metrics,3,26,4797563
Output/diagnostics/MER/plot_metrics/task4_consolidation,4,5,6397
Output/diagnostics/MER/raster_census_smoke_test,3,7,228383
Output/diagnostics/MODIS,2,8,5854870
Output/diagnostics/MODIS/modis_ground_cover,3,4,7326
Output/diagnostics/RS_coverage,2,0,0
Output/diagnostics/RS_coverage/daily_inundation,3,10,216982
Output/diagnostics/RS_coverage/fractional_cover,3,6,4067629
Output/diagnostics/RS_coverage/landsat_inundation,3,6,32896
Output/diagnostics/RS_coverage/prepost_inundation,3,9,126606
Output/diagnostics/background_matched_years,2,5,14720
Output/diagnostics/check_curated_outputs,2,9,15083
Output/diagnostics/check_prepost_inundation_raster_outputs,2,5,37084
Output/diagnostics/curate_rs_analysis_base,2,4,6708
Output/diagnostics/database,2,5,120932
Output/diagnostics/gauge_integration,2,4,169132
Output/diagnostics/ground_cover,2,0,0
Output/diagnostics/ground_cover/plot_context_flags,3,6,4421
Output/diagnostics/ground_cover/prepost_figures,3,2,7685
Output/diagnostics/ground_cover/prepost_response,3,4,4287
Output/diagnostics/hydrology,2,8,7664
Output/diagnostics/inundation_background_rasters,2,9,57970
Output/diagnostics/review_deck,2,0,0
Output/diagnostics/review_deck/main_deck_figure_refresh,3,2,8231
Output/diagnostics/review_deck/ppt_missing_assets,3,2,3742
Output/diagnostics/sampling_rebalance_smoke,2,10,573779
Output/diagnostics/system,2,5,61789
Output/figures,1,131,31971269
Output/figures/RS_coverage_plots,2,0,0
Output/figures/maps,2,0,0
Output/figures/maps/MER,3,4,980432
Output/figures/maps/context,3,4,1035267
Output/figures/maps/inundation,3,8,2864585
Output/figures/maps/inundation/background_rasters,4,10,2042771
Output/figures/maps/modis_ground_cover,3,46,13011569
Output/figures/maps/task_J,3,2,2930969
Output/figures/plots,2,0,0
Output/figures/plots/MER,3,5,444010
Output/figures/plots/MODIS_ground_cover,3,14,6228214
Output/figures/plots/RS_coverage,3,13,5600452
Output/figures/plots/ground_cover,3,5,1419937
Output/figures/plots/hydrology,3,6,1262123
Output/figures/plots/task_J,3,2,399575
Output/figures/review,2,15,6019685
Output/figures/review/MER,3,3,975224
Output/figures/review/MER/raster_build,4,4,332694
Output/figures/review/redesigned_dashboards,3,10,2678320
Output/figures/review_deck,2,0,0
Output/figures/review_deck/appendix,3,1,146407
Output/figures/review_deck/main_deck,3,2,188052
Output/figures/review_refresh,2,0,0
Output/figures/review_refresh/appendix,3,0,0
Output/figures/review_refresh/context,3,3,625228
Output/figures/review_refresh/dashboards,3,9,3128338
Output/figures/review_refresh/ground_cover,3,2,408661
Output/figures/review_refresh/hydrology,3,1,325677
Output/figures/review_refresh/inundation,3,4,3032741
Output/logs,1,14,8483
Output/packages,1,0,0
Output/rasters,1,7,49548290
Output/rasters/MER,2,0,0
Output/rasters/MER/annual_max,3,57,19630456
Output/rasters/MER/period_summaries,3,6,3358424
Output/rasters/MER/support,3,4,1599766
Output/rasters/fc_intermediate,2,6,814804564
Output/rasters/inundation_annual_stack,2,2,19381114
Output/rasters/inundation_annual_stack_8058,2,2,19457916
Output/rasters/inundation_background,2,0,0
Output/rasters/inundation_background/background_pre2015_sensitivity_1989_2015,3,4,3745747
Output/rasters/inundation_background/background_pre2015_sensitivity_1989_2015/annual,4,54,31037324
Output/rasters/inundation_background/background_strict_1989_2014,3,4,3708689
Output/rasters/inundation_background/background_strict_1989_2014/annual,4,52,29906914
Output/rasters/inundation_background/recent_landsat_only_2014_2023,3,4,2813901
Output/rasters/inundation_background/recent_landsat_only_2014_2023/annual,4,20,11483330
Output/rasters/inundation_pre_post,2,7,5507457
Output/rasters/inundation_pre_post/annual,3,24,13775114
Output/rasters/task_J,2,12,50771272
Output/rasters/veg_percentiles_8058,2,5,91066166
Output/reports,1,5,49015239
Output/reports/Adrian_slides,2,2,50122489
Output/reports/MER,2,5,757410
Output/reports/MER/decks,3,1,1358244
Output/reports/MER/handoffs,3,3,21875
Output/reports/MER/methods_notes,3,1,2958
Output/reports/MER/workbooks,3,1,16005
Output/reports/code_and_repo_audits,2,0,0
Output/reports/code_and_repo_audits/code_refresh,3,27,116679
Output/reports/code_and_repo_audits/code_refresh/stage3_removed_local_packaging,4,15,89906
Output/reports/code_and_repo_audits/output_audit,3,15,6582591
Output/reports/code_and_repo_audits/output_organisation,3,8,369473
Output/reports/code_and_repo_audits/repo_acceptance,3,8,462403
Output/reports/database,2,1,7134
Output/reports/db_validation,2,1,541
Output/reports/deck_update,2,0,0
Output/reports/deck_update/registers,3,3,195261
Output/reports/deck_update/story_and_planning,3,2,21989
Output/reports/deck_update/variables_and_spine,3,3,133182
Output/reports/figure_refresh,2,9,2449232
Output/reports/spine_smoke_test,2,2,17560
Output/reports/task_handoffs,2,1,5439
Output/review_bundles,1,12,82288803
Output/review_bundles/tier1G_figures_dashboards,2,3,34479
Output/review_bundles/tier1G_figures_dashboards/diagnostics,3,1,4344
Output/review_bundles/tier1G_figures_dashboards/figures,3,30,11153374
Output/review_bundles/tier1_dashboards_trial,2,3,40197
Output/review_bundles/tier1_dashboards_trial/diagnostics,3,1,4352
Output/review_bundles/tier1_dashboards_trial/figures,3,74,28769868
Output/review_bundles/tier1_pixel_census,2,3,13075
Output/review_bundles/tier1_pixel_census/diagnostics,3,3,3207
Output/review_bundles/tier1_pixel_census/figures,3,2,240956
Output/review_bundles/tier1_veg_regime_checkerboard,2,3,39990
Output/review_bundles/tier1_veg_regime_checkerboard/diagnostics,3,3,4529
Output/review_bundles/tier1_veg_regime_checkerboard/figures,3,44,8640722
Output/review_bundles/tier1b_descriptive_figures,2,3,10542
Output/review_bundles/tier1b_descriptive_figures/diagnostics,3,1,367
Output/review_bundles/tier1b_descriptive_figures/figures,3,14,1170833
Output/review_bundles/tier1c2_f5_legibility,2,3,10141
Output/review_bundles/tier1c2_f5_legibility/diagnostics,3,2,1021
Output/review_bundles/tier1c2_f5_legibility/figures,3,12,5702071
Output/review_bundles/tier1c3_f5_figures,2,3,13385
Output/review_bundles/tier1c3_f5_figures/diagnostics,3,3,1336
Output/review_bundles/tier1c3_f5_figures/figures,3,14,5231653
Output/review_bundles/tier1c_stratified_sampling,2,3,9321
