item_id,type,source_path,pack_path,sha256_source,sha256_pack_copy,verified_after_copy,shares_file_with,source_still_present
M1,map,Output/figures/diagnostics/T1_A_zone_map_named.png,Output/pack/01_maps/T1_A_zone_map_named.png,a7bdeceb3e14c19aad9c85bf0428c4e1b173ba3fedeb1d18adbe6aa6dc8d1392,a7bdeceb3e14c19aad9c85bf0428c4e1b173ba3fedeb1d18adbe6aa6dc8d1392,1,,1
M2,map,Output/figures/diagnostics/T2_G_plot_paddock_coverage.png,Output/pack/01_maps/T2_G_plot_paddock_coverage.png,b9fa880d4b97d0590067538285ca36a7bdf73af4b0e59194163c9194682dc781,b9fa880d4b97d0590067538285ca36a7bdf73af4b0e59194163c9194682dc781,1,,1
M3,map,Output/figures/diagnostics/T2_B2_duration_map.png,Output/pack/01_maps/T2_B2_duration_map.png,8362c9d69c4da5ffee90e8c30f2b70b39d0cef5ee3fe453da63189ae0f44b995,8362c9d69c4da5ffee90e8c30f2b70b39d0cef5ee3fe453da63189ae0f44b995,1,,1
M4,map,Output/figures/T13_D1_part_state_map_and_scatter.png,Output/pack/01_maps/T13_D1_part_state_map_and_scatter.png,85502c156e81e825b0733db4d98a2f226c2c9498609da5badd30972c2f6472ef,85502c156e81e825b0733db4d98a2f226c2c9498609da5badd30972c2f6472ef,1,F7,1
M4b,map,Output/figures/T13_D2_part_state_map_sensitivity.png,Output/pack/01_maps/T13_D2_part_state_map_sensitivity.png,858b6ee846ad5a6538b311b685810d455178529d56e4db5a7eee3685e04497cc,858b6ee846ad5a6538b311b685810d455178529d56e4db5a7eee3685e04497cc,1,,1
M5,map,Output/figures/M5_dual_grain_floor_and_flood.png,Output/pack/01_maps/M5_dual_grain_floor_and_flood.png,17069a37565f408992962fbf57f5427146267f68b0562783e97f66a9b6252f60,17069a37565f408992962fbf57f5427146267f68b0562783e97f66a9b6252f60,1,,1
M5b,map,Output/figures/M5b_paddock_residual_from_expectation.png,Output/pack/01_maps/M5b_paddock_residual_from_expectation.png,aa4a4b57b77e0f19830901689d77b4e9f6b7b6dca136faef38ef2d695065c056,aa4a4b57b77e0f19830901689d77b4e9f6b7b6dca136faef38ef2d695065c056,1,,1
F1,figure,Output/figures/diagnostics/T2_E_paddock_trajectories.png,Output/pack/02_figures/T2_E_paddock_trajectories.png,df595f9191fc9ea360a1f9a354b2e4433ef822f6d20bdd501c5e654b0d92bc68,df595f9191fc9ea360a1f9a354b2e4433ef822f6d20bdd501c5e654b0d92bc68,1,,1
F2,figure,Output/figures/diagnostics/T2_E_paddock_trajectories_mean.png,Output/pack/02_figures/T2_E_paddock_trajectories_mean.png,4ea11f33241353487fdb2747f2b1ab75fe0ae3dc7acffd20379c05d6f4a0c6e7,4ea11f33241353487fdb2747f2b1ab75fe0ae3dc7acffd20379c05d6f4a0c6e7,1,,1
F3,figure,Output/figures/F3_annual_gap_series.png,Output/pack/02_figures/F3_annual_gap_series.png,7a75a9b8afe22ec3919eede141aa2e5481b96cc359639f365fe2cbf5b781632f,7a75a9b8afe22ec3919eede141aa2e5481b96cc359639f365fe2cbf5b781632f,1,,1
F4,figure,Output/figures/diagnostics/T2_F_gap_decomposition.png,Output/pack/02_figures/T2_F_gap_decomposition.png,3db25902e2fd690be4f17e4f81a813e6eb156949549a1e48ff04e845dcbf1717,3db25902e2fd690be4f17e4f81a813e6eb156949549a1e48ff04e845dcbf1717,1,,1
F5,figure,Output/figures/F5_cover_vs_water_64_paddocks.png,Output/pack/02_figures/F5_cover_vs_water_64_paddocks.png,72fa686516fb146960f1dd7823b9b8bdaebe15e0cc4c3d34e9487c3769ad2cac,72fa686516fb146960f1dd7823b9b8bdaebe15e0cc4c3d34e9487c3769ad2cac,1,,1
F6,figure,Output/figures/diagnostics/T6_A_three_arm_grid.png,Output/pack/02_figures/T6_A_three_arm_grid.png,e85825780f9a4ffc7794884b32cfa9ee7d9b162f45600f5bb0275a0d7307a934,e85825780f9a4ffc7794884b32cfa9ee7d9b162f45600f5bb0275a0d7307a934,1,,1
F7,figure,Output/figures/T13_D1_part_state_map_and_scatter.png,Output/pack/01_maps/T13_D1_part_state_map_and_scatter.png,85502c156e81e825b0733db4d98a2f226c2c9498609da5badd30972c2f6472ef,85502c156e81e825b0733db4d98a2f226c2c9498609da5badd30972c2f6472ef,1,M4,1
T1,table,Output/tables/T1_conserved_paddock_comparison.csv,Output/pack/03_tables/T1_conserved_paddock_comparison.csv,451615d34606208324243f1c94f206d86f0b2188713af497636a704deea82383,451615d34606208324243f1c94f206d86f0b2188713af497636a704deea82383,1,,1
T2,table,Output/tables/T13_gateC_classification.csv,Output/pack/03_tables/T13_gateC_classification.csv,08214fc956f40b1c6267f067f92105c202142cc5905cc515351c695c86ae2372,08214fc956f40b1c6267f067f92105c202142cc5905cc515351c695c86ae2372,1,,1
T1_render,render,Output/figures/T1_conserved_paddock_comparison.png,Output/pack/03_tables/T1_conserved_paddock_comparison.png,999e5074a4a6bb9a69aa7fe982552f8f4c67ae88354dd2c1b31ce82ac91b23e3,999e5074a4a6bb9a69aa7fe982552f8f4c67ae88354dd2c1b31ce82ac91b23e3,1,,1
