pack_item_id,source_path,ship_flag_before,ship_flag_after,render_currency_before,render_currency_after,registered_before,registered_after,sha256_before,sha256_after,file_changed,change_reason,reason_detail
F6,Output/figures/diagnostics/T6_A_three_arm_grid.png,HOLD,SHIP,SUSPECT,CURRENT,1,1,c449ab448367f73edb4b146af45887198417adb60a8ab7bd7ae1d9f614e8e056,e85825780f9a4ffc7794884b32cfa9ee7d9b162f45600f5bb0275a0d7307a934,Y,DEFECT_FIXED,"Drew the regime_band='ALL' rollup that PIN 1 retired - a LIVE render of a retired aggregation, not a stale render. Labels moved to the PIN 1 area-weighted band mean, asserted against dim_headline_number, and now carry BOTH the adjusted deficit and the raw gap. Caption claims (6 of 9, 8 of 9) re-verified."
F1,Output/figures/diagnostics/T2_E_paddock_trajectories.png,HOLD,SHIP,SUSPECT,CURRENT,1,1,df595f9191fc9ea360a1f9a354b2e4433ef822f6d20bdd501c5e654b0d92bc68,df595f9191fc9ea360a1f9a354b2e4433ef822f6d20bdd501c5e654b0d92bc68,N,FLAG_WAS_WRONG,"Scratch re-render byte-IDENTICAL to live. Draws no headline number; the G flag came from an mtime family-name inference and the evidence does not support it. No re-render, no registry write."
F2,Output/figures/diagnostics/T2_E_paddock_trajectories_mean.png,HOLD,SHIP,SUSPECT,CURRENT,1,1,4ea11f33241353487fdb2747f2b1ab75fe0ae3dc7acffd20379c05d6f4a0c6e7,4ea11f33241353487fdb2747f2b1ab75fe0ae3dc7acffd20379c05d6f4a0c6e7,N,FLAG_WAS_WRONG,Scratch re-render byte-IDENTICAL to live. As F1.
F4,Output/figures/diagnostics/T2_F_gap_decomposition.png,HOLD,SHIP,SUSPECT,CURRENT,1,1,3db25902e2fd690be4f17e4f81a813e6eb156949549a1e48ff04e845dcbf1717,3db25902e2fd690be4f17e4f81a813e6eb156949549a1e48ff04e845dcbf1717,N,FLAG_WAS_WRONG,"Scratch re-render byte-IDENTICAL to live. Reads the live view v_reference_gap_decomposition, which returns exactly what it returned on 27 Jul. Deliberately NOT re-stamped: re-rendering would change only the run_id while the artefact stayed identical."
M5,Output/figures/M5_dual_grain_floor_and_flood.png,HOLD,SHIP,SUSPECT,CURRENT,1,1,17069a37565f408992962fbf57f5427146267f68b0562783e97f66a9b6252f60,17069a37565f408992962fbf57f5427146267f68b0562783e97f66a9b6252f60,N,FLAG_WAS_WRONG,Scratch re-render byte-IDENTICAL. Script READS floor_flood_* from dim_headline_number at render time and prints intercept 52.6529 slope 0.548 - the registered 6 dp constants. The 62-second gap to the precision correction was harmless.
M5b,Output/figures/M5b_paddock_residual_from_expectation.png,HOLD,SHIP,SUSPECT,CURRENT,1,1,aa4a4b57b77e0f19830901689d77b4e9f6b7b6dca136faef38ef2d695065c056,aa4a4b57b77e0f19830901689d77b4e9f6b7b6dca136faef38ef2d695065c056,N,FLAG_WAS_WRONG,Scratch re-render byte-IDENTICAL. As M5; its own internal check passes at max |diff| 0.00478 against a 0.00503 rounding budget.
F5,Output/figures/F5_cover_vs_water_64_paddocks.png,HOLD,SHIP,SUSPECT,CURRENT,1,1,72fa686516fb146960f1dd7823b9b8bdaebe15e0cc4c3d34e9487c3769ad2cac,72fa686516fb146960f1dd7823b9b8bdaebe15e0cc4c3d34e9487c3769ad2cac,N,FLAG_WAS_WRONG,Scratch re-render byte-IDENTICAL. Draws the expectation line READ from dim_headline_number.
T2,Output/tables/T13_gateC_classification.csv,HOLD,SHIP,UNKNOWN,CURRENT,0,1,08214fc956f40b1c6267f067f92105c202142cc5905cc515351c695c86ae2372,08214fc956f40b1c6267f067f92105c202142cc5905cc515351c695c86ae2372,N,NEWLY_REGISTERED,"Category C in AUD-1: named EXISTS by register v2, on disk and correct, but in NO registry, which blocked it under REP-6. Registered in the new table_asset (115 rows)."
"T1 (source, NOT the pack item)",Output/tables/T1_conserved_paddock_comparison.csv,HOLD,HOLD,UNKNOWN,CURRENT,0,1,451615d34606208324243f1c94f206d86f0b2188713af497636a704deea82383,451615d34606208324243f1c94f206d86f0b2188713af497636a704deea82383,N,NEWLY_REGISTERED,"Category C in AUD-1: unregistered. Now registered in table_asset (4 rows). HOLD is a RULING, NOT A DEFECT: design seat 2 Aug - the .png is pack item T1; this .csv stays registered as the source but does not go in the pack. Nothing is wrong with the file."
T1,Output/figures/T1_conserved_paddock_comparison.png,SHIP,SHIP,CURRENT,CURRENT,1,1,999e5074a4a6bb9a69aa7fe982552f8f4c67ae88354dd2c1b31ce82ac91b23e3,999e5074a4a6bb9a69aa7fe982552f8f4c67ae88354dd2c1b31ce82ac91b23e3,N,DESIGN_SEAT_RULING,"ship_flag unchanged (SHIP), but the ITEM IDENTITY is now explicit so PACK-1 does not have to infer it: design seat 2 Aug - THIS .png IS pack item T1. Register v3 classing T1 as a Table describes its CONTENT, not its file format; a rendered table in 03_tables/ displays without opening anything, which a CSV does not. The .csv is the source, registered in table_asset, and stays out of the pack."
