item_id,type,file_path,sha256,registered_in,claim_supported,ship_flag,caption_status,caption,display_order,section
T3,table,Output/pack/Gayini_what_we_dont_know.md,bf148e7adaa2efb87928adaa889e2f67eca3b927d52c5dcf19d6eed73953f191,(pack root page - registered with the workbook at P4),7,SHIP,WRITTEN PAGE in the pack root; read before quoting anything from this pack,,1,Read first
T1,table,Output/tables/T1_conserved_paddock_comparison.csv,451615d34606208324243f1c94f206d86f0b2188713af497636a704deea82383,table_t1_conserved_paddock_comparison,5,SHIP,WRITTEN 2026-08-05 (Gayini_pack_captions_final_20260805.md),"The four paddocks with grazing excluded, compared on every axis we can measure. They are not one condition. Ranked by how often they flood they sit 3rd, 6th, 31st and 61st of 64 - Bala 26ca and Bala 28ca in the wettest tenth of the property, Bala 29ca in the driest 5%. They also differ in size, in which kinds of country they hold, and in how many monitoring sites they carry. Read this before any comparison of conserved against grazed ground. A reference state is only useful if it describes one thing, and this one does not.",2,Read first
T1_render,render,Output/figures/T1_conserved_paddock_comparison.png,999e5074a4a6bb9a69aa7fe982552f8f4c67ae88354dd2c1b31ce82ac91b23e3,figure_t1_conserved_paddock_comparison,5,SHIP,WRITTEN 2026-08-05 (Gayini_pack_captions_final_20260805.md),"The same four-paddock comparison, drawn. Same content as T1, for putting on a slide. Where the two differ, T1 is the authority.",3,Read first
T2,table,Output/tables/T13_gateC_classification.csv,08214fc956f40b1c6267f067f92105c202142cc5905cc515351c695c86ae2372,table_t13_gatec_classification,6,SHIP,WRITTEN 2026-08-05 (Gayini_pack_captions_final_20260805.md),"All 115 paddock-parts with sufficient record, each classified against what its own kind of country does at its own level of flooding. A part is one paddock's portion of one vegetation community. 8 are recovering, 16 declining, 14 persistently poor and 77 unremarkable. Three of the 118 parts fall below the support rule and are absent - Bala 15's Riverine portion, Bala 28ca's Aeolian portion, and Mara 3's Aeolian portion. This is the lookup table behind the maps. The classification is definition-sensitive: see M4b.",4,Read first
M1,map,Output/figures/diagnostics/T1_A_zone_map_named.png,a7bdeceb3e14c19aad9c85bf0428c4e1b173ba3fedeb1d18adbe6aa6dc8d1392,figure_t1_a_zone_map_named,1,SHIP,WRITTEN 2026-08-05 (Gayini_pack_captions_final_20260805.md),"All 64 management zones, named, coloured by grazing treatment. Sixty are under 14-day rotational grazing and four have grazing excluded. All four conserved paddocks are in the Bala block, so 'not grazed' and 'in Bala' describe the same ground and no analysis here can separate them. The standard-grazing land carries no mapped zone and does not appear on this map at all.",5,The argument
F5,figure,Output/figures/F5_cover_vs_water_64_paddocks.png,72fa686516fb146960f1dd7823b9b8bdaebe15e0cc4c3d34e9487c3769ad2cac,figure_f5_cover_vs_water_64_paddocks,3,SHIP,WRITTEN 2026-08-05 (Gayini_pack_captions_final_20260805.md),"Cover in the poorest patches against flood frequency, one point per paddock. The relationship accounts for about half the variation between paddocks (r = 0.71). This line is the expectation every residual in M5b is measured against, and it is why comparing paddocks requires adjusting for water first. Fitted across all 64 paddocks including the four conserved ones. It is a description of this property, not a general law.",6,The argument
F3,figure,Output/figures/F3_annual_gap_series.png,7a75a9b8afe22ec3919eede141aa2e5481b96cc359639f365fe2cbf5b781632f,figure_f3_annual_gap_series,1,SHIP,WRITTEN 2026-08-05 (Gayini_pack_captions_final_20260805.md),"Is conserved country pulling away from grazed country? The gap in cover floor between conserved and grazed paddocks, each water year. Above zero means conserved is higher. With Bala 29ca removed the gap is flat - +0.057 percentage points a year, correlation 0.22, averaging 2.1 points below grazed country and crossing zero in both directions. Conserved country is neither pulling away from grazed country nor falling behind it. Bala 29ca alone rises at +0.919 points a year. The four-paddock line at +0.273 is that one paddock carried by the average.",7,The argument
M5b,map,Output/figures/M5b_paddock_residual_from_expectation.png,aa4a4b57b77e0f19830901689d77b4e9f6b7b6dca136faef38ef2d695065c056,figure_m5b_paddock_residual_from_expectation,3,SHIP,WRITTEN 2026-08-05 (Gayini_pack_captions_final_20260805.md),"Each paddock's distance from what its flooding predicts, mapped. Positive means more cover in the poorest patches than its water would predict. The largest shortfalls are Bala 15 at -17.6 percentage points, Bala 29ca at -16.8, and Dinan 10 and Dinan 13 at -15.1 and -15.0 - effectively tied, and both grazed. A shortfall is a question, not a verdict. No land-use history exists for any paddock.",8,The argument
M4,map,Output/figures/T13_D1_part_state_map_and_scatter.png,85502c156e81e825b0733db4d98a2f226c2c9498609da5badd30972c2f6472ef,figure_t13_d1_part_state_map_and_scatter,6,SHIP,WRITTEN 2026-08-05 (Gayini_pack_captions_final_20260805.md),"The 115 parts mapped by state, with the scatter they were classified from. Decline clusters in the east; recovery and persistently poor country in the south-west. The pattern is geographic and it does not follow management: conserved and grazed parts appear in every state. Why geography organises this and management does not is not established here.",9,The argument
F7,figure,Output/figures/T13_D1_part_state_map_and_scatter.png,85502c156e81e825b0733db4d98a2f226c2c9498609da5badd30972c2f6472ef,figure_t13_d1_part_state_map_and_scatter,6,SHIP,WRITTEN 2026-08-05 (Gayini_pack_captions_final_20260805.md),"Bala 29ca's three parts, in the same classification. The paddock is roughly a third Inland Floodplain, a third Riverine and a third Aeolian, and its parts behave in opposite directions - the Aeolian portion sits far below its community's typical level, the Inland portion only a little below. Any whole-paddock number for Bala 29ca is an average across three communities that disagree. Decompose before interpreting.",10,The argument
