pack_item_id,item_title,item_type,source_path,sha256,registered,register_status,claims_served,ship_flag,hold_reason,render_currency,caption_exists,notes
F3,"The gap, year by year",figure,Output/figures/F3_annual_gap_series.png,7a75a9b8afe22ec3919eede141aa2e5481b96cc359639f365fe2cbf5b781632f,1,EXISTS,2,SHIP,,CURRENT,Y,
T1,"The four conserved paddocks, side by side",table,Output/figures/T1_conserved_paddock_comparison.png,999e5074a4a6bb9a69aa7fe982552f8f4c67ae88354dd2c1b31ce82ac91b23e3,1,EXISTS,"1,2,5",SHIP,,CURRENT,Y,
M1,The property and its paddocks,map,Output/figures/diagnostics/T1_A_zone_map_named.png,a7bdeceb3e14c19aad9c85bf0428c4e1b173ba3fedeb1d18adbe6aa6dc8d1392,1,EXISTS,1,SHIP,,CURRENT,Y,
M2,Where the monitoring sites are,map,Output/figures/diagnostics/T2_G_plot_paddock_coverage.png,b9fa880d4b97d0590067538285ca36a7bdf73af4b0e59194163c9194682dc781,1,EXISTS,"2,5",SHIP,,CURRENT,Y,
T3,What we do not know,document,(no file on disk),,0,EXISTS,all,HOLD,Category C - register v2 asserts EXISTS but claim is untrue on disk/registry: CRITICAL: register v2 asserts EXISTS. No limitations register file of any kind in the repo; git has NEVER tracked one (only 3 un-merged *_additions_*.md fragments). CLAUDE.md claims 'current: v10'.,UNKNOWN,N,CRITICAL - client-facing claim
F5,"Cover against water, all 64 paddocks",figure,Output/figures/F5_cover_vs_water_64_paddocks.png,72fa686516fb146960f1dd7823b9b8bdaebe15e0cc4c3d34e9487c3769ad2cac,1,EXISTS,"3,4",HOLD,render-currency SUSPECT: floor_flood: rendered 2026-07-31T08:53:56Z < 2026-07-31T08:54:58Z - floor_flood slope/intercept re-registered at 6 dp on 31 Jul (0.547838 / 52.652934),SUSPECT,Y,
M5,"Cover and water, side by side",map,Output/figures/M5_dual_grain_floor_and_flood.png,17069a37565f408992962fbf57f5427146267f68b0562783e97f66a9b6252f60,1,EXISTS,"3,5",HOLD,render-currency SUSPECT: floor_flood: rendered 2026-07-31T08:53:54Z < 2026-07-31T08:54:58Z - floor_flood slope/intercept re-registered at 6 dp on 31 Jul (0.547838 / 52.652934),SUSPECT,Y,
M5b,Cover against what water predicts,map,Output/figures/M5b_paddock_residual_from_expectation.png,aa4a4b57b77e0f19830901689d77b4e9f6b7b6dca136faef38ef2d695065c056,1,EXISTS,"3,4",HOLD,render-currency SUSPECT: floor_flood: rendered 2026-07-31T08:53:54Z < 2026-07-31T08:54:58Z - floor_flood slope/intercept re-registered at 6 dp on 31 Jul (0.547838 / 52.652934),SUSPECT,Y,
F1,"Thirty-five years, paddock by paddock",figure,Output/figures/diagnostics/T2_E_paddock_trajectories.png,df595f9191fc9ea360a1f9a354b2e4433ef822f6d20bdd501c5e654b0d92bc68,1,EXISTS,"1,2",HOLD,"render-currency SUSPECT: ref_grazed: rendered 2026-07-27T06:43:10Z < 2026-07-28T00:00:00Z - ref_grazed_floor_/mean_cover_{aeolian,riverine,inland} changed 28 Jul (incl. riverine mean sign flip -0.8 -> +1.4",SUSPECT,Y,
F2,"The same record, average cover",figure,Output/figures/diagnostics/T2_E_paddock_trajectories_mean.png,4ea11f33241353487fdb2747f2b1ab75fe0ae3dc7acffd20379c05d6f4a0c6e7,1,EXISTS,1,HOLD,"render-currency SUSPECT: ref_grazed: rendered 2026-07-27T06:43:10Z < 2026-07-28T00:00:00Z - ref_grazed_floor_/mean_cover_{aeolian,riverine,inland} changed 28 Jul (incl. riverine mean sign flip -0.8 -> +1.4",SUSPECT,Y,
F4,Which side moved,figure,Output/figures/diagnostics/T2_F_gap_decomposition.png,3db25902e2fd690be4f17e4f81a813e6eb156949549a1e48ff04e845dcbf1717,1,EXISTS,2,HOLD,"render-currency SUSPECT: ref_grazed: rendered 2026-07-27T06:43:12Z < 2026-07-28T00:00:00Z - ref_grazed_floor_/mean_cover_{aeolian,riverine,inland} changed 28 Jul (incl. riverine mean sign flip -0.8 -> +1.4",SUSPECT,Y,
F6,Grazing intensity does not order the results,figure,Output/figures/diagnostics/T6_A_three_arm_grid.png,c449ab448367f73edb4b146af45887198417adb60a8ab7bd7ae1d9f614e8e056,1,EXISTS,6,HOLD,"render-currency SUSPECT: three_arm: rendered 2026-07-27T09:50:28Z < 2026-07-28T00:00:00Z - three_arm_floor_deficit_{not_grazed,unzoned_inferred,unzoned_plot} changed 28 Jul (-4.8/4.3/5.9 -> -0.92/1.17/1.32",SUSPECT,Y,
T2,The recovering and declining parts,table,Output/tables/T13_gateC_classification.csv,08214fc956f40b1c6267f067f92105c202142cc5905cc515351c695c86ae2372,0,EXISTS,6,HOLD,"Category C - register v2 asserts EXISTS but claim is untrue on disk/registry: register-v2 item T2 exists on disk but is UNREGISTERED; duplicate group 't13_gatec_classification' (2 files, 1 distinct sha256) - byte-identical copies",UNKNOWN,N,CRITICAL - client-facing claim
T1_csv,The four conserved paddocks (table data),table,Output/tables/T1_conserved_paddock_comparison.csv,451615d34606208324243f1c94f206d86f0b2188713af497636a704deea82383,0,EXISTS,"1,2,5",HOLD,Category C - register v2 asserts EXISTS but claim is untrue on disk/registry: register-v2 item T1_csv exists on disk but is UNREGISTERED,UNKNOWN,N,CRITICAL - client-facing claim
(unlisted) AUD1-0015,,raster,Input/landsat_landcover/level3/LLC3_1988_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0016,,raster,Input/landsat_landcover/level3/LLC3_1989_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0017,,raster,Input/landsat_landcover/level3/LLC3_1990_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0018,,raster,Input/landsat_landcover/level3/LLC3_1991_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0019,,raster,Input/landsat_landcover/level3/LLC3_1992_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0020,,raster,Input/landsat_landcover/level3/LLC3_1993_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0021,,raster,Input/landsat_landcover/level3/LLC3_1994_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0022,,raster,Input/landsat_landcover/level3/LLC3_1995_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0023,,raster,Input/landsat_landcover/level3/LLC3_1996_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0024,,raster,Input/landsat_landcover/level3/LLC3_1997_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
