"paddock","zone_fid","n_cells_panels","n_cells_zone_non_treed","census_coverage_pct","water_mean_v1_pct","water_mean_v2_pct","change_pp","cover_mean_v2_pct","n_parts","cell_set_equal","png","support_level","unit","period_label","weighting","scope_filter","estimand"
"Bala 26ca",1,33035,33035,100,45.3020822071829,45.2919630694718,-0.0101191377110865,86.7353499978448,2,TRUE,"D1v2_paddock_Bala_26ca_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Bala 28ca",3,21976,21986,99.9545165105067,47.5046981241671,43.3572988714962,-4.14739925267097,86.5153428211358,2,TRUE,"D1v2_paddock_Bala_28ca_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Bala 29ca",4,36676,36676,100,10.3169901572992,8.52733589891404,-1.78965425838519,75.2505130445211,3,TRUE,"D1v2_paddock_Bala_29ca_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Bala 22",20,5266,5266,100,58.9744423665881,58.8975096305138,-0.0769327360742622,88.8180485316685,1,TRUE,"D1v2_paddock_Bala_22_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Bala 6",10,32425,32425,100,10.5422639796579,10.5450379997797,0.00277402012177319,78.4488230374468,2,TRUE,"D1v2_paddock_Bala_6_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Dinan 9",56,27306,27306,100,12.2192448938283,11.5128020006069,-0.706442893221377,72.5613472619349,3,TRUE,"D1v2_paddock_Dinan_9_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Bala 12",12,15571,15571,100,45.0667960029386,39.6054937291852,-5.46130227375339,88.1696921636931,2,TRUE,"D1v2_paddock_Bala_12_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Bala 17",15,11970,11970,100,27.4068945760122,27.4156820622986,0.00878748628637993,78.5877556392125,1,TRUE,"D1v2_paddock_Bala_17_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Bala 19",17,13332,13332,100,29.2408102025506,29.1483434057691,-0.0924667967814905,80.1843064444406,1,TRUE,"D1v2_paddock_Bala_19_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Bala 20",18,12653,12653,100,37.551084919506,37.503923406081,-0.0471615134249745,83.1713478313115,3,TRUE,"D1v2_paddock_Bala_20_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Bala 21",19,10258,10258,100,40.4550708089065,40.3899395593683,-0.0651312495381617,82.7596770695278,1,TRUE,"D1v2_paddock_Bala_21_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Bala 23",21,24369,24369,100,38.6121209278326,38.6037295627349,-0.00839136509777916,87.9342267393419,2,TRUE,"D1v2_paddock_Bala_23_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Bala 8/11",25,24880,24880,100,31.9176588098874,31.9747358750574,0.0570770651700414,81.4906603845326,2,TRUE,"D1v2_paddock_Bala_8_11_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Dinan 1",62,12527,12527,100,25.4795929168746,21.1488328068515,-4.33076011002311,77.997201851796,3,TRUE,"D1v2_paddock_Dinan_1_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Dinan 10",57,13489,13489,100,10.1273351393804,5.0858371371382,-5.04149800224216,66.8835149990346,3,TRUE,"D1v2_paddock_Dinan_10_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Dinan 12",59,26488,26488,100,12.9122379598889,15.0506968114942,2.1384588516053,76.8455401201072,2,TRUE,"D1v2_paddock_Dinan_12_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Dinan 3",51,9590,9590,100,18.0583525207052,15.7965142261284,-2.26183829457677,74.4850459416215,3,TRUE,"D1v2_paddock_Dinan_3_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Dinan 6",53,6827,6827,100,23.9076942691401,21.9029483772416,-2.00474589189843,78.6718767520515,2,TRUE,"D1v2_paddock_Dinan_6_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Dinan 8",55,42843,42843,100,12.6825912503662,12.5087945688744,-0.173796681491792,71.5020487672937,3,TRUE,"D1v2_paddock_Dinan_8_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Mara 13",31,1835,1835,100,29.6465755365111,30.7683923705722,1.12181683406112,81.2933837980907,3,TRUE,"D1v2_paddock_Mara_13_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Mara 21",45,13640,13640,100,41.4217672120508,41.4243820695434,0.00261485749257417,85.9587326760166,2,TRUE,"D1v2_paddock_Mara_21_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Mara 7",37,14876,14876,100,31.375902553004,31.3530903084547,-0.0228122445493852,82.2728778222207,3,TRUE,"D1v2_paddock_Mara_7_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
"Mara 8",38,3784,3784,100,15.825338067538,15.7535487768046,-0.0717892907333706,78.0258868568291,3,TRUE,"D1v2_paddock_Mara_8_slide_data.png","pixel","paddock (management zone)","1988-2022 (35 water years)","water pooled as sum(wet)/sum(valid); cover area-weighted over parts","treed_context_flag = 0 AND regime_band <> 'context'","BEFORE/AFTER of the cell-set correction: v1 water is all valid pixels in the polygon, v2 is the paddock's PARTREG census cells."
