unit_set,community,n,rho_bar,n_eff,range_m,nugget,partial_sill,ratio_n_eff_over_n,method,model_form,max_lag_m,support_level,metric,period_label,analysed_ha,property_ha,assumption_note,model_adequacy,en_note,number_id
pixel census,aeolian,77544,0.006248924888239129,159.70001420500225,1110.2289173201466,50.2522466630042,102.08204034224582,0.0020594760936371898,Clifford-Richardson (1989) variance-inflation effective sample size: n_eff = n / (1 + (n-1) * rho_bar),"spherical, isotropic, median of ten seeds",20000.0,pixel,"veg_p05_temporal_mean residual (OLS, Stage 0)",1988-2022 (35 water years),61654.900592535145,85910.8,"assumes one isotropic correlation function per community, stationary over the analysed area. Stage A's directional variograms show the country is NOT isotropic; the anisotropy is reported beside these numbers and not averaged away","pseudo-R2 +0.26, empirical variogram TURNS OVER (falls 39% from a peak at 7.9 km)",Ruling EN: only ranges resolved within the maximum binned lag enter the correlation function; a range fitted past it is not a measured range,spat1_n_eff_pixel_aeolian
paddock x community areas,aeolian,12,0.0002573653946041786,11.96612367245073,1110.2289173201466,50.2522466630042,102.08204034224582,0.9971769727042274,Clifford-Richardson (1989) variance-inflation effective sample size: n_eff = n / (1 + (n-1) * rho_bar),"spherical, isotropic, median of ten seeds",20000.0,pixel,"veg_p05_temporal_mean residual (OLS, Stage 0)",1988-2022 (35 water years),61654.900592535145,85910.8,"assumes one isotropic correlation function per community, stationary over the analysed area. Stage A's directional variograms show the country is NOT isotropic; the anisotropy is reported beside these numbers and not averaged away","pseudo-R2 +0.26, empirical variogram TURNS OVER (falls 39% from a peak at 7.9 km)",Ruling EN: only ranges resolved within the maximum binned lag enter the correlation function; a range fitted past it is not a measured range,spat1_n_eff_part_aeolian
unzoned tracts,aeolian,2,0.0,2.0,1110.2289173201466,50.2522466630042,102.08204034224582,1.0,Clifford-Richardson (1989) variance-inflation effective sample size: n_eff = n / (1 + (n-1) * rho_bar),"spherical, isotropic, median of ten seeds",20000.0,pixel,"veg_p05_temporal_mean residual (OLS, Stage 0)",1988-2022 (35 water years),61654.900592535145,85910.8,"assumes one isotropic correlation function per community, stationary over the analysed area. Stage A's directional variograms show the country is NOT isotropic; the anisotropy is reported beside these numbers and not averaged away","pseudo-R2 +0.26, empirical variogram TURNS OVER (falls 39% from a peak at 7.9 km)",Ruling EN: only ranges resolved within the maximum binned lag enter the correlation function; a range fitted past it is not a measured range,spat1_n_eff_tract_aeolian
pixel census,riverine,193658,0.013501640562798818,74.03714003761031,2982.6852425778266,49.79441494152173,94.88531819251261,0.000382308709361918,Clifford-Richardson (1989) variance-inflation effective sample size: n_eff = n / (1 + (n-1) * rho_bar),"spherical, isotropic, median of ten seeds",20000.0,pixel,"veg_p05_temporal_mean residual (OLS, Stage 0)",1988-2022 (35 water years),61654.900592535145,85910.8,"assumes one isotropic correlation function per community, stationary over the analysed area. Stage A's directional variograms show the country is NOT isotropic; the anisotropy is reported beside these numbers and not averaged away","pseudo-R2 +0.55, empirical variogram TURNS OVER (falls 22% from a peak at 4.9 km)",Ruling EN: only ranges resolved within the maximum binned lag enter the correlation function; a range fitted past it is not a measured range,spat1_n_eff_pixel_riverine
paddock x community areas,riverine,27,0.0022961824164346913,25.47889126505987,2982.6852425778266,49.79441494152173,94.88531819251261,0.9436626394466617,Clifford-Richardson (1989) variance-inflation effective sample size: n_eff = n / (1 + (n-1) * rho_bar),"spherical, isotropic, median of ten seeds",20000.0,pixel,"veg_p05_temporal_mean residual (OLS, Stage 0)",1988-2022 (35 water years),61654.900592535145,85910.8,"assumes one isotropic correlation function per community, stationary over the analysed area. Stage A's directional variograms show the country is NOT isotropic; the anisotropy is reported beside these numbers and not averaged away","pseudo-R2 +0.55, empirical variogram TURNS OVER (falls 22% from a peak at 4.9 km)",Ruling EN: only ranges resolved within the maximum binned lag enter the correlation function; a range fitted past it is not a measured range,spat1_n_eff_part_riverine
unzoned tracts,riverine,8,0.0,8.0,2982.6852425778266,49.79441494152173,94.88531819251261,1.0,Clifford-Richardson (1989) variance-inflation effective sample size: n_eff = n / (1 + (n-1) * rho_bar),"spherical, isotropic, median of ten seeds",20000.0,pixel,"veg_p05_temporal_mean residual (OLS, Stage 0)",1988-2022 (35 water years),61654.900592535145,85910.8,"assumes one isotropic correlation function per community, stationary over the analysed area. Stage A's directional variograms show the country is NOT isotropic; the anisotropy is reported beside these numbers and not averaged away","pseudo-R2 +0.55, empirical variogram TURNS OVER (falls 22% from a peak at 4.9 km)",Ruling EN: only ranges resolved within the maximum binned lag enter the correlation function; a range fitted past it is not a measured range,spat1_n_eff_tract_riverine
pixel census,inland,717627,0.0058740957317244815,170.19883057397053,3217.4683726302183,43.68508262767517,63.01150114954024,0.00023716893396426072,Clifford-Richardson (1989) variance-inflation effective sample size: n_eff = n / (1 + (n-1) * rho_bar),"spherical, isotropic, median of ten seeds",20000.0,pixel,"veg_p05_temporal_mean residual (OLS, Stage 0)",1988-2022 (35 water years),61654.900592535145,85910.8,"assumes one isotropic correlation function per community, stationary over the analysed area. Stage A's directional variograms show the country is NOT isotropic; the anisotropy is reported beside these numbers and not averaged away","pseudo-R2 +0.78, empirical variogram plateaus (falls 3% from a peak at 17.6 km)",Ruling EN: only ranges resolved within the maximum binned lag enter the correlation function; a range fitted past it is not a measured range,spat1_n_eff_pixel_inland
paddock x community areas,inland,61,0.0019203503790842494,54.697677640484095,3217.4683726302183,43.68508262767517,63.01150114954024,0.896683240007936,Clifford-Richardson (1989) variance-inflation effective sample size: n_eff = n / (1 + (n-1) * rho_bar),"spherical, isotropic, median of ten seeds",20000.0,pixel,"veg_p05_temporal_mean residual (OLS, Stage 0)",1988-2022 (35 water years),61654.900592535145,85910.8,"assumes one isotropic correlation function per community, stationary over the analysed area. Stage A's directional variograms show the country is NOT isotropic; the anisotropy is reported beside these numbers and not averaged away","pseudo-R2 +0.78, empirical variogram plateaus (falls 3% from a peak at 17.6 km)",Ruling EN: only ranges resolved within the maximum binned lag enter the correlation function; a range fitted past it is not a measured range,spat1_n_eff_part_inland
unzoned tracts,inland,29,0.0034359261965273796,26.454883260241733,3217.4683726302183,43.68508262767517,63.01150114954024,0.9122373538014391,Clifford-Richardson (1989) variance-inflation effective sample size: n_eff = n / (1 + (n-1) * rho_bar),"spherical, isotropic, median of ten seeds",20000.0,pixel,"veg_p05_temporal_mean residual (OLS, Stage 0)",1988-2022 (35 water years),61654.900592535145,85910.8,"assumes one isotropic correlation function per community, stationary over the analysed area. Stage A's directional variograms show the country is NOT isotropic; the anisotropy is reported beside these numbers and not averaged away","pseudo-R2 +0.78, empirical variogram plateaus (falls 3% from a peak at 17.6 km)",Ruling EN: only ranges resolved within the maximum binned lag enter the correlation function; a range fitted past it is not a measured range,spat1_n_eff_tract_inland
pixel census,analysed area (all),988829,0.004357018631281533,229.46171262567282,3006.237302624939,45.396566863261356,72.3177669973937,0.0002320539877225211,Clifford-Richardson (1989) variance-inflation effective sample size: n_eff = n / (1 + (n-1) * rho_bar),"spherical, isotropic, median of ten seeds",20000.0,pixel,"veg_p05_temporal_mean residual (OLS, Stage 0)",1988-2022 (35 water years),61654.900592535145,85910.8,"assumes one isotropic correlation function per community, stationary over the analysed area. Stage A's directional variograms show the country is NOT isotropic; the anisotropy is reported beside these numbers and not averaged away",see SPAT1_variogram_fit_quality.csv,Ruling EN: only ranges resolved within the maximum binned lag enter the correlation function; a range fitted past it is not a measured range,spat1_n_eff_pixel_all
