_blk,community_short,n_cells,y,x,cx,cy,rung,block_m
0,aeolian,1273,56.53131,1.0616093,8999267.324141325,4339798.579327792,1000 m,1000.0
1,aeolian,1206,49.530815,0.25823265,8999333.974727497,4340746.171248571,1000 m,1000.0
2,aeolian,994,50.58161,1.6930152,8999221.12126586,4341635.608410373,1000 m,1000.0
1000000,aeolian,1159,48.678112,2.6919758,9000236.190991122,4339727.511191845,1000 m,1000.0
1000001,aeolian,886,47.421047,1.3544018,9000102.034227757,4340655.345659976,1000 m,1000.0
1000002,inland,1087,43.066578,46.46603,9000360.438188566,4341824.620548465,1000 m,1000.0
1000003,inland,1559,38.952488,46.93852,9000233.204684818,4342728.381332077,1000 m,1000.0
1000004,inland,922,37.796528,47.133564,9000183.338326633,4343529.360807041,1000 m,1000.0
1000004,riverine,643,49.55131,43.11042,9000340.914184948,4343990.605603472,1000 m,1000.0
1000005,aeolian,600,43.93304,0.21904762,9000097.557240957,4344774.694154092,1000 m,1000.0
2000000,aeolian,1089,47.60558,2.0595567,9001117.600255547,4339729.606049566,1000 m,1000.0
2000001,riverine,560,42.278645,20.091837,9001230.398847146,4340994.356101879,1000 m,1000.0
2000002,inland,1505,44.812138,48.57333,9001211.210730905,4341751.218613013,1000 m,1000.0
2000003,inland,1270,42.716743,46.519684,9001148.09246208,4342676.831834202,1000 m,1000.0
2000004,riverine,1206,46.426876,14.397062,9001317.102645524,4343795.132073642,1000 m,1000.0
2000005,riverine,915,47.96408,8.393442,9001308.009402998,4344630.798550125,1000 m,1000.0
2000007,riverine,760,59.24414,9.349624,9001473.305108348,4346640.9457,1000 m,1000.0
2000008,aeolian,570,59.15124,2.2305765,9001298.995114705,4347785.262990509,1000 m,1000.0
3000002,riverine,1189,43.5301,22.645681,9002271.7202259,4341717.638005449,1000 m,1000.0
3000003,riverine,1468,42.380352,17.119501,9002209.978864487,4342762.9628116125,1000 m,1000.0
3000004,riverine,1201,48.516224,18.215773,9002252.571484992,4343726.558526386,1000 m,1000.0
3000005,riverine,796,56.939896,20.839914,9002445.203281676,4344708.270731634,1000 m,1000.0
3000006,riverine,927,58.81185,13.801819,9002319.537751181,4345891.069044127,1000 m,1000.0
3000007,riverine,1556,57.496475,10.209328,9002223.377363572,4346715.268481388,1000 m,1000.0
3000009,aeolian,554,65.511345,4.100052,9002200.15056268,4348587.9308241485,1000 m,1000.0
4000001,riverine,556,43.457237,8.761562,9003255.813504338,4340984.699691199,1000 m,1000.0
4000002,riverine,1329,41.478382,17.336344,9003171.845907584,4341754.093818316,1000 m,1000.0
4000003,riverine,1569,39.037052,15.165255,9003244.313597405,4342736.889361948,1000 m,1000.0
4000004,riverine,1373,48.193623,14.916242,9003242.765761796,4343742.520573495,1000 m,1000.0
4000005,riverine,1149,54.613853,14.345394,9003197.503657952,4344686.546065544,1000 m,1000.0
4000006,riverine,1270,51.955162,3.9235098,9003189.32339384,4345772.987773309,1000 m,1000.0
5000001,aeolian,681,31.802559,3.5535977,9004375.11521783,4340914.621091337,1000 m,1000.0
5000002,aeolian,734,40.983948,4.745037,9004328.30127306,4341706.914385967,1000 m,1000.0
5000003,riverine,1040,32.892014,5.8076925,9004134.084297558,4342836.170615599,1000 m,1000.0
5000004,riverine,1225,50.580444,14.572594,9004166.076816438,4343717.447910952,1000 m,1000.0
5000005,riverine,1203,56.55893,10.585442,9004187.21098164,4344718.232496644,1000 m,1000.0
5000006,riverine,562,53.86668,9.603457,9004174.561013125,4345898.659234119,1000 m,1000.0
5000007,aeolian,807,54.943783,2.0570014,9004022.460701752,4346750.324121345,1000 m,1000.0
5000008,aeolian,817,54.588932,1.3009268,9004116.250574939,4347641.518397951,1000 m,1000.0
5000009,riverine,1142,63.23402,18.088566,9004330.326114817,4348775.460667454,1000 m,1000.0
6000001,aeolian,900,42.17602,7.5873013,9005198.344864506,4340941.314100049,1000 m,1000.0
6000002,aeolian,912,35.7809,5.8583965,9005232.310635049,4341597.48272957,1000 m,1000.0
6000003,aeolian,910,37.802742,7.268446,9005296.738391485,4342776.471781182,1000 m,1000.0
6000004,aeolian,964,45.612305,3.8648489,9005261.579967216,4343608.759813371,1000 m,1000.0
6000005,riverine,1375,52.06581,20.737661,9005233.47525711,4344753.569307363,1000 m,1000.0
6000006,riverine,1600,51.17398,30.616072,9005232.776089605,4345726.311067613,1000 m,1000.0
6000007,riverine,1600,49.343185,33.6,9005232.776089605,4346725.121787656,1000 m,1000.0
6000008,riverine,1268,58.14502,31.117619,9005328.876174657,4347686.162023452,1000 m,1000.0
6000009,riverine,1381,49.928223,19.34623,9005196.007776802,4348724.32534103,1000 m,1000.0
