"rung","block_m","community","n_units","k_basis","edf","ame","estimand","metric","support_level","period_label","eu_note"
"rung 0 (pixel census)",24.970268,"aeolian",77544,10,9.63986047186006,0.144982825123683,"average marginal effect of the fitted GAM - the mean of dy/dx over the rung's own observed x, directly comparable to an OLS slope","veg_p05_temporal_mean","pixel, aggregated to block x vegetation community","1988-2022 (35 water years)","Ruling EU: read beside SPAT1_ladder_slopes.csv. If the OLS ladder moves and this one is flat, the movement is aggregation-induced curvature bias rather than a scale effect."
"rung 0 (pixel census)",24.970268,"riverine",193658,10,9.83324863386269,0.874895679516587,"average marginal effect of the fitted GAM - the mean of dy/dx over the rung's own observed x, directly comparable to an OLS slope","veg_p05_temporal_mean","pixel, aggregated to block x vegetation community","1988-2022 (35 water years)","Ruling EU: read beside SPAT1_ladder_slopes.csv. If the OLS ladder moves and this one is flat, the movement is aggregation-induced curvature bias rather than a scale effect."
"rung 0 (pixel census)",24.970268,"inland",717627,10,9.95361893692568,0.654426855440541,"average marginal effect of the fitted GAM - the mean of dy/dx over the rung's own observed x, directly comparable to an OLS slope","veg_p05_temporal_mean","pixel, aggregated to block x vegetation community","1988-2022 (35 water years)","Ruling EU: read beside SPAT1_ladder_slopes.csv. If the OLS ladder moves and this one is flat, the movement is aggregation-induced curvature bias rather than a scale effect."
"1000 m",1000,"aeolian",67,6,3.37664400722369,-0.149826514614597,"average marginal effect of the fitted GAM - the mean of dy/dx over the rung's own observed x, directly comparable to an OLS slope","veg_p05_temporal_mean","pixel, aggregated to block x vegetation community","1988-2022 (35 water years)","Ruling EU: read beside SPAT1_ladder_slopes.csv. If the OLS ladder moves and this one is flat, the movement is aggregation-induced curvature bias rather than a scale effect."
"1000 m",1000,"riverine",145,8,4.61064905864898,0.824739981782143,"average marginal effect of the fitted GAM - the mean of dy/dx over the rung's own observed x, directly comparable to an OLS slope","veg_p05_temporal_mean","pixel, aggregated to block x vegetation community","1988-2022 (35 water years)","Ruling EU: read beside SPAT1_ladder_slopes.csv. If the OLS ladder moves and this one is flat, the movement is aggregation-induced curvature bias rather than a scale effect."
"1000 m",1000,"inland",534,8,5.36784457204247,0.65288437927701,"average marginal effect of the fitted GAM - the mean of dy/dx over the rung's own observed x, directly comparable to an OLS slope","veg_p05_temporal_mean","pixel, aggregated to block x vegetation community","1988-2022 (35 water years)","Ruling EU: read beside SPAT1_ladder_slopes.csv. If the OLS ladder moves and this one is flat, the movement is aggregation-induced curvature bias rather than a scale effect."
"2000 m",2000,"aeolian",40,4,2.36425051817298,-0.0927207251687364,"average marginal effect of the fitted GAM - the mean of dy/dx over the rung's own observed x, directly comparable to an OLS slope","veg_p05_temporal_mean","pixel, aggregated to block x vegetation community","1988-2022 (35 water years)","Ruling EU: read beside SPAT1_ladder_slopes.csv. If the OLS ladder moves and this one is flat, the movement is aggregation-induced curvature bias rather than a scale effect."
"2000 m",2000,"riverine",85,8,3.83051170685463,0.701696601857901,"average marginal effect of the fitted GAM - the mean of dy/dx over the rung's own observed x, directly comparable to an OLS slope","veg_p05_temporal_mean","pixel, aggregated to block x vegetation community","1988-2022 (35 water years)","Ruling EU: read beside SPAT1_ladder_slopes.csv. If the OLS ladder moves and this one is flat, the movement is aggregation-induced curvature bias rather than a scale effect."
"2000 m",2000,"inland",198,8,3.1410400897834,0.573763183947919,"average marginal effect of the fitted GAM - the mean of dy/dx over the rung's own observed x, directly comparable to an OLS slope","veg_p05_temporal_mean","pixel, aggregated to block x vegetation community","1988-2022 (35 water years)","Ruling EU: read beside SPAT1_ladder_slopes.csv. If the OLS ladder moves and this one is flat, the movement is aggregation-induced curvature bias rather than a scale effect."
"4000 m",4000,"aeolian",20,4,2.00005446751577,-0.201206811507971,"average marginal effect of the fitted GAM - the mean of dy/dx over the rung's own observed x, directly comparable to an OLS slope","veg_p05_temporal_mean","pixel, aggregated to block x vegetation community","1988-2022 (35 water years)","Ruling EU: read beside SPAT1_ladder_slopes.csv. If the OLS ladder moves and this one is flat, the movement is aggregation-induced curvature bias rather than a scale effect."
"4000 m",4000,"riverine",39,4,2.0000221804594,0.539748130295309,"average marginal effect of the fitted GAM - the mean of dy/dx over the rung's own observed x, directly comparable to an OLS slope","veg_p05_temporal_mean","pixel, aggregated to block x vegetation community","1988-2022 (35 water years)","Ruling EU: read beside SPAT1_ladder_slopes.csv. If the OLS ladder moves and this one is flat, the movement is aggregation-induced curvature bias rather than a scale effect."
"4000 m",4000,"inland",70,7,5.86334030533412,0.539511292720958,"average marginal effect of the fitted GAM - the mean of dy/dx over the rung's own observed x, directly comparable to an OLS slope","veg_p05_temporal_mean","pixel, aggregated to block x vegetation community","1988-2022 (35 water years)","Ruling EU: read beside SPAT1_ladder_slopes.csv. If the OLS ladder moves and this one is flat, the movement is aggregation-induced curvature bias rather than a scale effect."
