rung,block_m,community,n_units,slope,intercept,r,ci_lo,ci_hi,n_super_blocks,subset,metric,support_level,period_label,min_cells_filter,interval_basis,eu_note
rung 0 (pixel census),24.970268,aeolian,77544,0.2585457072217858,44.4736999466138,0.18908144196713478,0.07341722395869937,0.6289822775282241,15.0,all,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
rung 0 (pixel census),24.970268,riverine,193658,0.5132981063772838,37.4153700434135,0.45728221716522466,0.2746958300269812,0.7792178364582737,23.0,all,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
rung 0 (pixel census),24.970268,inland,717627,0.5302971697086052,46.18454124171113,0.6586771469013498,0.45367461992266933,0.6140385209620701,24.0,all,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
1000 m,1000.0,aeolian,67,0.17886760830879211,44.74691390991211,0.13771302212278078,-0.22992284360700524,0.5220386665417832,11.0,all,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
1000 m,1000.0,aeolian,67,0.17886760830879211,44.74691390991211,0.13771302212278078,,,,restricted to |GAM-OLS| <= 2.0 pp,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
1000 m,1000.0,riverine,145,0.552305281162262,36.624324798583984,0.5246780274274393,0.26126781007940775,0.8806694111055213,14.0,all,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
1000 m,1000.0,riverine,134,0.4948885440826416,37.798126220703125,0.4713659758962135,,,,restricted to |GAM-OLS| <= 2.0 pp,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
1000 m,1000.0,inland,534,0.597618818283081,44.23969268798828,0.7627518473156015,0.4950784088422537,0.7101273874732279,22.0,all,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
1000 m,1000.0,inland,495,0.590924084186554,44.76885223388672,0.7214328987808839,,,,restricted to |GAM-OLS| <= 2.0 pp,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
2000 m,2000.0,aeolian,40,-0.005699803587049246,45.62504577636719,-0.004237897770498035,-0.47831662675311115,0.5312744452805043,12.0,all,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
