community,seed,direction,lag_m,semivariance,n_pairs,metric,support_level,period_label,max_lag_m,n_subsample,estimator
aeolian,20260810,isotropic,125.0,63.36357306895621,158873,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,375.0,106.09770454743024,366588,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,625.0,127.89126355562762,484625,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,875.0,140.22594837981404,536873,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,1125.0,150.33560232481207,543442,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,1375.0,154.09897083462383,540137,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,1625.0,154.11271606325909,534608,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,1875.0,153.84757967327644,533900,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,2125.0,151.80754416616924,546291,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,2375.0,151.44274570861586,568672,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,2625.0,151.13678816534463,587462,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,2875.0,147.71415876954265,582680,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,3125.0,146.48717746572646,584144,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,3375.0,146.58796824622772,588053,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,3625.0,147.68514003049705,596163,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,3875.0,150.4297594705702,621490,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,4125.0,152.2674087317061,653293,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,4375.0,150.75737093685856,682579,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,4625.0,154.30761271267946,726999,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,4875.0,155.13795694858558,744875,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,5125.0,159.1973802811709,761681,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,5375.0,163.33780396246877,791223,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,5625.0,168.8763102004993,835830,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,5875.0,169.79038285101652,865524,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,6125.0,172.05493951520245,880080,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,6375.0,176.50318145243205,899513,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,6625.0,178.45943156230288,890789,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,6875.0,176.80310854422427,858780,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,7125.0,174.24251247386312,808449,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,7375.0,173.80399483430074,748160,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,7625.0,182.18723890639356,722310,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,7875.0,184.10349159333364,715816,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,8125.0,179.21434194889858,712497,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,8375.0,172.53041743014896,705590,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,8625.0,168.6199124768034,677798,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,8875.0,175.59401045820616,619631,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,9125.0,171.71321873512042,546404,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,9375.0,176.96730708983856,470998,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,9625.0,182.2564883469912,394500,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,9875.0,174.71873283819954,335348,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,10125.0,170.53707587404114,303853,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,10375.0,168.83297372215884,290471,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,10625.0,162.18277211792127,290013,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,10875.0,147.31503064472213,285151,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,11125.0,140.50945159292613,283413,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,11375.0,142.88171785618925,278057,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,11625.0,152.91241187510175,277889,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,11875.0,156.9097864044761,277509,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,12125.0,152.67940265270428,276255,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,12375.0,147.38434055490424,267741,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,12625.0,147.29928118270146,263197,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,12875.0,153.38584522345823,257651,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,13125.0,159.59216611357184,250158,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,13375.0,161.77124458200336,241384,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,13625.0,164.88370623683315,235554,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,13875.0,167.09902070985106,242865,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,14125.0,170.4868795053817,261734,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,14375.0,163.02304994300619,258127,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
aeolian,20260810,isotropic,14625.0,169.99447713993274,237357,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,gamma(h) = 0.5 * mean (z_i - z_j)^2 over pairs in the lag bin
