community,seed,direction,model,nugget,psill,rng,sse,metric,support_level,period_label,max_lag_m,n_subsample,range_resolved_within_max_lag,range_note
aeolian,20260810,isotropic,spherical,49.8685421265422,102.90254058922494,1117.504328143594,30549.04682395101,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20260810,isotropic,exponential,26.14738796551662,126.77417304987672,1104.267261239031,30493.6650829805,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20261810,isotropic,spherical,50.57545682930077,102.93255198729142,1115.9141947359813,32072.2872678549,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20261810,isotropic,exponential,27.0094245076301,126.66942403009229,1113.5082291875287,31927.195831145393,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20262810,isotropic,spherical,51.449941017724896,99.15729109670492,1069.2517390345217,28903.169733405724,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20262810,isotropic,exponential,26.283460878175745,124.43763816644224,1027.904369563695,28838.803403516653,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20263810,isotropic,spherical,51.787534614014554,100.38722763291368,1171.585395680316,30209.918486819537,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20263810,isotropic,exponential,28.19819011126748,124.1156683648249,1144.7382752857493,30167.475976905524,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20264810,isotropic,spherical,51.25549208369795,101.5277618523739,1122.0387899984632,32650.60328752732,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20264810,isotropic,exponential,27.780442533972533,125.16090737556861,1112.0938858122508,32544.888660029865,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20265810,isotropic,spherical,46.71480996754183,106.62538000892808,1099.457127289828,35277.09577204571,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20265810,isotropic,exponential,19.131041641478223,134.29872424542245,1036.3640734801822,35333.50610138831,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20266810,isotropic,spherical,50.87014885402954,101.53977618253293,1098.7992529201158,34739.463283535515,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20266810,isotropic,exponential,26.05670324370942,126.4753423430169,1064.0466141275783,34709.351989764764,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20267810,isotropic,spherical,49.92903649670763,99.9545538246712,1168.365145552828,29369.31374913099,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20267810,isotropic,exponential,27.311178995373687,122.7241630296291,1155.908216973084,29331.974842615968,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20268810,isotropic,spherical,48.78221970608723,102.6243045019587,1103.8335157308322,30809.001294820773,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20268810,isotropic,exponential,23.12640204177845,128.39081039469042,1058.1127465144168,30800.495456491415,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20269810,isotropic,spherical,46.82605258111379,104.28908979981684,1104.5436399043115,31521.789543284023,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20269810,isotropic,exponential,22.77933336634532,128.50021903018057,1098.1396361647496,31400.828467938423,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20260810,0deg,spherical,104.67898071712816,65.9694207416073,5766.101478976814,35809.08238533266,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20260810,0deg,exponential,81.90084217182265,88.01471688736352,4366.352031036667,36213.307248823556,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20260810,45deg,spherical,45.8877357839897,83.62371433169511,681.0390302747616,44744.04810473582,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20260810,45deg,exponential,14.139904772360087,115.40831102137501,597.4382395308634,44787.5416906434,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20260810,90deg,spherical,35.37215538487702,97.39661418952683,753.1870521137884,105622.52802235902,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20260810,90deg,exponential,2.213678169596979e-10,132.74523192644233,629.4207993317004,105775.99240543172,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20260810,135deg,spherical,57.923550818217166,122.09657366017885,1766.5701041473717,287222.09699452214,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
aeolian,20260810,135deg,exponential,45.9714276740575,135.0310736096836,2205.4969269215117,286194.142918146,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
riverine,20260810,isotropic,spherical,49.36084956637494,94.88445965960389,3110.534130223434,19602.454622469966,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
riverine,20260810,isotropic,exponential,23.853752182337367,120.25429385817257,2698.350005060843,20114.04228032389,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
riverine,20261810,isotropic,spherical,48.264720280219876,95.42998537808126,2932.9987145587975,16848.13745275205,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
riverine,20261810,isotropic,exponential,22.84618640175264,120.81393346375127,2594.920423462267,17004.160243154867,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
riverine,20262810,isotropic,spherical,49.607366412944636,95.99966255769226,3022.7194435952047,20435.48901005462,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
riverine,20262810,isotropic,exponential,24.055700429089583,121.46044272619606,2648.6391826550384,20822.424040786187,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
riverine,20263810,isotropic,spherical,47.82736096235494,96.61163224087676,2864.5100207740784,17286.604049250527,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
riverine,20263810,isotropic,exponential,22.81944308628422,121.57728672315442,2545.9374661880443,17630.285206720764,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
riverine,20264810,isotropic,spherical,51.37738663436711,93.80907196634286,3079.7823730153877,17647.733289757845,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
riverine,20264810,isotropic,exponential,26.660181984129988,118.46818036577265,2719.819957250758,17933.92589997841,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
riverine,20265810,isotropic,spherical,48.31430529621977,92.80625497467705,2935.348177698838,20518.35861362786,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
riverine,20265810,isotropic,exponential,23.413278703571535,117.58693969807376,2550.8407135903867,20989.293819618004,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
riverine,20266810,isotropic,spherical,51.23466038148755,94.13450870526783,3026.6194710819545,17484.5974994238,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
riverine,20266810,isotropic,exponential,26.67220118545562,118.643485152075,2680.221080864178,17808.451724187194,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
riverine,20267810,isotropic,spherical,49.98146347009882,95.66294178042634,2968.9961878022154,19253.112996542703,"veg_p05_temporal_mean residual (OLS, Stage 0)",pixel,1988-2022 (35 water years),20000.0,10000,True,range measured inside the binned lag; exponential range is the PRACTICAL range (3a)
