number_id,label,iterated_by_test,recompute_path_exists,status,stated_value,recomputed_value,agrees,tolerance
bala29ca_floor_gap_periodwise,"Bala 29ca floor gap, by period",0,0,NOT_PINNED_deliberate,,,,
bala29ca_floor_gap_periodwise_jja_son,"Bala 29ca floor gap, by period, jja_son",0,0,NOT_PINNED_deliberate,,,,
bala29ca_mean_flood_freq,Bala 29ca mean annual flood frequency,1,1,REPRODUCES,8.5,8.5,1,0.05
bala29ca_median_cover,Bala 29ca median cover vs grazed median,1,1,REPRODUCES,75.6,75.6,1,0.05
bala29ca_ref_plot_share_pct,Bala 29ca share of reference monitoring plots,1,1,REPRODUCES,54.17,54.17,1,0.05
floor_flood_intercept_64pdk,"Expectation-line intercept, paddock floor on mean annual inundation",1,1,REPRODUCES,52.652934,52.652934,1,5e-06
floor_flood_r_64pdk,"Floor vs flood-freq correlation r, 64 paddocks",1,1,REPRODUCES,0.71,0.71,1,0.005
floor_flood_residual_sd_64pdk,"Descriptive residual SD of the 64-paddock floor~flood fit (population, ddof=0)",1,1,REPRODUCES,6.6208,6.6208,1,0.005
floor_flood_rse_64pdk,Regression residual standard error of the floor~flood fit (ddof=2),1,1,REPRODUCES,6.7268,6.7268,1,0.005
floor_flood_slope_64pdk,"Floor vs flood-freq OLS slope, 64 paddocks",1,1,REPRODUCES,0.547838,0.547838,1,5e-06
gap_change_all_aeolian,"Gap change 88-97->13-22, aeolian, all",1,1,REPRODUCES,8.4,8.4,1,0.05
gap_change_all_inland,"Gap change 88-97->13-22, inland, all",1,1,REPRODUCES,-0.8,-0.8,1,0.05
gap_change_all_riverine,"Gap change 88-97->13-22, riverine, all",1,1,REPRODUCES,13.5,13.5,1,0.05
gap_change_non_flood_aeolian,"Gap change 88-97->13-22, aeolian, non_flood",1,1,REPRODUCES,9.7,9.7,1,0.05
gap_change_non_flood_inland,"Gap change 88-97->13-22, inland, non_flood",1,1,REPRODUCES,0.6,0.6,1,0.05
gap_change_non_flood_riverine,"Gap change 88-97->13-22, riverine, non_flood",1,1,REPRODUCES,12.3,12.3,1,0.05
property_outside_mapped_ha,Property area outside the mapped census,1,1,REPRODUCES,18561.5,18561.5,1,1.0
ref_grazed_floor_aeolian,"Ref-grazed FLOOR deficit, aeolian",1,1,REPRODUCES,-10.46,-10.46,1,0.05
ref_grazed_floor_gap_3pdk_periodwise,"Ref-grazed floor gap, 3 paddocks (no 29ca), by period",0,0,NOT_PINNED_deliberate,,,,
ref_grazed_floor_gap_4pdk_1988_92,"Ref-grazed floor gap, 4 paddocks, 1988-92",1,1,REPRODUCES,-13.07,-13.07,1,0.05
ref_grazed_floor_inland,"Ref-grazed FLOOR deficit, inland",1,1,REPRODUCES,1.08,1.08,1,0.05
ref_grazed_floor_riverine,"Ref-grazed FLOOR deficit, riverine",1,1,REPRODUCES,-4.49,-4.49,1,0.05
ref_grazed_mean_cover_aeolian,"Ref-grazed MEAN cover deficit, aeolian",1,1,REPRODUCES,-2.32,-2.32,1,0.05
ref_grazed_mean_cover_inland,"Ref-grazed MEAN cover deficit, inland",1,1,REPRODUCES,0.45,0.45,1,0.05
ref_grazed_mean_cover_riverine,"Ref-grazed MEAN cover deficit, riverine",1,1,REPRODUCES,1.41,1.41,1,0.05
reg2_paddocks_1part_supported,Paddocks with 1 supported community part(s),1,1,REPRODUCES,27.0,27.0,1,0.05
reg2_paddocks_2part_supported,Paddocks with 2 supported community part(s),1,1,REPRODUCES,23.0,23.0,1,0.05
reg2_paddocks_3part_supported,Paddocks with 3 supported community part(s),1,1,REPRODUCES,14.0,14.0,1,0.05
reg2_paddocks_lt60_dominance,Paddocks below 60% single-community dominance,1,1,REPRODUCES,9.0,9.0,1,0.05
reg2_paddocks_lt75_dominance,Paddocks below 75% single-community dominance,1,1,REPRODUCES,14.0,14.0,1,0.05
reg2_paddocks_single_community,Single-community paddocks (literal: exactly one focus-3 community),1,1,REPRODUCES,25.0,25.0,1,0.05
t10_bala29ca_aeolian_floor_trend,Bala 29ca floor trend within aeolian,1,1,REPRODUCES,0.56,0.56,1,0.05
t10_bala29ca_aeolian_level_deficit,Bala 29ca floor level vs aeolian community median,1,1,REPRODUCES,-32.1,-32.1,1,0.05
t10_bala29ca_flood_trend,Bala 29ca flood-frequency trend,1,1,REPRODUCES,0.304,0.304,1,0.05
t10_bala29ca_inland_floor_trend,Bala 29ca floor trend within inland,1,1,REPRODUCES,-0.216,-0.216,1,0.05
t10_bala29ca_inland_level_deficit,Bala 29ca floor level vs inland community median,1,1,REPRODUCES,-5.8,-5.8,1,0.05
t10_bala29ca_raw_floor_trend,Bala 29ca raw floor trend,1,1,REPRODUCES,0.682,0.682,1,0.05
t10_bala29ca_riverine_floor_trend,Bala 29ca floor trend within riverine,1,1,REPRODUCES,0.564,0.564,1,0.05
t10_bala29ca_riverine_level_deficit,Bala 29ca floor level vs riverine community median,1,1,REPRODUCES,-24.9,-24.9,1,0.05
t10_bala29ca_water_adjusted_floor_trend,Bala 29ca water-adjusted floor trend,1,1,REPRODUCES,0.556,0.556,1,0.05
t10_bala29ca_within_paddock_water_slope,Bala 29ca within-paddock water response,1,1,REPRODUCES,0.414,0.414,1,0.05
t10_bala29ca_xsec_residual,Bala 29ca cross-sectional floor residual (bivariate),1,1,REPRODUCES,-16.8,-16.8,1,0.05
t10_dinan10_xsec_residual,Dinan 10 cross-sectional floor residual (bivariate),1,1,REPRODUCES,-15.1,-15.1,1,0.05
t10_gap_annual_r_A_all4,"Annual reference-grazed gap trend r, 4 reference paddocks",1,1,REPRODUCES,0.77,0.77,1,0.05
t10_gap_annual_r_B_excl29ca,"Annual reference-grazed gap trend r, 3 reference (excl 29ca)",1,1,REPRODUCES,0.222,0.222,1,0.05
t10_gap_annual_r_C_29ca,"Annual reference-grazed gap trend r, Bala 29ca alone",1,1,REPRODUCES,0.846,0.846,1,0.05
t10_gap_annual_slope_A_all4,"Annual reference-grazed gap trend slope, 4 reference paddocks",1,1,REPRODUCES,0.273,0.273,1,0.05
t10_gap_annual_slope_B_excl29ca,"Annual reference-grazed gap trend slope, 3 reference (excl 29ca)",1,1,REPRODUCES,0.057,0.057,1,0.05
t10_gap_annual_slope_C_29ca,"Annual reference-grazed gap trend slope, Bala 29ca alone",1,1,REPRODUCES,0.919,0.919,1,0.05
t10_grazed_median_adj_trend,Grazed median water-adjusted floor trend,1,1,REPRODUCES,-0.151,-0.151,1,0.05
t10_refset_inland_share_bala26ca,Bala 26ca Inland-community pixel share,1,1,REPRODUCES,98.1,98.1,1,0.05
t10_refset_inland_share_bala27ca,Bala 27ca Inland-community pixel share,1,1,REPRODUCES,100.0,100.0,1,0.05
t10_refset_inland_share_bala28ca,Bala 28ca Inland-community pixel share,1,1,REPRODUCES,83.1,83.1,1,0.05
t10_refset_inland_share_bala29ca,Bala 29ca Inland-community pixel share,1,1,REPRODUCES,34.6,34.6,1,0.05
t10_ungrazed_median_adj_trend,Ungrazed median water-adjusted floor trend,1,1,REPRODUCES,-0.014,-0.014,1,0.05
t13_parts_declining_count,Paddock parts classified Declining at the pre-registered +/-1.0 cut,1,1,REPRODUCES,16.0,16.0,1,0.0
t13_parts_low_and_falling_count,Paddock parts low and falling (Persistently poor split by trend_z),1,1,REPRODUCES,4.0,4.0,1,0.0
t13_parts_low_and_flat_count,Paddock parts low and flat (Persistently poor split by trend_z),1,1,REPRODUCES,10.0,10.0,1,0.0
t13_parts_persistently_poor_count,Paddock parts classified Persistently poor at the pre-registered +/-1.0 cut,1,1,REPRODUCES,14.0,14.0,1,0.0
t13_parts_recovering_count,Paddock parts classified Recovering at the pre-registered +/-1.0 cut,1,1,REPRODUCES,8.0,8.0,1,0.0
t13_parts_unremarkable_count,Paddock parts classified Unremarkable at the pre-registered +/-1.0 cut,1,1,REPRODUCES,77.0,77.0,1,0.0
t1_riverine_contrast_bala_high,"T1 contrast at Bala zone support, Riverine high",1,1,REPRODUCES,-2.13,-2.13,1,0.05
t1_riverine_contrast_bala_low,"T1 contrast at Bala zone support, Riverine low",1,1,REPRODUCES,3.62,3.62,1,0.05
t1_riverine_contrast_bala_mid,"T1 contrast at Bala zone support, Riverine mid",1,1,REPRODUCES,0.12,0.12,1,0.05
t1_riverine_contrast_high,"T1 matched contrast, Riverine high",1,1,REPRODUCES,8.25,8.25,1,0.05
t1_riverine_contrast_low,"T1 matched contrast, Riverine low",1,1,REPRODUCES,7.55,7.55,1,0.05
t1_riverine_contrast_mid,"T1 matched contrast, Riverine mid",1,1,REPRODUCES,7.47,7.47,1,0.05
taskU_denominator_both_valid_ha,"Task U both-valid area (on-property, both LiDAR epochs)",1,0,NO_DERIVATION_PATH,85882.6,,,1.0
taskU_denominator_census_x_lidar_ha,Census INTERSECT LiDAR area,1,0,NO_DERIVATION_PATH,67268.002,,,1.0
three_arm_floor_deficit_not_grazed,"Three-arm floor deficit vs 14-day, not_grazed",1,1,REPRODUCES,-0.92,-0.92,1,0.05
three_arm_floor_deficit_unzoned_inferred,"Three-arm floor deficit vs 14-day, unzoned_inferred",1,1,REPRODUCES,1.17,1.17,1,0.05
three_arm_floor_deficit_unzoned_inferred_aeolian,"Three-arm floor deficit vs 14-day, unzoned_inferred, aeolian",1,0,NO_DERIVATION_PATH,5.99,,,0.05
three_arm_floor_deficit_unzoned_inferred_inland,"Three-arm floor deficit vs 14-day, unzoned_inferred, inland",1,0,NO_DERIVATION_PATH,-1.18,,,0.05
three_arm_floor_deficit_unzoned_inferred_riverine,"Three-arm floor deficit vs 14-day, unzoned_inferred, riverine",1,0,NO_DERIVATION_PATH,7.95,,,0.05
three_arm_floor_deficit_unzoned_plot,"Three-arm floor deficit vs 14-day, unzoned_plot",1,1,REPRODUCES,1.32,1.32,1,0.05
three_arm_floor_deficit_unzoned_plot_aeolian,"Three-arm floor deficit vs 14-day, unzoned_plot, aeolian",1,0,NO_DERIVATION_PATH,10.16,,,0.05
three_arm_floor_deficit_unzoned_plot_inland,"Three-arm floor deficit vs 14-day, unzoned_plot, inland",1,0,NO_DERIVATION_PATH,-1.81,,,0.05
three_arm_floor_deficit_unzoned_plot_riverine,"Three-arm floor deficit vs 14-day, unzoned_plot, riverine",1,0,NO_DERIVATION_PATH,9.35,,,0.05
three_arm_mean_deficit_unzoned_inferred_aeolian,"Three-arm MEAN cover deficit vs 14-day, unzoned_inferred, aeolian",1,0,NO_DERIVATION_PATH,-0.02,,,0.05
three_arm_mean_deficit_unzoned_inferred_inland,"Three-arm MEAN cover deficit vs 14-day, unzoned_inferred, inland",1,0,NO_DERIVATION_PATH,-1.49,,,0.05
three_arm_mean_deficit_unzoned_inferred_riverine,"Three-arm MEAN cover deficit vs 14-day, unzoned_inferred, riverine",1,0,NO_DERIVATION_PATH,2.81,,,0.05
three_arm_mean_deficit_unzoned_plot_aeolian,"Three-arm MEAN cover deficit vs 14-day, unzoned_plot, aeolian",1,0,NO_DERIVATION_PATH,-0.28,,,0.05
three_arm_mean_deficit_unzoned_plot_inland,"Three-arm MEAN cover deficit vs 14-day, unzoned_plot, inland",1,0,NO_DERIVATION_PATH,-2.05,,,0.05
three_arm_mean_deficit_unzoned_plot_riverine,"Three-arm MEAN cover deficit vs 14-day, unzoned_plot, riverine",1,0,NO_DERIVATION_PATH,2.5,,,0.05
three_arm_unzoned_inferred_above_14day_count,Strata where unzoned_inferred floor >= 14-day,1,1,REPRODUCES,6.0,6.0,1,0.0
three_arm_unzoned_plot_above_14day_count,Strata where unzoned_plot floor >= 14-day,1,1,REPRODUCES,8.0,8.0,1,0.0
total_no_management_zone_ha,Total property in no management zone,1,1,REPRODUCES,30711.6,30711.6,1,1.0
unzoned_inside_mapped_ha,Unzoned area inside the mapped census,1,1,REPRODUCES,12150.1,12150.1,1,1.0
