figure_asset_id,path,title,domain,metric_id,recommended_use,checksum_sha256,path_exists,qa_status,run_id
figure_d2_site_GA_001,Output/figures/dashboards/D2_site_GA_001_slide_data.png,D2 site GA 001 slide data,site_dashboard,,review_or_reporting,a445376c1e1606e2c54ef78e3b267992f78cc6f3126cc93583e42143b891abca,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_002,Output/figures/dashboards/D2_site_GA_002_slide_data.png,D2 site GA 002 slide data,site_dashboard,,review_or_reporting,f316dac4841d3578e2716f179680a8ea65628c8f81a5fb0a5e2d8d0d95446a93,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_003,Output/figures/dashboards/D2_site_GA_003_slide_data.png,D2 site GA 003 slide data,site_dashboard,,review_or_reporting,fb73b93b11cce4b3b0f2cbf49e7e5efc0b7d9317f005eb70de5a3ad6c2b50239,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_004,Output/figures/dashboards/D2_site_GA_004_slide_data.png,D2 site GA 004 slide data,site_dashboard,,review_or_reporting,9e4320399d3c03ed1d87d75c7bb89638f51055be87e37d87fef873ef099794da,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_005,Output/figures/dashboards/D2_site_GA_005_slide_data.png,D2 site GA 005 slide data,site_dashboard,,review_or_reporting,636fc0f019dd534d3ce8c46a28c9ef921807820bfe4048e0eaf7c2d8a03e835c,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_006,Output/figures/dashboards/D2_site_GA_006_slide_data.png,D2 site GA 006 slide data,site_dashboard,,review_or_reporting,037592a8be065623c73200e386b5743d49d2cc99e393d61e8fb076ee53810351,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_007,Output/figures/dashboards/D2_site_GA_007_slide_data.png,D2 site GA 007 slide data,site_dashboard,,review_or_reporting,2ce213547b202a57951379aa9379eeca15c3b2edcc0616d8f01086d2142f1443,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_008,Output/figures/dashboards/D2_site_GA_008_slide_data.png,D2 site GA 008 slide data,site_dashboard,,review_or_reporting,44f37c1d50d640e717a95d66ed3daa56f846b0272900b201e0a66ef38afb1d16,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_009,Output/figures/dashboards/D2_site_GA_009_slide_data.png,D2 site GA 009 slide data,site_dashboard,,review_or_reporting,80aebeed6c96921a9384f1a50760ce03b1e131196229d16aa5d414909650e9df,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_010,Output/figures/dashboards/D2_site_GA_010_slide_data.png,D2 site GA 010 slide data,site_dashboard,,review_or_reporting,6626999c860d4330212dbb2c5c90a0a7e892842521dcb243958ba32fed6702c4,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_013,Output/figures/dashboards/D2_site_GA_013_slide_data.png,D2 site GA 013 slide data,site_dashboard,,review_or_reporting,ced3ba981861f06b4bc93908241f26af7674cee84ee92972eeacab7541daacac,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_016,Output/figures/dashboards/D2_site_GA_016_slide_data.png,D2 site GA 016 slide data,site_dashboard,,review_or_reporting,739f210792cf10b41b041acf14f2c631e3b70779ac002e10d2234e0d705549ef,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_017,Output/figures/dashboards/D2_site_GA_017_slide_data.png,D2 site GA 017 slide data,site_dashboard,,review_or_reporting,5baa8719c368bb32d48cdc824ba71cd708591d33b116c341d9d3db60962826ac,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_018,Output/figures/dashboards/D2_site_GA_018_slide_data.png,D2 site GA 018 slide data,site_dashboard,,review_or_reporting,d164278f7edbd1a95c3ef925258d55207030bfce2d8217534769761a9689e5d7,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_019,Output/figures/dashboards/D2_site_GA_019_slide_data.png,D2 site GA 019 slide data,site_dashboard,,review_or_reporting,5db82d4a336a203abcbb74989de69b46f02d4e7489208992f0ede8f5bb2200c6,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_020,Output/figures/dashboards/D2_site_GA_020_slide_data.png,D2 site GA 020 slide data,site_dashboard,,review_or_reporting,4c635f6c4777c3c9101d2f4bafd9874930b04b0b27eeec714c00b4d815f0ce6a,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_022,Output/figures/dashboards/D2_site_GA_022_slide_data.png,D2 site GA 022 slide data,site_dashboard,,review_or_reporting,d086c05c84472595d8a7b20387eb118634413113cb486a9acec5434a7fdfa313,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_024,Output/figures/dashboards/D2_site_GA_024_slide_data.png,D2 site GA 024 slide data,site_dashboard,,review_or_reporting,6ab87638e2400cf95c439ece040239ddc1f46ebcc56883a02fc86469052ae2b1,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_025,Output/figures/dashboards/D2_site_GA_025_slide_data.png,D2 site GA 025 slide data,site_dashboard,,review_or_reporting,9c6691f328e195c8ee2de35ad5508c671e7710c849105c0a9026a4bd46a916b9,1,REVIEW,d2_site_dashboard_batch_20260720
