"plot_id","treed","community","paddock","c1_figure_key","c1_figure_exists"
"GA_001",0,"Inland Floodplain Shrublands / Swamps","Bala 26ca","Bala_26ca",TRUE
"GA_002",0,"Inland Floodplain Shrublands / Swamps","Bala 26ca","Bala_26ca",TRUE
"GA_003",0,"Inland Floodplain Shrublands / Swamps","Bala 28ca","Bala_28ca",TRUE
"GA_004",0,"Inland Floodplain Shrublands / Swamps","Bala 28ca","Bala_28ca",TRUE
"GA_005",0,"Inland Floodplain Shrublands / Swamps","Bala 28ca","Bala_28ca",TRUE
"GA_006",0,"Inland Floodplain Shrublands / Swamps","Bala 28ca","Bala_28ca",TRUE
"GA_007",0,"Inland Floodplain Shrublands / Swamps","Bala 28ca","Bala_28ca",TRUE
"GA_008",0,"Aeolian Chenopod Shrublands","Bala 29ca","Bala_29ca",TRUE
"GA_009",0,"Aeolian Chenopod Shrublands","Bala 29ca","Bala_29ca",TRUE
"GA_010",0,"Aeolian Chenopod Shrublands","Bala 29ca","Bala_29ca",TRUE
"GA_013",0,"Riverine Chenopod Shrublands","Bala 6","Bala_6",TRUE
"GA_016",0,"Inland Floodplain Shrublands / Swamps","Bala 12","Bala_12",TRUE
"GA_017",0,"Inland Floodplain Shrublands / Swamps","Bala 17","Bala_17",TRUE
"GA_018",0,"Inland Floodplain Shrublands / Swamps",NA,NA,FALSE
"GA_019",0,"Inland Floodplain Shrublands / Swamps","Bala 21","Bala_21",TRUE
"GA_020",0,"Inland Floodplain Shrublands / Swamps","Bala 8/11","Bala_8_11",TRUE
"GA_022",0,"Inland Floodplain Shrublands / Swamps","Mara 7","Mara_7",TRUE
"GA_024",0,"Riverine Chenopod Shrublands",NA,NA,FALSE
"GA_025",0,"Aeolian Chenopod Shrublands","Dinan 8","Dinan_8",TRUE
"GA_026",0,"Aeolian Chenopod Shrublands","Dinan 8","Dinan_8",TRUE
"GA_027",0,"Aeolian Chenopod Shrublands","Dinan 8","Dinan_8",TRUE
"GA_028",0,"Riverine Chenopod Shrublands","Dinan 8","Dinan_8",TRUE
"GA_031",0,"Aeolian Chenopod Shrublands",NA,NA,FALSE
"GA_032",0,"Aeolian Chenopod Shrublands",NA,NA,FALSE
"GA_033",0,"Aeolian Chenopod Shrublands",NA,NA,FALSE
"GA_034",0,"Aeolian Chenopod Shrublands","Bala 29ca","Bala_29ca",TRUE
"GA_035",0,"Aeolian Chenopod Shrublands","Bala 29ca","Bala_29ca",TRUE
"GA_036",0,"Aeolian Chenopod Shrublands","Bala 29ca","Bala_29ca",TRUE
"GA_037",0,"Riverine Chenopod Shrublands",NA,NA,FALSE
"GA_038",0,"Riverine Chenopod Shrublands",NA,NA,FALSE
"GA_039",0,"Aeolian Chenopod Shrublands","Mara 8","Mara_8",TRUE
"GA_040",0,"Aeolian Chenopod Shrublands","Mara 7","Mara_7",TRUE
"GA_041",0,"Aeolian Chenopod Shrublands","Dinan 3","Dinan_3",TRUE
"GA_042",0,"Aeolian Chenopod Shrublands",NA,NA,FALSE
"GA_043",0,"Inland Floodplain Shrublands / Swamps","Bala 29ca","Bala_29ca",TRUE
"GA_044",0,"Inland Floodplain Shrublands / Swamps",NA,NA,FALSE
"GA_045",0,"Inland Floodplain Shrublands / Swamps",NA,NA,FALSE
"GA_046",0,"Inland Floodplain Shrublands / Swamps","Bala 19","Bala_19",TRUE
"GA_047",0,"Inland Floodplain Shrublands / Swamps",NA,NA,FALSE
"GA_048",0,"Inland Floodplain Shrublands / Swamps",NA,NA,FALSE
"GA_049",0,"Inland Floodplain Shrublands / Swamps",NA,NA,FALSE
"GA_050",0,"Riverine Chenopod Shrublands","Bala 20","Bala_20",TRUE
"GA_051",0,"Riverine Chenopod Shrublands","Bala 23","Bala_23",TRUE
"GA_052",0,"Riverine Chenopod Shrublands","Mara 21","Mara_21",TRUE
"GA_053",0,"Riverine Chenopod Shrublands","Bala 28ca","Bala_28ca",TRUE
"GA_054",0,"Riverine Chenopod Shrublands","Bala 28ca","Bala_28ca",TRUE
"GA_055",0,"Riverine Chenopod Shrublands","Bala 29ca","Bala_29ca",TRUE
"GA_056",0,"Riverine Chenopod Shrublands","Bala 29ca","Bala_29ca",TRUE
"GA_057",0,"Inland Floodplain Shrublands / Swamps","Bala 26ca","Bala_26ca",TRUE
"GA_058",0,"Riverine Chenopod Shrublands","Bala 29ca","Bala_29ca",TRUE
"GA_059",0,"Riverine Chenopod Shrublands",NA,NA,FALSE
"GA_060",0,"Riverine Chenopod Shrublands",NA,NA,FALSE
"GA_061",0,"Riverine Chenopod Shrublands",NA,NA,FALSE
"GA_062",0,"Riverine Chenopod Shrublands",NA,NA,FALSE
"GA_063",0,"Riverine Chenopod Shrublands","Bala 20","Bala_20",TRUE
"GA_064",0,"Riverine Chenopod Shrublands",NA,NA,FALSE
"GA_066",0,"Inland Floodplain Shrublands / Swamps","Bala 28ca","Bala_28ca",TRUE
"GA_011",1,"Floodplain Woodland / Forest","Bala 29ca","Bala_29ca",TRUE
"GA_012",1,"Floodplain Woodland / Forest","Bala 29ca","Bala_29ca",TRUE
"GA_014",1,"Floodplain Woodland / Forest","Bala 12","Bala_12",TRUE
"GA_015",1,"Floodplain Woodland / Forest","Dinan 1","Dinan_1",TRUE
"GA_021",1,"Floodplain Woodland / Forest","Dinan 6","Dinan_6",TRUE
"GA_023",1,"Floodplain Woodland / Forest","Dinan 3","Dinan_3",TRUE
"GA_029",1,"Floodplain Woodland / Forest","Dinan 12","Dinan_12",TRUE
"GA_030",1,"Floodplain Woodland / Forest","Mara 13","Mara_13",TRUE
"GA_065",1,"Floodplain Woodland / Forest","Bala 29ca","Bala_29ca",TRUE
