grid,pixel_area_ha,crs_epsg,source_artefact,section,group_key,n,min,p05,p10,p25,p50,p75,p90,p95,max,mean,sd,threshold,area_ha,pct_of_focus
census_24_97m,0.0623512,8058,Output/census/gayini_pixel_census_8058.parquet,overall,,988829,1.1859,29.3802,34.5208,44.7775,58.3229,67.8848,77.9221,81.0168,88.6598,56.5256,15.7244,,61654.67,100.0
census_24_97m,0.0623512,8058,Output/census/gayini_pixel_census_8058.parquet,by_community,Aeolian Chenopod Shrublands,77544,1.1859,24.6982,29.8078,37.0041,46.8713,55.6284,61.9228,64.9271,81.1139,46.0458,12.5664,,4834.96,7.842
census_24_97m,0.0623512,8058,Output/census/gayini_pixel_census_8058.parquet,by_community,Riverine Chenopod Shrublands,193658,2.9808,22.5155,26.6829,34.1767,43.2761,53.9603,61.7961,66.7701,83.9837,44.0405,13.5612,,12074.81,19.585
census_24_97m,0.0623512,8058,Output/census/gayini_pixel_census_8058.parquet,by_community,Inland Floodplain Shrublands / Swamps,717627,10.4745,34.8246,40.4613,51.9075,62.7774,71.0102,79.672,81.8054,88.6598,61.0273,14.1353,,44744.9,72.573
census_24_97m,0.0623512,8058,Output/census/gayini_pixel_census_8058.parquet,by_flood_zone,0,79065,1.1859,19.4924,23.2245,30.3329,38.1298,47.3862,55.9008,59.8943,80.1301,38.917,12.0838,,4929.8,7.996
census_24_97m,0.0623512,8058,Output/census/gayini_pixel_census_8058.parquet,by_flood_zone,1,211964,2.0865,24.9616,28.8617,35.9155,44.1934,53.1693,60.6629,64.2911,82.855,44.4833,12.0625,,13216.21,21.436
census_24_97m,0.0623512,8058,Output/census/gayini_pixel_census_8058.parquet,by_flood_zone,2,251261,6.9976,32.5959,36.8683,45.6578,55.6602,63.3769,68.7007,71.8161,85.8002,54.1726,12.1238,,15666.42,25.41
census_24_97m,0.0623512,8058,Output/census/gayini_pixel_census_8058.parquet,by_flood_zone,3,372297,12.3763,42.5025,49.5762,58.7033,65.5175,72.5995,80.1365,82.3657,87.9738,64.8143,11.6107,,23213.16,37.65
census_24_97m,0.0623512,8058,Output/census/gayini_pixel_census_8058.parquet,by_flood_zone,4,74242,15.8531,60.9371,65.7851,73.4678,78.7322,81.0046,82.4144,83.1639,88.6598,76.0583,7.7327,,4629.08,7.508
census_24_97m,0.0623512,8058,Output/census/gayini_pixel_census_8058.parquet,cumulative_area,,815596,,,,,,,,,,,,40,50853.39,82.481
census_24_97m,0.0623512,8058,Output/census/gayini_pixel_census_8058.parquet,cumulative_area,,738122,,,,,,,,,,,,45,46022.79,74.646
census_24_97m,0.0623512,8058,Output/census/gayini_pixel_census_8058.parquet,cumulative_area,,656536,,,,,,,,,,,,50,40935.81,66.395
census_24_97m,0.0623512,8058,Output/census/gayini_pixel_census_8058.parquet,cumulative_area,,564620,,,,,,,,,,,,55,35204.73,57.1
census_24_97m,0.0623512,8058,Output/census/gayini_pixel_census_8058.parquet,cumulative_area,,454688,,,,,,,,,,,,60,28350.34,45.982
census_24_97m,0.0623512,8058,Output/census/gayini_pixel_census_8058.parquet,cumulative_area,,321499,,,,,,,,,,,,65,20045.85,32.513
census_24_97m,0.0623512,8058,Output/census/gayini_pixel_census_8058.parquet,cumulative_area,,202734,,,,,,,,,,,,70,12640.71,20.502
census_24_97m,0.0623512,8058,Output/census/gayini_pixel_census_8058.parquet,cumulative_area,,133123,,,,,,,,,,,,75,8300.38,13.463
census_24_97m,0.0623512,8058,Output/census/gayini_pixel_census_8058.parquet,cumulative_area,,67028,,,,,,,,,,,,80,4179.28,6.779
census_24_97m,0.0623512,8058,Output/census/gayini_pixel_census_8058.parquet,cumulative_area,,1702,,,,,,,,,,,,85,106.12,0.172
native_30m,0.09,3577,Output/tables/taskM_gateD_native30m_p05_cells.csv <- Output/rasters/fc_intermediate/total_veg_percentiles_3577.tif (focus mask carried NN from veg_regime_class_8058.tif),overall,,685940,1.0,29.0,34.1,44.8,58.4,68.0,78.0,81.0,89.0,56.5241,15.8618,,61734.6,100.0
native_30m,0.09,3577,Output/tables/taskM_gateD_native30m_p05_cells.csv <- Output/rasters/fc_intermediate/total_veg_percentiles_3577.tif (focus mask carried NN from veg_regime_class_8058.tif),by_community,Aeolian Chenopod Shrublands,53765,1.0,24.0,29.2,36.9,46.9,56.0,62.0,65.05,82.0,46.036,12.8759,,4838.85,7.838
native_30m,0.09,3577,Output/tables/taskM_gateD_native30m_p05_cells.csv <- Output/rasters/fc_intermediate/total_veg_percentiles_3577.tif (focus mask carried NN from veg_regime_class_8058.tif),by_community,Riverine Chenopod Shrublands,134299,1.0,22.0,26.35,34.0,43.15,54.0,62.0,67.0,84.0,44.0268,13.7654,,12086.91,19.579
native_30m,0.09,3577,Output/tables/taskM_gateD_native30m_p05_cells.csv <- Output/rasters/fc_intermediate/total_veg_percentiles_3577.tif (focus mask carried NN from veg_regime_class_8058.tif),by_community,Inland Floodplain Shrublands / Swamps,497876,10.0,34.6,40.2,51.9,62.85,71.0,79.85,82.0,89.0,61.0278,14.2593,,44808.84,72.583
native_30m,0.09,3577,Output/tables/taskM_gateD_native30m_p05_cells.csv <- Output/rasters/fc_intermediate/total_veg_percentiles_3577.tif (focus mask carried NN from veg_regime_class_8058.tif),by_flood_zone,0,54804,1.0,19.0,23.0,30.0,38.0,47.7,56.0,60.05,75.95,38.9138,12.3343,,4932.36,7.99
native_30m,0.09,3577,Output/tables/taskM_gateD_native30m_p05_cells.csv <- Output/rasters/fc_intermediate/total_veg_percentiles_3577.tif (focus mask carried NN from veg_regime_class_8058.tif),by_flood_zone,1,147141,1.0,24.65,28.6,35.85,44.0,53.2,61.0,64.7,84.0,44.4594,12.2948,,13242.69,21.451
