cut_year,n_pre_years,n_post_years,freq_pre_pct,freq_post_pct,diff_pp,n_px,n_px_failed_minvalid_farm,n_px_failed_minvalid_tile,n_px_diff_eq_neg100,flow_pre_mld,flow_post_mld,q_ratio,is_real,diff_pp_inland_floodplain,diff_pp_riverine,diff_pp_aeolian,diff_pp_woodland_forest,diff_pp_other
1994,5,5,45.0316,24.0491,-20.9825,1377989,0,0,16698,10647.9,5224.6,0.4907,FALSE,-23.4182,-13.2566,-2.4763,-31.1282,-59.0168
1995,6,5,44.7441,24.2369,-20.5072,1377989,0,0,15264,10666.9,5377.3,0.5041,FALSE,-22.9462,-12.7361,-2.1455,-31.0988,-56.8117
1996,7,5,38.5559,22.1789,-16.377,1377989,0,0,32,9604,5205,0.542,FALSE,-18.9254,-9.6971,0.3629,-22.7834,-48.5339
1997,8,5,37.7264,15.4631,-22.2634,1377989,0,0,21,9242.5,4226.2,0.4573,FALSE,-25.613,-11.4171,-0.6401,-26.4462,-42.4191
1998,9,5,37.6366,16.6991,-20.9374,1377989,0,0,7,9069.8,3960.8,0.4367,FALSE,-24.0754,-10.0196,-0.47,-21.7553,-37.2931
1999,10,5,34.1182,7.3172,-26.801,1377989,0,0,24,8486.1,3311.4,0.3902,FALSE,-30.782,-12.4125,-1.6559,-25.774,-34.6996
2000,11,5,35.3373,7.5174,-27.8198,1377989,0,0,24,8193.1,2944.7,0.3594,FALSE,-31.8791,-12.9593,-2.0263,-24.5281,-32.1137
2001,12,5,32.5897,7.9618,-24.6278,1377989,0,0,0,7842.9,2372.7,0.3025,FALSE,-28.2792,-12.3528,-2.7252,-23.6427,-28.389
2002,13,5,31.7466,7.321,-24.4256,1377989,0,2418,0,7689.6,2101.7,0.2733,FALSE,-28.2418,-12.1087,-3.2453,-25.3421,-26.227
2003,14,5,29.7175,5.726,-23.9915,1377989,0,2418,6,7340,1978.5,0.2696,FALSE,-27.7096,-11.9415,-3.5303,-27.9327,-24.7204
2004,15,5,28.3118,5.6927,-22.6191,1377989,0,2418,6,6977.7,1752.5,0.2512,FALSE,-26.0751,-11.2323,-3.4878,-27.7513,-23.1304
2005,16,5,26.581,6.1472,-20.4338,1377989,0,2418,0,6667.6,1628.5,0.2442,FALSE,-23.5333,-9.4319,-2.1845,-25.4694,-21.5282
2006,17,5,25.2155,13.3072,-11.9082,1377989,0,8868,0,6402.2,3371.8,0.5267,FALSE,-13.5434,-3.0409,3.262,-14.6205,-3.8207
2007,18,5,25.1397,22.5983,-2.5414,1377989,0,8868,0,6212.7,5351.6,0.8614,FALSE,-1.509,1.952,4.5092,-0.7678,11.6549
2008,19,5,23.8237,26.1107,2.287,1377989,0,145990,0,5961.5,6268.6,1.0515,FALSE,3.9144,4.2115,6.5236,7.3162,14.1442
2009,20,5,22.6654,27.6692,5.0038,1377989,0,341314,0,5727.9,6701.1,1.1699,FALSE,7.0613,5.3081,7.3492,15.0161,15.9144
2010,21,5,21.6076,28.679,7.0714,1377989,0,341396,0,5497.3,7090.4,1.2898,FALSE,9.8262,5.9405,7.0293,18.6281,17.9128
2011,22,5,20.8818,17.9049,-2.9769,1377989,0,341397,0,5317.3,5577.7,1.049,FALSE,-1.5941,-0.6337,1.2481,7.5098,1.2749
2012,23,5,22.5674,22.1734,-0.394,1377989,0,11657,0,5595.1,5539,0.99,FALSE,0.4658,0.9464,-0.041,7.8787,2.3768
2013,24,5,23.5684,19.6018,-3.9666,1377989,0,4918,0,5834.4,5048.6,0.8653,FALSE,-3.6277,-0.2195,-1.8153,1.2332,-1.2019
2014,25,5,23.3544,18.8718,-4.4826,1377989,0,8869,0,5836,4846.8,0.8305,FALSE,-4.0966,-0.5043,-2.5303,-3.0923,-1.3352
2015,26,5,22.7733,17.7991,-4.9742,1377989,0,6451,0,5728.8,4535.3,0.7917,FALSE,-4.4696,-1.3902,-3.1058,-7.0806,-1.8085
2016,27,5,22.3257,20.1273,-2.1984,1377989,0,8869,0,5645.6,4407.5,0.7807,FALSE,-0.5964,1.349,-2.4748,-5.8422,-1.1179
2017,28,5,21.7349,16.0916,-5.6433,1377989,0,4836,0,5592,5236.7,0.9365,FALSE,-4.3254,-0.6644,-1.2281,-10.4022,-6.7099
2018,29,5,23.3279,32.6239,9.2961,1377989,0,4836,0,5783.5,6817.2,1.1787,TRUE,10.7795,12.1541,7.5239,5.6422,9.5889
