check,passed,status,severity,detail,group
"stack__wet_subset_{0,1}+NA",TRUE,PASS,stop_if_fail,"value set {0,1}",input_stack
stack__valid_subset_{1}+NA_no_zero,TRUE,PASS,stop_if_fail,"value set {1} (asserted =={1}, not {0,1})",input_stack
stack__255_absent_from_wet,TRUE,PASS,stop_if_fail,255 present as value: FALSE,input_stack
stack__255_absent_from_valid,TRUE,PASS,stop_if_fail,255 present as value: FALSE,input_stack
stack__wet_subset_valid,TRUE,PASS,stop_if_fail,0 pixels wet-but-not-valid across the window layers,input_stack
"C1994__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -100 .. 100,per_date
C1994__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '1993-1994'==1993-1994 ; PRE1 '1988-1989' ; POST 1994-1995..1998-1999,per_date
"C1995__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -100 .. 100,per_date
C1995__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '1994-1995'==1994-1995 ; PRE1 '1988-1989' ; POST 1995-1996..1999-2000,per_date
"C1996__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -100 .. 100,per_date
C1996__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '1995-1996'==1995-1996 ; PRE1 '1988-1989' ; POST 1996-1997..2000-2001,per_date
"C1997__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -100 .. 100,per_date
C1997__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '1996-1997'==1996-1997 ; PRE1 '1988-1989' ; POST 1997-1998..2001-2002,per_date
"C1998__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -100 .. 100,per_date
C1998__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '1997-1998'==1997-1998 ; PRE1 '1988-1989' ; POST 1998-1999..2002-2003,per_date
"C1999__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -100 .. 100,per_date
C1999__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '1998-1999'==1998-1999 ; PRE1 '1988-1989' ; POST 1999-2000..2003-2004,per_date
"C2000__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -100 .. 100,per_date
C2000__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '1999-2000'==1999-2000 ; PRE1 '1988-1989' ; POST 2000-2001..2004-2005,per_date
"C2001__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -100 .. 91.667,per_date
C2001__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '2000-2001'==2000-2001 ; PRE1 '1988-1989' ; POST 2001-2002..2005-2006,per_date
"C2002__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -100 .. 100,per_date
C2002__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '2001-2002'==2001-2002 ; PRE1 '1988-1989' ; POST 2002-2003..2006-2007,per_date
"C2003__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -100 .. 80,per_date
C2003__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '2002-2003'==2002-2003 ; PRE1 '1988-1989' ; POST 2003-2004..2007-2008,per_date
"C2004__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -100 .. 93.333,per_date
C2004__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '2003-2004'==2003-2004 ; PRE1 '1988-1989' ; POST 2004-2005..2008-2009,per_date
"C2005__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -100 .. 81.25,per_date
C2005__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '2004-2005'==2004-2005 ; PRE1 '1988-1989' ; POST 2005-2006..2009-2010,per_date
"C2006__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -100 .. 88.235,per_date
C2006__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '2005-2006'==2005-2006 ; PRE1 '1988-1989' ; POST 2006-2007..2010-2011,per_date
"C2007__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -100 .. 100,per_date
C2007__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '2006-2007'==2006-2007 ; PRE1 '1988-1989' ; POST 2007-2008..2011-2012,per_date
"C2008__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -94.737 .. 100,per_date
C2008__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '2007-2008'==2007-2008 ; PRE1 '1988-1989' ; POST 2008-2009..2012-2013,per_date
"C2009__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -90 .. 100,per_date
C2009__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '2008-2009'==2008-2009 ; PRE1 '1988-1989' ; POST 2009-2010..2013-2014,per_date
"C2010__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -76.19 .. 100,per_date
C2010__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '2009-2010'==2009-2010 ; PRE1 '1988-1989' ; POST 2010-2011..2014-2015,per_date
"C2011__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -81.818 .. 100,per_date
C2011__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '2010-2011'==2010-2011 ; PRE1 '1988-1989' ; POST 2011-2012..2015-2016,per_date
"C2012__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -73.913 .. 100,per_date
C2012__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '2011-2012'==2011-2012 ; PRE1 '1988-1989' ; POST 2012-2013..2016-2017,per_date
"C2013__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -75 .. 100,per_date
C2013__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '2012-2013'==2012-2013 ; PRE1 '1988-1989' ; POST 2013-2014..2017-2018,per_date
"C2014__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -80 .. 100,per_date
C2014__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '2013-2014'==2013-2014 ; PRE1 '1988-1989' ; POST 2014-2015..2018-2019,per_date
"C2015__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -80.769 .. 100,per_date
C2015__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '2014-2015'==2014-2015 ; PRE1 '1988-1989' ; POST 2015-2016..2019-2020,per_date
"C2016__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -80 .. 100,per_date
C2016__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '2015-2016'==2015-2016 ; PRE1 '1988-1989' ; POST 2016-2017..2020-2021,per_date
"C2017__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -85.714 .. 100,per_date
C2017__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '2016-2017'==2016-2017 ; PRE1 '1988-1989' ; POST 2017-2018..2021-2022,per_date
"C2018__diff_range_[-100,100]",TRUE,PASS,stop_if_fail,observed -96.552 .. 100,per_date
C2018__layer_names_map_to_windows,TRUE,PASS,stop_if_fail,tran '2017-2018'==2017-2018 ; PRE1 '1988-1989' ; POST 2018-2019..2022-2023,per_date
reproduces_gate2_2018,TRUE,PASS,stop_if_fail,diff_pp 9.2961==9.2961 ; n_px 1377989==1377989 ; fail_tile 4836==4836 ; fail_farm 0==0,reproducibility
flow_join_matches_reference,TRUE,PASS,stop_if_fail,max|flow_pre|=0.0000 max|flow_post|=0.0000 max|q|=0.00000,flow_join
shape_matches_reference,TRUE,PASS,review,pearson=0.9377 spearman=0.8892 sign=22/25 turning pixel=2008 plot=2007,shape
