cut_year,pixel_diff_pp,plot_diff_pp,plot_pixel_ratio,same_sign
1994,-20.9825,-18.182,0.867,TRUE
1995,-20.5072,-16.111,0.786,TRUE
1996,-16.377,-10.043,0.613,TRUE
1997,-22.2634,-15.152,0.681,TRUE
1998,-20.9374,-8.62,0.412,TRUE
1999,-26.801,-13.788,0.514,TRUE
2000,-27.8198,-15.84,0.569,TRUE
2001,-24.6278,-16.389,0.665,TRUE
2002,-24.4256,-18.205,0.745,TRUE
2003,-23.9915,-23.268,0.97,TRUE
2004,-22.6191,-24.04,1.063,TRUE
2005,-20.4338,-19.148,0.937,TRUE
2006,-11.9082,-8.556,0.718,TRUE
2007,-2.5414,1.279,-0.503,FALSE
2008,2.287,7.384,3.229,TRUE
2009,5.0038,13.106,2.619,TRUE
2010,7.0714,12.799,1.81,TRUE
2011,-2.9769,0.675,-0.227,FALSE
2012,-0.394,0.079,-0.201,FALSE
2013,-3.9666,-4.116,1.038,TRUE
2014,-4.4826,-4.364,0.974,TRUE
2015,-4.9742,-5.408,1.087,TRUE
2016,-2.1984,-2.604,1.184,TRUE
2017,-5.6433,-2.695,0.478,TRUE
2018,9.2961,11.473,1.234,TRUE
