draw_id,n_points,tau,p_value,n_zero_years,significant_p05
1,40,0.06012,0.663471,29,False
2,40,0.30553,0.027057,28,True
3,40,0.46632,0.000709,27,True
4,40,0.09831,0.47419,28,False
5,40,0.29169,0.034724,30,True
6,40,0.30886,0.025781,30,True
7,40,0.26561,0.052201,28,False
8,40,0.02926,0.83272,30,False
9,40,0.17539,0.199695,27,False
10,40,0.21993,0.105609,26,False
11,40,0.19136,0.164067,29,False
12,40,0.2948,0.032306,27,True
13,40,0.1398,0.312909,30,False
14,40,0.17882,0.196788,30,False
15,40,0.29706,0.030233,28,True
16,40,0.35003,0.011281,30,True
17,40,0.29231,0.032612,27,True
18,40,0.18887,0.170654,29,False
19,40,0.31742,0.020854,28,True
20,40,0.24015,0.077219,26,False
21,40,0.36874,0.007474,29,True
22,40,0.30236,0.029069,30,True
23,40,0.16032,0.249817,30,False
24,40,0.20728,0.12972,27,False
25,40,0.25684,0.06374,30,False
26,40,0.24048,0.081771,29,False
27,40,0.14888,0.27848,28,False
28,40,0.1876,0.173134,27,False
29,40,0.19318,0.159929,25,False
30,40,0.22845,0.098234,29,False
31,40,0.20613,0.138982,30,False
32,40,0.28936,0.036737,30,True
33,40,0.3547,0.010251,29,True
34,40,0.17995,0.196459,30,False
35,40,0.31114,0.024301,30,True
36,40,0.23584,0.086808,27,False
37,40,0.36972,0.007342,28,True
38,40,0.10549,0.446269,29,False
39,40,0.09024,0.518,31,False
40,40,0.30497,0.026573,29,True
41,40,0.40881,0.003088,29,True
42,40,0.28046,0.04378,31,True
43,40,0.10954,0.42317,26,False
44,40,0.2412,0.079877,27,False
45,40,0.37745,0.005799,28,True
46,40,0.36972,0.007957,30,True
47,40,0.23731,0.088006,31,False
48,40,0.28936,0.036737,30,True
49,40,0.18532,0.180996,30,False
50,40,0.36669,0.008398,29,True
51,40,0.21042,0.127774,29,False
52,40,0.1876,0.173134,27,False
53,40,0.34012,0.013195,26,True
54,40,0.12136,0.37886,28,False
55,40,0.20441,0.139026,29,False
56,40,0.34476,0.012385,29,True
57,40,0.24709,0.0708,26,False
