zone_fid,community,n_cells,veg_p05_temporal_mean,veg_p50_temporal_mean,n_cells_missing_p05,mean_share_cells_wet,area_ha,zone_name,grazing_treatment,community_short,reason
3,Aeolian Chenopod Shrublands,10,59.98816,78.579544,0,12.857142,0.6235142839918241,Bala 28ca,No grazing,aeolian,fewer than 500 non-treed census cells
5,Riverine Chenopod Shrublands,318,37.136078,74.94367,0,4.3486075,19.827754230940005,Bala 1,14-day grazing,riverine,fewer than 500 non-treed census cells
12,Riverine Chenopod Shrublands,495,46.39772,74.48241,0,17.050505,30.863957057595293,Bala 12,14-day grazing,riverine,fewer than 500 non-treed census cells
14,Riverine Chenopod Shrublands,23,48.812233,69.57447,0,19.503105,1.4340828531811953,Bala 15,14-day grazing,riverine,fewer than 500 non-treed census cells
18,Aeolian Chenopod Shrublands,157,31.593246,64.40848,0,19.708826,9.789174258671638,Bala 20,14-day grazing,aeolian,fewer than 500 non-treed census cells
24,Riverine Chenopod Shrublands,43,44.175823,69.25261,0,20.598007,2.6811114211648435,Bala 7/10,14-day grazing,riverine,fewer than 500 non-treed census cells
25,Riverine Chenopod Shrublands,49,42.98288,68.51091,0,14.985422,3.0552199915599383,Bala 8/11,14-day grazing,riverine,fewer than 500 non-treed census cells
26,Riverine Chenopod Shrublands,199,51.301033,75.38806,0,12.663317,12.4079342514373,Bala 14/16,14-day grazing,riverine,fewer than 500 non-treed census cells
27,Riverine Chenopod Shrublands,262,48.525677,76.01781,0,6.346783,16.33607424058579,Mara 1,14-day grazing,riverine,fewer than 500 non-treed census cells
29,Aeolian Chenopod Shrublands,1,46.369747,72.77085,0,5.714286,0.06235142839918241,Mara 3,14-day grazing,aeolian,fewer than 500 non-treed census cells
31,Aeolian Chenopod Shrublands,47,58.085247,79.78201,0,2.1276596,2.930517134761573,Mara 13,14-day grazing,aeolian,fewer than 500 non-treed census cells
32,Riverine Chenopod Shrublands,230,66.915665,84.04317,0,21.006212,14.340828531811955,Mara 12,14-day grazing,riverine,fewer than 500 non-treed census cells
39,Riverine Chenopod Shrublands,353,37.205517,65.231575,0,6.7422094,22.01005422491139,Mara 11,14-day grazing,riverine,fewer than 500 non-treed census cells
48,Aeolian Chenopod Shrublands,33,46.62719,72.075134,0,1.8181819,2.0575971371730195,Mara 4,14-day grazing,aeolian,fewer than 500 non-treed census cells
48,Riverine Chenopod Shrublands,197,55.95256,76.44572,0,12.4002905,12.283231394638936,Mara 4,14-day grazing,riverine,fewer than 500 non-treed census cells
54,Aeolian Chenopod Shrublands,87,49.527344,77.99758,0,2.857143,5.424574270728869,Dinan 7,14-day grazing,aeolian,fewer than 500 non-treed census cells
60,Riverine Chenopod Shrublands,166,57.264217,80.34621,0,10.172117,10.35033711426428,Dinan 14,14-day grazing,riverine,fewer than 500 non-treed census cells
63,Aeolian Chenopod Shrublands,70,36.94077,69.85728,0,4.3265305,4.364599987942769,Dinan 4,14-day grazing,aeolian,fewer than 500 non-treed census cells
