zone_fid,community,n_cells,veg_p05_temporal_mean,veg_p50_temporal_mean,n_cells_missing_p05,mean_share_cells_wet,area_ha,zone_name,grazing_treatment,community_short,part_id,paddock_cells,share_of_paddock_pct,n_parts_in_paddock,support_level,unit,period_label,weighting,scope_filter,pixel_constant_ha,denominator,y_basis,x_quantity,min_cells_filter,estimand
51,Aeolian Chenopod Shrublands,2417,40.16631,76.15153,0,0.99769497,150.70340244082388,Dinan 3,14-day grazing,aeolian,Dinan 3 / aeolian,9590,25.203336809176225,3,pixel,paddock x community part,1988-2022 (35 water years),unweighted mean over the part's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the part's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. Identical to the TEMPORAL-1 paddock figure. Ruling CT.,"Share of the part's cells seen wet, MEAN OVER YEARS (%). Rulings AZ / CX - this is NOT a between-year flood frequency and is not labelled as one. Computed as the mean over the part's cells of the census parquet's COUNTED per-cell flood_freq_pct, which is exactly equal to the mean over years of the part's within-year wet share because valid_years == 35 on every cell.",500,BETWEEN-PART description: how a paddock x community area's mean per-cell temporal cover percentile relates to how wet that area is. Not a within-unit response and no cause is attributed.
37,Aeolian Chenopod Shrublands,615,43.027386,77.4019,0,1.5238096,38.34612846549718,Mara 7,14-day grazing,aeolian,Mara 7 / aeolian,14876,4.13417585372412,3,pixel,paddock x community part,1988-2022 (35 water years),unweighted mean over the part's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the part's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. Identical to the TEMPORAL-1 paddock figure. Ruling CT.,"Share of the part's cells seen wet, MEAN OVER YEARS (%). Rulings AZ / CX - this is NOT a between-year flood frequency and is not labelled as one. Computed as the mean over the part's cells of the census parquet's COUNTED per-cell flood_freq_pct, which is exactly equal to the mean over years of the part's within-year wet share because valid_years == 35 on every cell.",500,BETWEEN-PART description: how a paddock x community area's mean per-cell temporal cover percentile relates to how wet that area is. Not a within-unit response and no cause is attributed.
60,Aeolian Chenopod Shrublands,7555,49.451958,77.903725,0,1.5274652,471.0650415558231,Dinan 14,14-day grazing,aeolian,Dinan 14 / aeolian,7721,97.85001942753529,1,pixel,paddock x community part,1988-2022 (35 water years),unweighted mean over the part's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the part's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. Identical to the TEMPORAL-1 paddock figure. Ruling CT.,"Share of the part's cells seen wet, MEAN OVER YEARS (%). Rulings AZ / CX - this is NOT a between-year flood frequency and is not labelled as one. Computed as the mean over the part's cells of the census parquet's COUNTED per-cell flood_freq_pct, which is exactly equal to the mean over years of the part's within-year wet share because valid_years == 35 on every cell.",500,BETWEEN-PART description: how a paddock x community area's mean per-cell temporal cover percentile relates to how wet that area is. Not a within-unit response and no cause is attributed.
61,Aeolian Chenopod Shrublands,2003,57.6968,79.43286,0,1.8885957,124.88991108356237,Dinan 11,14-day grazing,aeolian,Dinan 11 / aeolian,9556,20.96065299288405,3,pixel,paddock x community part,1988-2022 (35 water years),unweighted mean over the part's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the part's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. Identical to the TEMPORAL-1 paddock figure. Ruling CT.,"Share of the part's cells seen wet, MEAN OVER YEARS (%). Rulings AZ / CX - this is NOT a between-year flood frequency and is not labelled as one. Computed as the mean over the part's cells of the census parquet's COUNTED per-cell flood_freq_pct, which is exactly equal to the mean over years of the part's within-year wet share because valid_years == 35 on every cell.",500,BETWEEN-PART description: how a paddock x community area's mean per-cell temporal cover percentile relates to how wet that area is. Not a within-unit response and no cause is attributed.
59,Aeolian Chenopod Shrublands,4464,54.29222,77.83904,0,2.204301,278.3367763739503,Dinan 12,14-day grazing,aeolian,Dinan 12 / aeolian,26488,16.85291452733313,2,pixel,paddock x community part,1988-2022 (35 water years),unweighted mean over the part's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the part's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. Identical to the TEMPORAL-1 paddock figure. Ruling CT.,"Share of the part's cells seen wet, MEAN OVER YEARS (%). Rulings AZ / CX - this is NOT a between-year flood frequency and is not labelled as one. Computed as the mean over the part's cells of the census parquet's COUNTED per-cell flood_freq_pct, which is exactly equal to the mean over years of the part's within-year wet share because valid_years == 35 on every cell.",500,BETWEEN-PART description: how a paddock x community area's mean per-cell temporal cover percentile relates to how wet that area is. Not a within-unit response and no cause is attributed.
62,Aeolian Chenopod Shrublands,1197,35.783474,70.18386,0,2.530135,74.63465979382134,Dinan 1,14-day grazing,aeolian,Dinan 1 / aeolian,12527,9.555360421489583,3,pixel,paddock x community part,1988-2022 (35 water years),unweighted mean over the part's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the part's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. Identical to the TEMPORAL-1 paddock figure. Ruling CT.,"Share of the part's cells seen wet, MEAN OVER YEARS (%). Rulings AZ / CX - this is NOT a between-year flood frequency and is not labelled as one. Computed as the mean over the part's cells of the census parquet's COUNTED per-cell flood_freq_pct, which is exactly equal to the mean over years of the part's within-year wet share because valid_years == 35 on every cell.",500,BETWEEN-PART description: how a paddock x community area's mean per-cell temporal cover percentile relates to how wet that area is. Not a within-unit response and no cause is attributed.
4,Aeolian Chenopod Shrublands,11848,46.768585,69.22479,0,2.8161473,738.7397236735131,Bala 29ca,No grazing,aeolian,Bala 29ca / aeolian,36676,32.30450430799433,3,pixel,paddock x community part,1988-2022 (35 water years),unweighted mean over the part's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the part's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. Identical to the TEMPORAL-1 paddock figure. Ruling CT.,"Share of the part's cells seen wet, MEAN OVER YEARS (%). Rulings AZ / CX - this is NOT a between-year flood frequency and is not labelled as one. Computed as the mean over the part's cells of the census parquet's COUNTED per-cell flood_freq_pct, which is exactly equal to the mean over years of the part's within-year wet share because valid_years == 35 on every cell.",500,BETWEEN-PART description: how a paddock x community area's mean per-cell temporal cover percentile relates to how wet that area is. Not a within-unit response and no cause is attributed.
6,Riverine Chenopod Shrublands,1956,36.137226,76.660675,0,3.0222027,121.9593939488008,Bala 2,14-day grazing,riverine,Bala 2 / riverine,28043,6.975002674464216,2,pixel,paddock x community part,1988-2022 (35 water years),unweighted mean over the part's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the part's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. Identical to the TEMPORAL-1 paddock figure. Ruling CT.,"Share of the part's cells seen wet, MEAN OVER YEARS (%). Rulings AZ / CX - this is NOT a between-year flood frequency and is not labelled as one. Computed as the mean over the part's cells of the census parquet's COUNTED per-cell flood_freq_pct, which is exactly equal to the mean over years of the part's within-year wet share because valid_years == 35 on every cell.",500,BETWEEN-PART description: how a paddock x community area's mean per-cell temporal cover percentile relates to how wet that area is. Not a within-unit response and no cause is attributed.
10,Riverine Chenopod Shrublands,13478,38.41304,77.440155,0,3.1210651,840.3725519641805,Bala 6,14-day grazing,riverine,Bala 6 / riverine,32425,41.56669236700077,2,pixel,paddock x community part,1988-2022 (35 water years),unweighted mean over the part's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the part's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. Identical to the TEMPORAL-1 paddock figure. Ruling CT.,"Share of the part's cells seen wet, MEAN OVER YEARS (%). Rulings AZ / CX - this is NOT a between-year flood frequency and is not labelled as one. Computed as the mean over the part's cells of the census parquet's COUNTED per-cell flood_freq_pct, which is exactly equal to the mean over years of the part's within-year wet share because valid_years == 35 on every cell.",500,BETWEEN-PART description: how a paddock x community area's mean per-cell temporal cover percentile relates to how wet that area is. Not a within-unit response and no cause is attributed.
58,Aeolian Chenopod Shrublands,1004,44.41363,69.64985,0,3.7706318,62.60083411277914,Dinan 13,14-day grazing,aeolian,Dinan 13 / aeolian,20212,4.96734613101128,3,pixel,paddock x community part,1988-2022 (35 water years),unweighted mean over the part's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the part's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. Identical to the TEMPORAL-1 paddock figure. Ruling CT.,"Share of the part's cells seen wet, MEAN OVER YEARS (%). Rulings AZ / CX - this is NOT a between-year flood frequency and is not labelled as one. Computed as the mean over the part's cells of the census parquet's COUNTED per-cell flood_freq_pct, which is exactly equal to the mean over years of the part's within-year wet share because valid_years == 35 on every cell.",500,BETWEEN-PART description: how a paddock x community area's mean per-cell temporal cover percentile relates to how wet that area is. Not a within-unit response and no cause is attributed.
