community,wet_years_lo,wet_years_hi,bin_label,flood_freq_lo_pct,flood_freq_hi_pct,n_cells,mean_flood_freq_pct,mean_veg_p05_temporal,mean_veg_p50_temporal,gap_p50_minus_p05,support_level,unit,period_label,weighting,scope_filter,y_basis,x_quantity,estimand
Aeolian Chenopod Shrublands,0,0,k = 0,0.0,0.0,32250,0.0,44.727085,73.11565,28.388561,pixel,census cell (24.970268 m),1988-2022 (35 water years),unweighted mean over cells,treed_context_flag = 0 AND regime_band <> 'context',SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"per-cell between-year flood frequency COUNTED from the census wet_years / valid_years, not read from a raster. valid_years = 35 for every non-treed cell, so k = wet_years and the bin edges below are whole years. Bin edges are columns, not implied.",PER-CELL means by community and wet-year bin; no zone join
Riverine Chenopod Shrublands,0,0,k = 0,0.0,0.0,27104,0.0,32.75881,71.03486,38.27605,pixel,census cell (24.970268 m),1988-2022 (35 water years),unweighted mean over cells,treed_context_flag = 0 AND regime_band <> 'context',SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"per-cell between-year flood frequency COUNTED from the census wet_years / valid_years, not read from a raster. valid_years = 35 for every non-treed cell, so k = wet_years and the bin edges below are whole years. Bin edges are columns, not implied.",PER-CELL means by community and wet-year bin; no zone join
Inland Floodplain Shrublands / Swamps,0,0,k = 0,0.0,0.0,19711,0.0,37.878838,74.299706,36.420868,pixel,census cell (24.970268 m),1988-2022 (35 water years),unweighted mean over cells,treed_context_flag = 0 AND regime_band <> 'context',SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"per-cell between-year flood frequency COUNTED from the census wet_years / valid_years, not read from a raster. valid_years = 35 for every non-treed cell, so k = wet_years and the bin edges below are whole years. Bin edges are columns, not implied.",PER-CELL means by community and wet-year bin; no zone join
Aeolian Chenopod Shrublands,1,2,k = 1-2,2.857142857142857,5.714285714285714,23434,3.8884897,44.698578,70.5788,25.880219,pixel,census cell (24.970268 m),1988-2022 (35 water years),unweighted mean over cells,treed_context_flag = 0 AND regime_band <> 'context',SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"per-cell between-year flood frequency COUNTED from the census wet_years / valid_years, not read from a raster. valid_years = 35 for every non-treed cell, so k = wet_years and the bin edges below are whole years. Bin edges are columns, not implied.",PER-CELL means by community and wet-year bin; no zone join
Riverine Chenopod Shrublands,1,2,k = 1-2,2.857142857142857,5.714285714285714,58414,4.105963,40.35018,72.281685,31.931503,pixel,census cell (24.970268 m),1988-2022 (35 water years),unweighted mean over cells,treed_context_flag = 0 AND regime_band <> 'context',SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"per-cell between-year flood frequency COUNTED from the census wet_years / valid_years, not read from a raster. valid_years = 35 for every non-treed cell, so k = wet_years and the bin edges below are whole years. Bin edges are columns, not implied.",PER-CELL means by community and wet-year bin; no zone join
Inland Floodplain Shrublands / Swamps,1,2,k = 1-2,2.857142857142857,5.714285714285714,70541,4.297521,44.718094,76.48686,31.768768,pixel,census cell (24.970268 m),1988-2022 (35 water years),unweighted mean over cells,treed_context_flag = 0 AND regime_band <> 'context',SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"per-cell between-year flood frequency COUNTED from the census wet_years / valid_years, not read from a raster. valid_years = 35 for every non-treed cell, so k = wet_years and the bin edges below are whole years. Bin edges are columns, not implied.",PER-CELL means by community and wet-year bin; no zone join
Aeolian Chenopod Shrublands,3,5,k = 3-5,8.571428571428571,14.285714285714286,12119,10.963186,46.45225,72.75546,26.303211,pixel,census cell (24.970268 m),1988-2022 (35 water years),unweighted mean over cells,treed_context_flag = 0 AND regime_band <> 'context',SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"per-cell between-year flood frequency COUNTED from the census wet_years / valid_years, not read from a raster. valid_years = 35 for every non-treed cell, so k = wet_years and the bin edges below are whole years. Bin edges are columns, not implied.",PER-CELL means by community and wet-year bin; no zone join
Riverine Chenopod Shrublands,3,5,k = 3-5,8.571428571428571,14.285714285714286,43377,11.151335,45.224422,73.947365,28.722942,pixel,census cell (24.970268 m),1988-2022 (35 water years),unweighted mean over cells,treed_context_flag = 0 AND regime_band <> 'context',SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"per-cell between-year flood frequency COUNTED from the census wet_years / valid_years, not read from a raster. valid_years = 35 for every non-treed cell, so k = wet_years and the bin edges below are whole years. Bin edges are columns, not implied.",PER-CELL means by community and wet-year bin; no zone join
Inland Floodplain Shrublands / Swamps,3,5,k = 3-5,8.571428571428571,14.285714285714286,115080,11.432891,52.9689,79.52422,26.555325,pixel,census cell (24.970268 m),1988-2022 (35 water years),unweighted mean over cells,treed_context_flag = 0 AND regime_band <> 'context',SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"per-cell between-year flood frequency COUNTED from the census wet_years / valid_years, not read from a raster. valid_years = 35 for every non-treed cell, so k = wet_years and the bin edges below are whole years. Bin edges are columns, not implied.",PER-CELL means by community and wet-year bin; no zone join
Aeolian Chenopod Shrublands,6,10,k = 6-10,17.142857142857142,28.571428571428573,7837,20.844711,53.46709,77.12553,23.658436,pixel,census cell (24.970268 m),1988-2022 (35 water years),unweighted mean over cells,treed_context_flag = 0 AND regime_band <> 'context',SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"per-cell between-year flood frequency COUNTED from the census wet_years / valid_years, not read from a raster. valid_years = 35 for every non-treed cell, so k = wet_years and the bin edges below are whole years. Bin edges are columns, not implied.",PER-CELL means by community and wet-year bin; no zone join
