zone_fid,zone_name,treatment,published_share_cells_wet_mean_over_years_pct,veg_p05_spatial_published,veg_p05_temporal_mean,veg_p50_temporal_mean,n_cells,dominant_community,dominant_community_share_pct,difference_temporal_minus_spatial,TABLE_ONLY_NOTE,support_level,unit,period_label,weighting,y_basis
60,Dinan 14,14-day grazing,1.71,60.89,49.619915,77.95623,7721,Aeolian Chenopod Shrublands,97.8500194275353,-11.270084991455079,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
57,Dinan 10,14-day grazing,5.09,40.38,41.67942,65.775795,13489,Aeolian Chenopod Shrublands,65.09007339313516,1.2994204711914037,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
39,Mara 11,14-day grazing,8.21,63.49,48.599075,77.49629,15194,Inland Floodplain Shrublands / Swamps,97.67671449256285,-14.89092468261719,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
4,Bala 29ca,No grazing,8.53,40.52,51.05198,73.80113,36676,Inland Floodplain Shrublands / Swamps,34.59210382811648,10.531979064941403,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
54,Dinan 7,14-day grazing,8.63,58.63,43.21542,72.5435,11360,Riverine Chenopod Shrublands,99.23415492957747,-15.414580230712893,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
10,Bala 6,14-day grazing,10.55,67.68,52.309635,80.83503,32425,Inland Floodplain Shrublands / Swamps,58.43330763299923,-15.370364837646491,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
6,Bala 2,14-day grazing,10.77,68.2,54.147663,81.43956,28043,Inland Floodplain Shrublands / Swamps,93.02499732553578,-14.052336883544925,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
56,Dinan 9,14-day grazing,11.51,55.6,45.0058,73.372154,27306,Inland Floodplain Shrublands / Swamps,60.74855343148025,-10.594201660156251,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
7,Bala 3,14-day grazing,11.59,63.83,53.45408,78.78262,20725,Inland Floodplain Shrublands / Swamps,100.0,-10.375921325683592,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
55,Dinan 8,14-day grazing,12.51,49.19,41.82738,71.64255,42843,Riverine Chenopod Shrublands,52.669047452325934,-7.362618865966795,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
59,Dinan 12,14-day grazing,15.05,61.35,52.45519,77.541885,26488,Riverine Chenopod Shrublands,83.14708547266687,-8.894811248779298,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
5,Bala 1,14-day grazing,15.26,69.97,63.748455,82.95019,10126,Inland Floodplain Shrublands / Swamps,96.85956942524196,-6.221544952392577,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
38,Mara 8,14-day grazing,15.75,65.49,54.817303,79.874306,3784,Aeolian Chenopod Shrublands,50.05285412262156,-10.672697296142573,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
