zone_fid,n_cells,veg_p05_temporal_mean,veg_p50_temporal_mean,n_cells_missing_p05,area_ha,share_pct_aeolian,share_pct_riverine,share_pct_inland,dominant_community,dominant_community_share_pct,zone_name,treatment,mean_floor,mean_flood,support_level,series_variant,dominant_community_short,unit,period_label,weighting,scope_filter,pixel_constant_ha,denominator,y_basis,x_quantity,estimand
60,7721,49.619915,77.95623,0,481.41537867008736,97.8500194275353,2.1499805724647065,0.0,Aeolian Chenopod Shrublands,97.8500194275353,Dinan 14,14-day grazing,60.89,1.71,pixel,mean_of_seasons,aeolian,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the unit's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"PUBLISHED mean_flood from v_zone_floor_flood_residual: the share of the paddock's cells seen wet, MEAN OVER YEARS (%). Ruling AZ - this is NOT a between-year flood frequency and is not labelled as one.",BETWEEN-UNIT description: how a paddock's mean per-cell temporal cover percentile relates to how wet that paddock is. Not a within-unit response.
57,13489,41.67942,65.775795,0,841.0584176765715,65.09007339313516,6.9982949069612275,27.911631699903626,Aeolian Chenopod Shrublands,65.09007339313516,Dinan 10,14-day grazing,40.38,5.09,pixel,mean_of_seasons,aeolian,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the unit's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"PUBLISHED mean_flood from v_zone_floor_flood_residual: the share of the paddock's cells seen wet, MEAN OVER YEARS (%). Ruling AZ - this is NOT a between-year flood frequency and is not labelled as one.",BETWEEN-UNIT description: how a paddock's mean per-cell temporal cover percentile relates to how wet that paddock is. Not a within-unit response.
39,15194,48.599075,77.49629,0,947.3676030971775,0.0,2.3232855074371463,97.67671449256285,Inland Floodplain Shrublands / Swamps,97.67671449256285,Mara 11,14-day grazing,63.49,8.21,pixel,mean_of_seasons,inland,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the unit's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"PUBLISHED mean_flood from v_zone_floor_flood_residual: the share of the paddock's cells seen wet, MEAN OVER YEARS (%). Ruling AZ - this is NOT a between-year flood frequency and is not labelled as one.",BETWEEN-UNIT description: how a paddock's mean per-cell temporal cover percentile relates to how wet that paddock is. Not a within-unit response.
4,36676,51.05198,73.80113,0,2286.800987968414,32.30450430799433,33.10339186388919,34.59210382811648,Inland Floodplain Shrublands / Swamps,34.59210382811648,Bala 29ca,No grazing,40.52,8.53,pixel,mean_of_seasons,inland,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the unit's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"PUBLISHED mean_flood from v_zone_floor_flood_residual: the share of the paddock's cells seen wet, MEAN OVER YEARS (%). Ruling AZ - this is NOT a between-year flood frequency and is not labelled as one.",BETWEEN-UNIT description: how a paddock's mean per-cell temporal cover percentile relates to how wet that paddock is. Not a within-unit response.
54,11360,43.21542,72.5435,0,708.3122266147121,0.7658450704225352,99.23415492957747,0.0,Riverine Chenopod Shrublands,99.23415492957747,Dinan 7,14-day grazing,58.63,8.63,pixel,mean_of_seasons,riverine,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the unit's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"PUBLISHED mean_flood from v_zone_floor_flood_residual: the share of the paddock's cells seen wet, MEAN OVER YEARS (%). Ruling AZ - this is NOT a between-year flood frequency and is not labelled as one.",BETWEEN-UNIT description: how a paddock's mean per-cell temporal cover percentile relates to how wet that paddock is. Not a within-unit response.
10,32425,52.309635,80.83503,0,2021.7450658434896,0.0,41.566692367000776,58.43330763299923,Inland Floodplain Shrublands / Swamps,58.43330763299923,Bala 6,14-day grazing,67.68,10.55,pixel,mean_of_seasons,inland,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the unit's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"PUBLISHED mean_flood from v_zone_floor_flood_residual: the share of the paddock's cells seen wet, MEAN OVER YEARS (%). Ruling AZ - this is NOT a between-year flood frequency and is not labelled as one.",BETWEEN-UNIT description: how a paddock's mean per-cell temporal cover percentile relates to how wet that paddock is. Not a within-unit response.
6,28043,54.147663,81.43956,0,1748.5211065982724,0.0,6.975002674464216,93.02499732553578,Inland Floodplain Shrublands / Swamps,93.02499732553578,Bala 2,14-day grazing,68.2,10.77,pixel,mean_of_seasons,inland,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the unit's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"PUBLISHED mean_flood from v_zone_floor_flood_residual: the share of the paddock's cells seen wet, MEAN OVER YEARS (%). Ruling AZ - this is NOT a between-year flood frequency and is not labelled as one.",BETWEEN-UNIT description: how a paddock's mean per-cell temporal cover percentile relates to how wet that paddock is. Not a within-unit response.
56,27306,45.0058,73.372154,0,1702.5681038680748,20.98439903317952,18.267047535340218,60.74855343148025,Inland Floodplain Shrublands / Swamps,60.74855343148025,Dinan 9,14-day grazing,55.6,11.51,pixel,mean_of_seasons,inland,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the unit's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"PUBLISHED mean_flood from v_zone_floor_flood_residual: the share of the paddock's cells seen wet, MEAN OVER YEARS (%). Ruling AZ - this is NOT a between-year flood frequency and is not labelled as one.",BETWEEN-UNIT description: how a paddock's mean per-cell temporal cover percentile relates to how wet that paddock is. Not a within-unit response.
7,20725,53.45408,78.78262,0,1292.2333535730554,0.0,0.0,100.0,Inland Floodplain Shrublands / Swamps,100.0,Bala 3,14-day grazing,63.83,11.59,pixel,mean_of_seasons,inland,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the unit's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"PUBLISHED mean_flood from v_zone_floor_flood_residual: the share of the paddock's cells seen wet, MEAN OVER YEARS (%). Ruling AZ - this is NOT a between-year flood frequency and is not labelled as one.",BETWEEN-UNIT description: how a paddock's mean per-cell temporal cover percentile relates to how wet that paddock is. Not a within-unit response.
55,42843,41.82738,71.64255,0,2671.322246906172,38.63875078775996,52.669047452325934,8.692201759914104,Riverine Chenopod Shrublands,52.669047452325934,Dinan 8,14-day grazing,49.19,12.51,pixel,mean_of_seasons,riverine,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the unit's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"PUBLISHED mean_flood from v_zone_floor_flood_residual: the share of the paddock's cells seen wet, MEAN OVER YEARS (%). Ruling AZ - this is NOT a between-year flood frequency and is not labelled as one.",BETWEEN-UNIT description: how a paddock's mean per-cell temporal cover percentile relates to how wet that paddock is. Not a within-unit response.
59,26488,52.45519,77.541885,0,1651.5646354375438,16.852914527333134,83.14708547266687,0.0,Riverine Chenopod Shrublands,83.14708547266687,Dinan 12,14-day grazing,61.35,15.05,pixel,mean_of_seasons,riverine,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the unit's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"PUBLISHED mean_flood from v_zone_floor_flood_residual: the share of the paddock's cells seen wet, MEAN OVER YEARS (%). Ruling AZ - this is NOT a between-year flood frequency and is not labelled as one.",BETWEEN-UNIT description: how a paddock's mean per-cell temporal cover percentile relates to how wet that paddock is. Not a within-unit response.
5,10126,63.748455,82.95019,0,631.3705639701211,0.0,3.1404305747580485,96.85956942524196,Inland Floodplain Shrublands / Swamps,96.85956942524196,Bala 1,14-day grazing,69.97,15.26,pixel,mean_of_seasons,inland,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,treed_context_flag = 0 AND regime_band <> 'context',0.06235142839918241,the unit's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.,"PUBLISHED mean_flood from v_zone_floor_flood_residual: the share of the paddock's cells seen wet, MEAN OVER YEARS (%). Ruling AZ - this is NOT a between-year flood frequency and is not labelled as one.",BETWEEN-UNIT description: how a paddock's mean per-cell temporal cover percentile relates to how wet that paddock is. Not a within-unit response.
