patch_id,community,community_short,n_cells,area_ha,veg_p05_temporal_mean,veg_p05_within_sd,mean_share_cells_wet,n_years_ge30_valid,meets_support_rule,meets_bare_33_cells,meets_500_cells,size_matched,veg_p05_spatial_mean_over_years,mean_share_cells_wet_armB,n_years_fitted,within_patch_slope,within_patch_r,within_patch_resid_ac1,within_patch_fitted,descriptive_offset_pp,offset_note,residual_vs_registered_115part_line,residual_vs_registered_64paddock_line,n_components,n_components_note,metric_note,descriptive_offset_note,registered_lines_note,unit_construction,selection_rule,support_level,period_label,land_use_label,pixel_constant_ha
U0001,Aeolian Chenopod Shrublands,aeolian,36,2.2446514223705667,51.51393,4.745965,3.968254,35,1,1,0,0,70.06484718322754,3.9682539682539684,35.0,0.2455129672547437,0.3849416891813721,0.436256426761832,1.0,,,15.195929884984793,15.23795286576722,1,"1 by construction: a patch is defined as a single 8-connected component, unlike a real part which may be several","veg_p05_spatial_mean_over_years and veg_p05_temporal_mean are DIFFERENT METRICS and are never co-plotted, differenced or captioned with one word. Arm B uses the first, Arm A the second.",offset is against Arm A's zoned DISPLAY SMOOTHER on the temporal metric: not a residual and not a test. NA where the patch is outside the zoned water range.,"115-part: 52.697196 + 0.547274 x mean water; 64-paddock: 52.652934 + 0.547838 x mean water. Both APPLIED, neither refitted.","8-connected component within one vegetation community, outside every management zone","meets_support_rule = >=25 water years with >=30 valid cells; meets_500_cells = the PARTSCATTER floor used by Arm A; meets_bare_33_cells = v1's threshold, for contrast; size_matched = inside this community's real-part IQR",pixel,1988-2022 (35 water years),unzoned standard-grazing country,0.06235142839918241
U0002,Aeolian Chenopod Shrublands,aeolian,18,1.1223257111852831,31.105556,3.7873573,2.5396826,0,0,0,0,0,,,,,,,,,,,,1,"1 by construction: a patch is defined as a single 8-connected component, unlike a real part which may be several","veg_p05_spatial_mean_over_years and veg_p05_temporal_mean are DIFFERENT METRICS and are never co-plotted, differenced or captioned with one word. Arm B uses the first, Arm A the second.",offset is against Arm A's zoned DISPLAY SMOOTHER on the temporal metric: not a residual and not a test. NA where the patch is outside the zoned water range.,"115-part: 52.697196 + 0.547274 x mean water; 64-paddock: 52.652934 + 0.547838 x mean water. Both APPLIED, neither refitted.","8-connected component within one vegetation community, outside every management zone","meets_support_rule = >=25 water years with >=30 valid cells; meets_500_cells = the PARTSCATTER floor used by Arm A; meets_bare_33_cells = v1's threshold, for contrast; size_matched = inside this community's real-part IQR",pixel,1988-2022 (35 water years),unzoned standard-grazing country,0.06235142839918241
U0003,Aeolian Chenopod Shrublands,aeolian,1,0.0623514283991824,41.32436,,8.571428,0,0,0,0,0,,,,,,,,,,,,1,"1 by construction: a patch is defined as a single 8-connected component, unlike a real part which may be several","veg_p05_spatial_mean_over_years and veg_p05_temporal_mean are DIFFERENT METRICS and are never co-plotted, differenced or captioned with one word. Arm B uses the first, Arm A the second.",offset is against Arm A's zoned DISPLAY SMOOTHER on the temporal metric: not a residual and not a test. NA where the patch is outside the zoned water range.,"115-part: 52.697196 + 0.547274 x mean water; 64-paddock: 52.652934 + 0.547838 x mean water. Both APPLIED, neither refitted.","8-connected component within one vegetation community, outside every management zone","meets_support_rule = >=25 water years with >=30 valid cells; meets_500_cells = the PARTSCATTER floor used by Arm A; meets_bare_33_cells = v1's threshold, for contrast; size_matched = inside this community's real-part IQR",pixel,1988-2022 (35 water years),unzoned standard-grazing country,0.06235142839918241
U0004,Aeolian Chenopod Shrublands,aeolian,2,0.1247028567983648,33.234093,0.57021654,2.857143,0,0,0,0,0,,,,,,,,,,,,1,"1 by construction: a patch is defined as a single 8-connected component, unlike a real part which may be several","veg_p05_spatial_mean_over_years and veg_p05_temporal_mean are DIFFERENT METRICS and are never co-plotted, differenced or captioned with one word. Arm B uses the first, Arm A the second.",offset is against Arm A's zoned DISPLAY SMOOTHER on the temporal metric: not a residual and not a test. NA where the patch is outside the zoned water range.,"115-part: 52.697196 + 0.547274 x mean water; 64-paddock: 52.652934 + 0.547838 x mean water. Both APPLIED, neither refitted.","8-connected component within one vegetation community, outside every management zone","meets_support_rule = >=25 water years with >=30 valid cells; meets_500_cells = the PARTSCATTER floor used by Arm A; meets_bare_33_cells = v1's threshold, for contrast; size_matched = inside this community's real-part IQR",pixel,1988-2022 (35 water years),unzoned standard-grazing country,0.06235142839918241
U0005,Aeolian Chenopod Shrublands,aeolian,2,0.1247028567983648,31.67749,1.198744,2.857143,0,0,0,0,0,,,,,,,,,,,,1,"1 by construction: a patch is defined as a single 8-connected component, unlike a real part which may be several","veg_p05_spatial_mean_over_years and veg_p05_temporal_mean are DIFFERENT METRICS and are never co-plotted, differenced or captioned with one word. Arm B uses the first, Arm A the second.",offset is against Arm A's zoned DISPLAY SMOOTHER on the temporal metric: not a residual and not a test. NA where the patch is outside the zoned water range.,"115-part: 52.697196 + 0.547274 x mean water; 64-paddock: 52.652934 + 0.547838 x mean water. Both APPLIED, neither refitted.","8-connected component within one vegetation community, outside every management zone","meets_support_rule = >=25 water years with >=30 valid cells; meets_500_cells = the PARTSCATTER floor used by Arm A; meets_bare_33_cells = v1's threshold, for contrast; size_matched = inside this community's real-part IQR",pixel,1988-2022 (35 water years),unzoned standard-grazing country,0.06235142839918241
U0006,Aeolian Chenopod Shrublands,aeolian,2,0.1247028567983648,33.32166,0.8826966,2.857143,0,0,0,0,0,,,,,,,,,,,,1,"1 by construction: a patch is defined as a single 8-connected component, unlike a real part which may be several","veg_p05_spatial_mean_over_years and veg_p05_temporal_mean are DIFFERENT METRICS and are never co-plotted, differenced or captioned with one word. Arm B uses the first, Arm A the second.",offset is against Arm A's zoned DISPLAY SMOOTHER on the temporal metric: not a residual and not a test. NA where the patch is outside the zoned water range.,"115-part: 52.697196 + 0.547274 x mean water; 64-paddock: 52.652934 + 0.547838 x mean water. Both APPLIED, neither refitted.","8-connected component within one vegetation community, outside every management zone","meets_support_rule = >=25 water years with >=30 valid cells; meets_500_cells = the PARTSCATTER floor used by Arm A; meets_bare_33_cells = v1's threshold, for contrast; size_matched = inside this community's real-part IQR",pixel,1988-2022 (35 water years),unzoned standard-grazing country,0.06235142839918241
U0007,Aeolian Chenopod Shrublands,aeolian,1,0.0623514283991824,33.572517,,2.857143,0,0,0,0,0,,,,,,,,,,,,1,"1 by construction: a patch is defined as a single 8-connected component, unlike a real part which may be several","veg_p05_spatial_mean_over_years and veg_p05_temporal_mean are DIFFERENT METRICS and are never co-plotted, differenced or captioned with one word. Arm B uses the first, Arm A the second.",offset is against Arm A's zoned DISPLAY SMOOTHER on the temporal metric: not a residual and not a test. NA where the patch is outside the zoned water range.,"115-part: 52.697196 + 0.547274 x mean water; 64-paddock: 52.652934 + 0.547838 x mean water. Both APPLIED, neither refitted.","8-connected component within one vegetation community, outside every management zone","meets_support_rule = >=25 water years with >=30 valid cells; meets_500_cells = the PARTSCATTER floor used by Arm A; meets_bare_33_cells = v1's threshold, for contrast; size_matched = inside this community's real-part IQR",pixel,1988-2022 (35 water years),unzoned standard-grazing country,0.06235142839918241
U0008,Aeolian Chenopod Shrublands,aeolian,46,2.8681657063623907,40.555492,9.163,2.795031,35,1,1,0,0,64.4363257271903,2.795031055900621,35.0,0.7529387496422971,0.4614184782917775,0.2015310023986044,1.0,,,10.209482512193553,10.252167503587806,1,"1 by construction: a patch is defined as a single 8-connected component, unlike a real part which may be several","veg_p05_spatial_mean_over_years and veg_p05_temporal_mean are DIFFERENT METRICS and are never co-plotted, differenced or captioned with one word. Arm B uses the first, Arm A the second.",offset is against Arm A's zoned DISPLAY SMOOTHER on the temporal metric: not a residual and not a test. NA where the patch is outside the zoned water range.,"115-part: 52.697196 + 0.547274 x mean water; 64-paddock: 52.652934 + 0.547838 x mean water. Both APPLIED, neither refitted.","8-connected component within one vegetation community, outside every management zone","meets_support_rule = >=25 water years with >=30 valid cells; meets_500_cells = the PARTSCATTER floor used by Arm A; meets_bare_33_cells = v1's threshold, for contrast; size_matched = inside this community's real-part IQR",pixel,1988-2022 (35 water years),unzoned standard-grazing country,0.06235142839918241
U0009,Aeolian Chenopod Shrublands,aeolian,2,0.1247028567983648,55.45913,0.33361423,20.0,0,0,0,0,0,,,,,,,,,,,,1,"1 by construction: a patch is defined as a single 8-connected component, unlike a real part which may be several","veg_p05_spatial_mean_over_years and veg_p05_temporal_mean are DIFFERENT METRICS and are never co-plotted, differenced or captioned with one word. Arm B uses the first, Arm A the second.",offset is against Arm A's zoned DISPLAY SMOOTHER on the temporal metric: not a residual and not a test. NA where the patch is outside the zoned water range.,"115-part: 52.697196 + 0.547274 x mean water; 64-paddock: 52.652934 + 0.547838 x mean water. Both APPLIED, neither refitted.","8-connected component within one vegetation community, outside every management zone","meets_support_rule = >=25 water years with >=30 valid cells; meets_500_cells = the PARTSCATTER floor used by Arm A; meets_bare_33_cells = v1's threshold, for contrast; size_matched = inside this community's real-part IQR",pixel,1988-2022 (35 water years),unzoned standard-grazing country,0.06235142839918241
U0010,Aeolian Chenopod Shrublands,aeolian,4,0.2494057135967296,44.324097,2.2626357,10.0,0,0,0,0,0,,,,,,,,,,,,1,"1 by construction: a patch is defined as a single 8-connected component, unlike a real part which may be several","veg_p05_spatial_mean_over_years and veg_p05_temporal_mean are DIFFERENT METRICS and are never co-plotted, differenced or captioned with one word. Arm B uses the first, Arm A the second.",offset is against Arm A's zoned DISPLAY SMOOTHER on the temporal metric: not a residual and not a test. NA where the patch is outside the zoned water range.,"115-part: 52.697196 + 0.547274 x mean water; 64-paddock: 52.652934 + 0.547838 x mean water. Both APPLIED, neither refitted.","8-connected component within one vegetation community, outside every management zone","meets_support_rule = >=25 water years with >=30 valid cells; meets_500_cells = the PARTSCATTER floor used by Arm A; meets_bare_33_cells = v1's threshold, for contrast; size_matched = inside this community's real-part IQR",pixel,1988-2022 (35 water years),unzoned standard-grazing country,0.06235142839918241
