fit_id,description,estimator,metric,y_variable,x_variable,community,subset,weighting,n,n_units,slope,intercept,r,resid_sd,boot_slope_p2_5,boot_slope_p50,boot_slope_p97_5,boot_draws,boot_cluster,estimator_warning,cluster_warning,support_level,period_label,land_use_label,unit_construction
UNZONED_v3_within_pooled,"UNZONED v3 within, pooled",WITHIN (patch fixed effects),veg_p05_spatial,veg_p05_spatial,inund_pct,pooled,all supported,weighted by n_cells,3253,93,0.210572598362609,,0.3306734633837511,13.815765645986827,0.1617612992333901,0.2089750931305056,0.2621277895407159,2000,patch_id,WITHIN and BETWEEN answer different questions and are never two estimates of one number (spec section 5). Every row names its estimator; no row may be compared to another without matching that column.,the cluster is the PATCH; the real-part comparators cluster on zone_fid. There is no paddock on this ground.,pixel,1988-2022 (35 water years),unzoned standard-grazing country,"8-connected component within one vegetation community, outside every management zone"
UNZONED_v3_within_aeolian,"UNZONED v3 within, aeolian",WITHIN (patch fixed effects),veg_p05_spatial,veg_p05_spatial,inund_pct,aeolian,all supported,weighted by n_cells,525,15,0.1483436439873996,,0.1863110028890937,14.468197923128644,0.0977570169518008,0.1481937671102285,0.180704552734624,2000,patch_id,WITHIN and BETWEEN answer different questions and are never two estimates of one number (spec section 5). Every row names its estimator; no row may be compared to another without matching that column.,the cluster is the PATCH; the real-part comparators cluster on zone_fid. There is no paddock on this ground.,pixel,1988-2022 (35 water years),unzoned standard-grazing country,"8-connected component within one vegetation community, outside every management zone"
UNZONED_v3_within_riverine,"UNZONED v3 within, riverine",WITHIN (patch fixed effects),veg_p05_spatial,veg_p05_spatial,inund_pct,riverine,all supported,weighted by n_cells,838,24,0.2908692442164571,,0.2831211130587809,16.32220437649691,0.1383683406269218,0.2915037958893895,0.4477922237782863,2000,patch_id,WITHIN and BETWEEN answer different questions and are never two estimates of one number (spec section 5). Every row names its estimator; no row may be compared to another without matching that column.,the cluster is the PATCH; the real-part comparators cluster on zone_fid. There is no paddock on this ground.,pixel,1988-2022 (35 water years),unzoned standard-grazing country,"8-connected component within one vegetation community, outside every management zone"
UNZONED_v3_within_inland,"UNZONED v3 within, inland",WITHIN (patch fixed effects),veg_p05_spatial,veg_p05_spatial,inund_pct,inland,all supported,weighted by n_cells,1890,54,0.2004721686277504,,0.3832403055058103,12.579856742055748,0.1489718894312935,0.197535703635735,0.2577401897266433,2000,patch_id,WITHIN and BETWEEN answer different questions and are never two estimates of one number (spec section 5). Every row names its estimator; no row may be compared to another without matching that column.,the cluster is the PATCH; the real-part comparators cluster on zone_fid. There is no paddock on this ground.,pixel,1988-2022 (35 water years),unzoned standard-grazing country,"8-connected component within one vegetation community, outside every management zone"
UNZONED_v3_within_pooled_AR1,"UNZONED v3 within, GLS AR(1)","WITHIN (patch fixed effects), AR(1) errors - SENSITIVITY, not a correction",veg_p05_spatial,veg_p05_spatial,inund_pct,all pooled,all supported,varFixed(~1/n_cells) - variance inversely proportional to cell count,3253,93,0.143618757985158,,,,0.126825929955625,0.143618757985158,0.160411586014691,0,"MODEL-BASED interval, not a bootstrap",WITHIN and BETWEEN answer different questions and are never two estimates of one number (spec section 5). Every row names its estimator; no row may be compared to another without matching that column.,the cluster is the PATCH; the real-part comparators cluster on zone_fid. There is no paddock on this ground.,pixel,1988-2022 (35 water years),unzoned standard-grazing country,"8-connected component within one vegetation community, outside every management zone"
UNZONED_v3_between_all_pooled_unw,"unzoned patches, between-unit, all pooled, pixel-weighted (patch cell count)",BETWEEN-UNIT (across patches of across-year means),veg_p05_spatial,floor_mean,inund_mean,all pooled,all supported,pixel-weighted (patch cell count),93,93,0.4868501951100989,57.68380738465103,0.6895896338435626,4.133742329859747,0.2762585800236906,0.4772673444823597,0.6245396348379485,2000,patch_id,WITHIN and BETWEEN answer different questions and are never two estimates of one number (spec section 5). Every row names its estimator; no row may be compared to another without matching that column.,the cluster is the PATCH; the real-part comparators cluster on zone_fid. There is no paddock on this ground.,pixel,1988-2022 (35 water years),unzoned standard-grazing country,"8-connected component within one vegetation community, outside every management zone"
UNZONED_v3_between_all_pooled_unw,"unzoned patches, between-unit, all pooled, unweighted",BETWEEN-UNIT (across patches of across-year means),veg_p05_spatial,floor_mean,inund_mean,all pooled,all supported,unweighted,93,93,0.3969660561005953,59.87330468813085,0.4852694339934235,8.458596623020844,0.2292566707752676,0.3948409594652511,0.5810636205659131,2000,patch_id,WITHIN and BETWEEN answer different questions and are never two estimates of one number (spec section 5). Every row names its estimator; no row may be compared to another without matching that column.,the cluster is the PATCH; the real-part comparators cluster on zone_fid. There is no paddock on this ground.,pixel,1988-2022 (35 water years),unzoned standard-grazing country,"8-connected component within one vegetation community, outside every management zone"
UNZONED_v3_between_aeolian_unw,"unzoned patches, between-unit, aeolian, pixel-weighted (patch cell count)",BETWEEN-UNIT (across patches of across-year means),veg_p05_spatial,floor_mean,inund_mean,aeolian,all supported,pixel-weighted (patch cell count),15,15,0.3020655791565674,57.739012623815135,0.3155196821633913,3.142672204954473,-0.3363986647422399,0.3092168437613234,1.4702368601601166,2000,patch_id,WITHIN and BETWEEN answer different questions and are never two estimates of one number (spec section 5). Every row names its estimator; no row may be compared to another without matching that column.,the cluster is the PATCH; the real-part comparators cluster on zone_fid. There is no paddock on this ground.,pixel,1988-2022 (35 water years),unzoned standard-grazing country,"8-connected component within one vegetation community, outside every management zone"
UNZONED_v3_between_aeolian_unw,"unzoned patches, between-unit, aeolian, unweighted",BETWEEN-UNIT (across patches of across-year means),veg_p05_spatial,floor_mean,inund_mean,aeolian,all supported,unweighted,15,15,0.5412640330366731,60.10538954524239,0.5654642864987378,8.035536287076598,-0.0489166259191207,0.537700483386309,1.345728852319717,2000,patch_id,WITHIN and BETWEEN answer different questions and are never two estimates of one number (spec section 5). Every row names its estimator; no row may be compared to another without matching that column.,the cluster is the PATCH; the real-part comparators cluster on zone_fid. There is no paddock on this ground.,pixel,1988-2022 (35 water years),unzoned standard-grazing country,"8-connected component within one vegetation community, outside every management zone"
UNZONED_v3_between_riverine_unw,"unzoned patches, between-unit, riverine, pixel-weighted (patch cell count)",BETWEEN-UNIT (across patches of across-year means),veg_p05_spatial,floor_mean,inund_mean,riverine,all supported,pixel-weighted (patch cell count),24,24,0.5351295795153904,56.63011209396714,0.6278419448763932,4.79333299109259,-0.0724460518245996,0.4904116895819402,0.8693535358012641,2000,patch_id,WITHIN and BETWEEN answer different questions and are never two estimates of one number (spec section 5). Every row names its estimator; no row may be compared to another without matching that column.,the cluster is the PATCH; the real-part comparators cluster on zone_fid. There is no paddock on this ground.,pixel,1988-2022 (35 water years),unzoned standard-grazing country,"8-connected component within one vegetation community, outside every management zone"
UNZONED_v3_between_riverine_unw,"unzoned patches, between-unit, riverine, unweighted",BETWEEN-UNIT (across patches of across-year means),veg_p05_spatial,floor_mean,inund_mean,riverine,all supported,unweighted,24,24,0.370585558898541,55.99672682795758,0.3972253619881503,11.254023063196154,0.054998204377834,0.3748653354407362,0.8337277850506659,2000,patch_id,WITHIN and BETWEEN answer different questions and are never two estimates of one number (spec section 5). Every row names its estimator; no row may be compared to another without matching that column.,the cluster is the PATCH; the real-part comparators cluster on zone_fid. There is no paddock on this ground.,pixel,1988-2022 (35 water years),unzoned standard-grazing country,"8-connected component within one vegetation community, outside every management zone"
UNZONED_v3_between_inland_unw,"unzoned patches, between-unit, inland, pixel-weighted (patch cell count)",BETWEEN-UNIT (across patches of across-year means),veg_p05_spatial,floor_mean,inund_mean,inland,all supported,pixel-weighted (patch cell count),54,54,0.4158727856440716,59.46019712546671,0.6315767699050937,3.753498045751238,0.220507253211799,0.419452112450935,0.5392440288324599,2000,patch_id,WITHIN and BETWEEN answer different questions and are never two estimates of one number (spec section 5). Every row names its estimator; no row may be compared to another without matching that column.,the cluster is the PATCH; the real-part comparators cluster on zone_fid. There is no paddock on this ground.,pixel,1988-2022 (35 water years),unzoned standard-grazing country,"8-connected component within one vegetation community, outside every management zone"
