patch_id,n_cells,veg_p05_temporal_mean,veg_p05_within_sd,veg_p50_temporal_mean,n_cells_missing_p05,mean_share_cells_wet,community,community_short,area_ha,n_years_ge30_valid,meets_support_rule,meets_bare_33_cells,meets_500_cells,size_matched,support_level,unit,unit_construction,land_use_label,period_label,weighting,scope_filter,pixel_constant_ha,denominator,y_basis,x_quantity,y_metric,min_cells_filter
U0001,36,51.51393,4.745965,78.80519,0,3.968254,Aeolian Chenopod Shrublands,aeolian,2.2446514223705667,35,1,1,0,0,pixel,"unzoned patch (8-connected, community-pure)","8-connected component within one community, outside every management zone",unzoned standard-grazing country,1988-2022 (35 water years),unweighted mean over the patch's cells,treed_context_flag = 0 AND regime_band <> 'context' AND zone_fid IS NULL,0.06235142839918241,the patch's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. Identical to PARTSCATTER and to the TEMPORAL-1 paddock figure.,"Share of the patch's cells seen wet, MEAN OVER YEARS (%). Rulings AZ / CX - NOT a between-year flood frequency. Mean over the patch's cells of the census parquet's COUNTED per-cell flood_freq_pct, exactly equal to the mean over years of the patch's within-year wet share because valid_years == 35 on every cell.",veg_p05_temporal_mean,500
U0002,18,31.105556,3.7873573,63.703693,0,2.5396826,Aeolian Chenopod Shrublands,aeolian,1.1223257111852833,0,0,0,0,0,pixel,"unzoned patch (8-connected, community-pure)","8-connected component within one community, outside every management zone",unzoned standard-grazing country,1988-2022 (35 water years),unweighted mean over the patch's cells,treed_context_flag = 0 AND regime_band <> 'context' AND zone_fid IS NULL,0.06235142839918241,the patch's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. Identical to PARTSCATTER and to the TEMPORAL-1 paddock figure.,"Share of the patch's cells seen wet, MEAN OVER YEARS (%). Rulings AZ / CX - NOT a between-year flood frequency. Mean over the patch's cells of the census parquet's COUNTED per-cell flood_freq_pct, exactly equal to the mean over years of the patch's within-year wet share because valid_years == 35 on every cell.",veg_p05_temporal_mean,500
U0003,1,41.32436,,75.05072,0,8.571428,Aeolian Chenopod Shrublands,aeolian,0.06235142839918241,0,0,0,0,0,pixel,"unzoned patch (8-connected, community-pure)","8-connected component within one community, outside every management zone",unzoned standard-grazing country,1988-2022 (35 water years),unweighted mean over the patch's cells,treed_context_flag = 0 AND regime_band <> 'context' AND zone_fid IS NULL,0.06235142839918241,the patch's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. Identical to PARTSCATTER and to the TEMPORAL-1 paddock figure.,"Share of the patch's cells seen wet, MEAN OVER YEARS (%). Rulings AZ / CX - NOT a between-year flood frequency. Mean over the patch's cells of the census parquet's COUNTED per-cell flood_freq_pct, exactly equal to the mean over years of the patch's within-year wet share because valid_years == 35 on every cell.",veg_p05_temporal_mean,500
U0004,2,33.234093,0.57021654,70.71132,0,2.857143,Aeolian Chenopod Shrublands,aeolian,0.12470285679836482,0,0,0,0,0,pixel,"unzoned patch (8-connected, community-pure)","8-connected component within one community, outside every management zone",unzoned standard-grazing country,1988-2022 (35 water years),unweighted mean over the patch's cells,treed_context_flag = 0 AND regime_band <> 'context' AND zone_fid IS NULL,0.06235142839918241,the patch's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. Identical to PARTSCATTER and to the TEMPORAL-1 paddock figure.,"Share of the patch's cells seen wet, MEAN OVER YEARS (%). Rulings AZ / CX - NOT a between-year flood frequency. Mean over the patch's cells of the census parquet's COUNTED per-cell flood_freq_pct, exactly equal to the mean over years of the patch's within-year wet share because valid_years == 35 on every cell.",veg_p05_temporal_mean,500
U0005,2,31.67749,1.198744,69.8976,0,2.857143,Aeolian Chenopod Shrublands,aeolian,0.12470285679836482,0,0,0,0,0,pixel,"unzoned patch (8-connected, community-pure)","8-connected component within one community, outside every management zone",unzoned standard-grazing country,1988-2022 (35 water years),unweighted mean over the patch's cells,treed_context_flag = 0 AND regime_band <> 'context' AND zone_fid IS NULL,0.06235142839918241,the patch's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. Identical to PARTSCATTER and to the TEMPORAL-1 paddock figure.,"Share of the patch's cells seen wet, MEAN OVER YEARS (%). Rulings AZ / CX - NOT a between-year flood frequency. Mean over the patch's cells of the census parquet's COUNTED per-cell flood_freq_pct, exactly equal to the mean over years of the patch's within-year wet share because valid_years == 35 on every cell.",veg_p05_temporal_mean,500
U0006,2,33.32166,0.8826966,74.53628,0,2.857143,Aeolian Chenopod Shrublands,aeolian,0.12470285679836482,0,0,0,0,0,pixel,"unzoned patch (8-connected, community-pure)","8-connected component within one community, outside every management zone",unzoned standard-grazing country,1988-2022 (35 water years),unweighted mean over the patch's cells,treed_context_flag = 0 AND regime_band <> 'context' AND zone_fid IS NULL,0.06235142839918241,the patch's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. Identical to PARTSCATTER and to the TEMPORAL-1 paddock figure.,"Share of the patch's cells seen wet, MEAN OVER YEARS (%). Rulings AZ / CX - NOT a between-year flood frequency. Mean over the patch's cells of the census parquet's COUNTED per-cell flood_freq_pct, exactly equal to the mean over years of the patch's within-year wet share because valid_years == 35 on every cell.",veg_p05_temporal_mean,500
U0007,1,33.572517,,72.83227,0,2.857143,Aeolian Chenopod Shrublands,aeolian,0.06235142839918241,0,0,0,0,0,pixel,"unzoned patch (8-connected, community-pure)","8-connected component within one community, outside every management zone",unzoned standard-grazing country,1988-2022 (35 water years),unweighted mean over the patch's cells,treed_context_flag = 0 AND regime_band <> 'context' AND zone_fid IS NULL,0.06235142839918241,the patch's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. Identical to PARTSCATTER and to the TEMPORAL-1 paddock figure.,"Share of the patch's cells seen wet, MEAN OVER YEARS (%). Rulings AZ / CX - NOT a between-year flood frequency. Mean over the patch's cells of the census parquet's COUNTED per-cell flood_freq_pct, exactly equal to the mean over years of the patch's within-year wet share because valid_years == 35 on every cell.",veg_p05_temporal_mean,500
U0008,46,40.555492,9.163,73.51467,0,2.795031,Aeolian Chenopod Shrublands,aeolian,2.8681657063623907,35,1,1,0,0,pixel,"unzoned patch (8-connected, community-pure)","8-connected component within one community, outside every management zone",unzoned standard-grazing country,1988-2022 (35 water years),unweighted mean over the patch's cells,treed_context_flag = 0 AND regime_band <> 'context' AND zone_fid IS NULL,0.06235142839918241,the patch's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. Identical to PARTSCATTER and to the TEMPORAL-1 paddock figure.,"Share of the patch's cells seen wet, MEAN OVER YEARS (%). Rulings AZ / CX - NOT a between-year flood frequency. Mean over the patch's cells of the census parquet's COUNTED per-cell flood_freq_pct, exactly equal to the mean over years of the patch's within-year wet share because valid_years == 35 on every cell.",veg_p05_temporal_mean,500
U0009,2,55.45913,0.33361423,76.05266,0,20.0,Aeolian Chenopod Shrublands,aeolian,0.12470285679836482,0,0,0,0,0,pixel,"unzoned patch (8-connected, community-pure)","8-connected component within one community, outside every management zone",unzoned standard-grazing country,1988-2022 (35 water years),unweighted mean over the patch's cells,treed_context_flag = 0 AND regime_band <> 'context' AND zone_fid IS NULL,0.06235142839918241,the patch's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. Identical to PARTSCATTER and to the TEMPORAL-1 paddock figure.,"Share of the patch's cells seen wet, MEAN OVER YEARS (%). Rulings AZ / CX - NOT a between-year flood frequency. Mean over the patch's cells of the census parquet's COUNTED per-cell flood_freq_pct, exactly equal to the mean over years of the patch's within-year wet share because valid_years == 35 on every cell.",veg_p05_temporal_mean,500
U0010,4,44.324097,2.2626357,69.55394,0,10.0,Aeolian Chenopod Shrublands,aeolian,0.24940571359672964,0,0,0,0,0,pixel,"unzoned patch (8-connected, community-pure)","8-connected component within one community, outside every management zone",unzoned standard-grazing country,1988-2022 (35 water years),unweighted mean over the patch's cells,treed_context_flag = 0 AND regime_band <> 'context' AND zone_fid IS NULL,0.06235142839918241,the patch's own non-treed census cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. Identical to PARTSCATTER and to the TEMPORAL-1 paddock figure.,"Share of the patch's cells seen wet, MEAN OVER YEARS (%). Rulings AZ / CX - NOT a between-year flood frequency. Mean over the patch's cells of the census parquet's COUNTED per-cell flood_freq_pct, exactly equal to the mean over years of the patch's within-year wet share because valid_years == 35 on every cell.",veg_p05_temporal_mean,500
