"patch_id","community_short","n_cells","mean_share_cells_wet","veg_p05_temporal_mean","zoned_predicted","descriptive_offset_pp","offset_note"
"U0538","riverine",18361,3.28678,29.007847,38.1598347612771,-9.15198776127713,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0488","inland",548,4.5776854,43.77376,NA,NA,"outside the zoned water range for this community - no comparison, not extrapolated"
"U0526","riverine",571,4.7085314,45.327793,39.3122097734526,6.01558322654741,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0278","inland",533,6.400429,36.4612,48.6700625521302,-12.2088625521302,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0501","riverine",2904,8.890201,62.44694,41.3216361723737,21.1253038276263,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0544","riverine",19916,9.743494,43.31577,41.3307695854373,1.98500041456268,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0419","inland",17727,10.764693,41.930824,50.534786623302,-8.60396262330201,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0486","inland",31750,13.347491,50.577614,51.7137488389249,-1.13613483892492,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0025","aeolian",3679,13.527744,41.038937,NA,NA,"outside the zoned water range for this community - no comparison, not extrapolated"
"U0467","inland",25833,15.398577,57.297867,52.6864151542349,4.61145184576515,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0021","aeolian",7966,15.739752,49.810383,NA,NA,"outside the zoned water range for this community - no comparison, not extrapolated"
"U0492","inland",906,16.600441,58.628654,53.2646250413825,5.36402895861746,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0249","inland",501,16.806387,57.099255,53.3619208955833,3.73733410441667,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0470","inland",6328,17.244448,57.907066,53.5672793842882,4.33978661571177,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0335","inland",1068,17.833067,55.868843,53.8409275766871,2.02791542331286,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0168","inland",641,18.176956,52.21683,54.0002520357982,-1.78342203579822,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
