subset,line,community,n_patches,residual_mean,residual_median,residual_sd,residual_min,residual_max,fitted,metric,line_note,pre_registered_pooled_offset_pp,size_adjustment,spatial_size_slope_pp_per_decade,EL_bound
all supported patches,line115,all pooled,93,4.185126901124962,5.131916268121394,8.690195632130175,-26.509087226905265,22.36648757097857,yes,veg_p05_spatial,"registered line APPLIED, never refitted; residual = patch mean floor minus the line's prediction at the patch's mean water",2.4,NONE - no residual is adjusted for size anywhere (v2 2.3),,"pooled mixes three communities whose size slopes differ by a factor of 30; read the community rows, not this one"
all supported patches,line115,aeolian,15,7.3587775799608295,10.209482512193553,8.317811248385738,-9.882878806882871,18.319982653859633,yes,veg_p05_spatial,"registered line APPLIED, never refitted; residual = patch mean floor minus the line's prediction at the patch's mean water",2.4,NONE - no residual is adjusted for size anywhere (v2 2.3),-7.64,"BOUNDED - this community's spatial-floor size slope is steep and the size-matched subset cannot be fitted, so the between-unit result cannot be size-controlled on this data"
all supported patches,line115,riverine,24,0.12050291890281262,3.4709064319976015,11.73831962873191,-26.509087226905265,13.897121401977081,yes,veg_p05_spatial,"registered line APPLIED, never refitted; residual = patch mean floor minus the line's prediction at the patch's mean water",2.4,NONE - no residual is adjusted for size anywhere (v2 2.3),-4.41,"BOUNDED - this community's spatial-floor size slope is steep and the size-matched subset cannot be fitted, so the between-unit result cannot be size-controlled on this data"
all supported patches,line115,inland,54,5.110056815769288,4.966436601089793,6.466571772225072,-9.586319634406863,22.36648757097857,yes,veg_p05_spatial,"registered line APPLIED, never refitted; residual = patch mean floor minus the line's prediction at the patch's mean water",2.4,NONE - no residual is adjusted for size anywhere (v2 2.3),-0.23,"INTERPRETABLE WITHOUT SIZE MATCHING - this community's spatial-floor size slope is indistinguishable from zero, so the all-patches result is not size-confounded and EL's bound does not bite here"
all supported patches,line64,all pooled,93,4.218160658064492,5.166115797389239,8.691577866184756,-26.466679111713958,22.40555178060056,yes,veg_p05_spatial,"registered line APPLIED, never refitted; residual = patch mean floor minus the line's prediction at the patch's mean water",2.4,NONE - no residual is adjusted for size anywhere (v2 2.3),,"pooled mixes three communities whose size slopes differ by a factor of 30; read the community rows, not this one"
all supported patches,line64,aeolian,15,7.398399930897539,10.252167503587806,8.317858625399921,-9.841167302383916,18.36130829825389,yes,veg_p05_spatial,"registered line APPLIED, never refitted; residual = patch mean floor minus the line's prediction at the patch's mean water",2.4,NONE - no residual is adjusted for size anywhere (v2 2.3),-7.64,"BOUNDED - this community's spatial-floor size slope is steep and the size-matched subset cannot be fitted, so the between-unit result cannot be size-controlled on this data"
all supported patches,line64,riverine,24,0.15461259399884528,3.5082606866266346,11.739853274471166,-26.466679111713958,13.936367092153866,yes,veg_p05_spatial,"registered line APPLIED, never refitted; residual = patch mean floor minus the line's prediction at the patch's mean water",2.4,NONE - no residual is adjusted for size anywhere (v2 2.3),-4.41,"BOUNDED - this community's spatial-floor size slope is steep and the size-matched subset cannot be fitted, so the between-unit result cannot be size-controlled on this data"
all supported patches,line64,inland,54,5.140782221862266,4.997203432503731,6.468297981945306,-9.54864916098736,22.40555178060056,yes,veg_p05_spatial,"registered line APPLIED, never refitted; residual = patch mean floor minus the line's prediction at the patch's mean water",2.4,NONE - no residual is adjusted for size anywhere (v2 2.3),-0.23,"INTERPRETABLE WITHOUT SIZE MATCHING - this community's spatial-floor size slope is indistinguishable from zero, so the all-patches result is not size-confounded and EL's bound does not bite here"
size-matched (v2 2.3 rule 3),line115,all pooled,11,4.69692400424682,4.14363141971446,6.1714457304122385,-6.99065608039767,13.897121401977081,yes,veg_p05_spatial,"registered line APPLIED, never refitted; residual = patch mean floor minus the line's prediction at the patch's mean water",2.4,NONE - no residual is adjusted for size anywhere (v2 2.3),,"pooled mixes three communities whose size slopes differ by a factor of 30; read the community rows, not this one"
size-matched (v2 2.3 rule 3),line115,aeolian,3,6.017294738690471,8.006348094060009,5.62996241553918,-0.3371971312790052,10.38273325329041,NO - fewer than ten units,veg_p05_spatial,"registered line APPLIED, never refitted; residual = patch mean floor minus the line's prediction at the patch's mean water",2.4,NONE - no residual is adjusted for size anywhere (v2 2.3),-7.64,"BOUNDED - this community's spatial-floor size slope is steep and the size-matched subset cannot be fitted, so the between-unit result cannot be size-controlled on this data"
size-matched (v2 2.3 rule 3),line115,riverine,6,4.015965231792496,3.617431190115081,6.806813851459493,-6.99065608039767,13.897121401977081,NO - fewer than ten units,veg_p05_spatial,"registered line APPLIED, never refitted; residual = patch mean floor minus the line's prediction at the patch's mean water",2.4,NONE - no residual is adjusted for size anywhere (v2 2.3),-4.41,"BOUNDED - this community's spatial-floor size slope is steep and the size-matched subset cannot be fitted, so the between-unit result cannot be size-controlled on this data"
size-matched (v2 2.3 rule 3),line115,inland,2,4.759244219944314,4.759244219944314,8.819907201607787,-1.4773719717486173,10.995860411637246,NO - fewer than ten units,veg_p05_spatial,"registered line APPLIED, never refitted; residual = patch mean floor minus the line's prediction at the patch's mean water",2.4,NONE - no residual is adjusted for size anywhere (v2 2.3),-0.23,"INTERPRETABLE WITHOUT SIZE MATCHING - this community's spatial-floor size slope is indistinguishable from zero, so the all-patches result is not size-confounded and EL's bound does not bite here"
size-matched (v2 2.3 rule 3),line64,all pooled,11,4.732005259692472,4.185236686600078,6.175507780994956,-6.969669746801642,13.936367092153866,yes,veg_p05_spatial,"registered line APPLIED, never refitted; residual = patch mean floor minus the line's prediction at the patch's mean water",2.4,NONE - no residual is adjusted for size anywhere (v2 2.3),,"pooled mixes three communities whose size slopes differ by a factor of 30; read the community rows, not this one"
