patch_id,community_short,n_cells,n_years,slope,r,ac1_resid,fitted,why_not,estimator,metric,cluster,land_use_label
U0001,aeolian,36,35,0.24551296725474378,0.38494168918137217,0.436256426761832,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0008,aeolian,46,35,0.7529387496422971,0.46141847829177757,0.2015310023986044,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0019,aeolian,75,35,0.09595746375221116,0.1735866030626991,0.4136822205259932,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0021,aeolian,7966,35,0.13484954604442037,0.23098430895170355,0.48263513357238147,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0023,aeolian,97,35,5.821299295082219,0.5019716931279762,0.43493886268304566,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0025,aeolian,3679,35,0.18103171796277048,0.2698401644229853,0.44832075299588736,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0026,aeolian,30,35,0.024905230787631866,0.1630635222058906,0.8005045771330621,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0027,aeolian,37,35,0.14242484617084053,0.3171142021557046,0.32999875062531536,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0028,aeolian,215,35,0.07708829688795847,0.22951270978200453,0.5499782194433679,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0031,aeolian,112,35,0.08449869499816971,0.20163738718903987,0.34515128167809433,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0032,aeolian,199,35,0.22687513620809047,0.2866093589417694,0.2335055036820066,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0033,aeolian,95,35,0.37515097895956867,0.29487992973662563,0.36992539154150766,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
