path,bytes,checksum_sha256_first50mb,task,period_label,support_level,land_use_label,checksum_convention,manifest_rule
Output/unzoned/UNZONED_patch_summary.csv,703241,e9dd581d94e2e5772dccbd74453d3bd04475c182545fcde753774147d4243a14,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_regression_coefficients.csv,10972,1c42dff1d0a7ca73e145afe47f748e47dc7bab85ea8afe83d35431dce985c348,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_armA_all_patches.csv,636473,fe5edc685bdc1f6a304dd3698923c48f0f6063ecb7da42827401796bfa7a018e,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_armA_community_support.csv,1690,74d7b4c474a488b0b7887f148bf42af52b2f636d7fc3c144db323d1d2c4c3899,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_armA_descriptive_offsets.csv,1846,099e14d85bd99f9fb8f1018fbe6475aff012a4a1a7e0bac8c80cf1c008d98379,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_armA_per_patch_offsets.csv,6208,fe4774cb354d7b540774edaddd448322e048c82ea2c5291c3059cb8d30b69e86,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_armA_scatter_input.csv,40301,b3b1ca77f08d665f162c5e01e60a8fc75cbd857fb2aff35bdf1a435da505d702,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_armA_selection_counts.csv,427,af9a582d180323426ce176f7371359c9cd43069a12b898fdab7f9f9992901890,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_armA_size_matched.csv,162,80fdf0a2e653fff6cfa42aa069b47ffddb9d75760b8ce1d2a30ed8cbd59f6281,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_armB_ar1_fit.csv,1165,66e11cdde139f7524073295684415b3f310bd9daf9a3d2675de7fedf374c1eff,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
