"scope","residual_definition","n","slope_pp_per_decade","r","log10_cells_min","log10_cells_max","fork_branch","fork_rule","support_level","unit","period_label","metric"
"pooled","resid_per_community",100,1.15741928078716,0.0848727255556703,2.76937732607614,4.51053160584908,"EXPECTATION FAILED","materially smaller in magnitude than the spatial comparator = |temporal| < 0.5 x |spatial| on the like-for-like pooled residual; otherwise Arm A additionally reports the size-matched subset per v2 section 2.3 rule 3","pixel","paddock x community part (zoned)","1988-2022 (35 water years)","veg_p05_temporal_mean"
"aeolian","resid_per_community",12,3.03185043437279,0.278134522308325,2.78887511577542,4.21890295086283,"EXPECTATION FAILED","materially smaller in magnitude than the spatial comparator = |temporal| < 0.5 x |spatial| on the like-for-like pooled residual; otherwise Arm A additionally reports the size-matched subset per v2 section 2.3 rule 3","pixel","paddock x community part (zoned)","1988-2022 (35 water years)","veg_p05_temporal_mean"
"riverine","resid_per_community",27,-1.55447440058539,-0.110720103399697,2.79448804665917,4.35343533785616,"EXPECTATION FAILED","materially smaller in magnitude than the spatial comparator = |temporal| < 0.5 x |spatial| on the like-for-like pooled residual; otherwise Arm A additionally reports the size-matched subset per v2 section 2.3 rule 3","pixel","paddock x community part (zoned)","1988-2022 (35 water years)","veg_p05_temporal_mean"
"inland","resid_per_community",61,2.80997038401614,0.178031633129581,2.76937732607614,4.51053160584908,"EXPECTATION FAILED","materially smaller in magnitude than the spatial comparator = |temporal| < 0.5 x |spatial| on the like-for-like pooled residual; otherwise Arm A additionally reports the size-matched subset per v2 section 2.3 rule 3","pixel","paddock x community part (zoned)","1988-2022 (35 water years)","veg_p05_temporal_mean"
"pooled","resid_pooled_line",100,2.68408948012242,0.178152264778564,2.76937732607614,4.51053160584908,"EXPECTATION FAILED","materially smaller in magnitude than the spatial comparator = |temporal| < 0.5 x |spatial| on the like-for-like pooled residual; otherwise Arm A additionally reports the size-matched subset per v2 section 2.3 rule 3","pixel","paddock x community part (zoned)","1988-2022 (35 water years)","veg_p05_temporal_mean"
"aeolian","resid_pooled_line",12,1.46426438033229,0.105982697965721,2.78887511577542,4.21890295086283,"EXPECTATION FAILED","materially smaller in magnitude than the spatial comparator = |temporal| < 0.5 x |spatial| on the like-for-like pooled residual; otherwise Arm A additionally reports the size-matched subset per v2 section 2.3 rule 3","pixel","paddock x community part (zoned)","1988-2022 (35 water years)","veg_p05_temporal_mean"
"riverine","resid_pooled_line",27,-1.53768869387991,-0.107182058244401,2.79448804665917,4.35343533785616,"EXPECTATION FAILED","materially smaller in magnitude than the spatial comparator = |temporal| < 0.5 x |spatial| on the like-for-like pooled residual; otherwise Arm A additionally reports the size-matched subset per v2 section 2.3 rule 3","pixel","paddock x community part (zoned)","1988-2022 (35 water years)","veg_p05_temporal_mean"
"inland","resid_pooled_line",61,3.57365451325464,0.214718847636099,2.76937732607614,4.51053160584908,"EXPECTATION FAILED","materially smaller in magnitude than the spatial comparator = |temporal| < 0.5 x |spatial| on the like-for-like pooled residual; otherwise Arm A additionally reports the size-matched subset per v2 section 2.3 rule 3","pixel","paddock x community part (zoned)","1988-2022 (35 water years)","veg_p05_temporal_mean"
"pooled","SPATIAL floor comparator",115,-2.01420290990728,-0.166298649857912,1.51851393987789,4.51053160584908,"EXPECTATION FAILED","materially smaller in magnitude than the spatial comparator = |temporal| < 0.5 x |spatial| on the like-for-like pooled residual; otherwise Arm A additionally reports the size-matched subset per v2 section 2.3 rule 3","pixel","paddock x community part (zoned)","1988-2022 (35 water years)","veg_p05_spatial"
"aeolian","SPATIAL floor comparator",17,-7.64448066050773,-0.53071533364018,1.51851393987789,4.21890295086283,"EXPECTATION FAILED","materially smaller in magnitude than the spatial comparator = |temporal| < 0.5 x |spatial| on the like-for-like pooled residual; otherwise Arm A additionally reports the size-matched subset per v2 section 2.3 rule 3","pixel","paddock x community part (zoned)","1988-2022 (35 water years)","veg_p05_spatial"
"riverine","SPATIAL floor comparator",37,-4.41220913374423,-0.313797830180429,1.63346845557959,4.35343533785616,"EXPECTATION FAILED","materially smaller in magnitude than the spatial comparator = |temporal| < 0.5 x |spatial| on the like-for-like pooled residual; otherwise Arm A additionally reports the size-matched subset per v2 section 2.3 rule 3","pixel","paddock x community part (zoned)","1988-2022 (35 water years)","veg_p05_spatial"
"inland","SPATIAL floor comparator",61,-0.23012617124066,-0.0189462298925782,2.76937732607614,4.51053160584908,"EXPECTATION FAILED","materially smaller in magnitude than the spatial comparator = |temporal| < 0.5 x |spatial| on the like-for-like pooled residual; otherwise Arm A additionally reports the size-matched subset per v2 section 2.3 rule 3","pixel","paddock x community part (zoned)","1988-2022 (35 water years)","veg_p05_spatial"
