cut_year,n_pre_years,n_post_years,freq_pre_pct,freq_post_pct,diff_pp,flow_pre_mld,flow_post_mld,q_ratio,is_real,law_predicted_pp,residual_pp,residual_sd,independent_window
1994,5,5,45.455,27.273,-18.182,10647.9,5224.6,0.4907,False,-10.813,-7.369,-1.86,True
1995,6,5,45.202,29.091,-16.111,10666.9,5377.3,0.5041,False,-10.321,-5.79,-1.47,False
1996,7,5,40.043,30.0,-10.043,9604.0,5205.0,0.542,False,-8.996,-1.047,-0.26,False
1997,8,5,39.394,24.242,-15.152,9242.5,4226.2,0.4573,False,-12.101,-3.051,-0.77,False
1998,9,5,39.226,30.606,-8.62,9069.8,3960.8,0.4367,False,-12.943,4.323,1.09,False
1999,10,5,36.212,22.424,-13.788,8486.1,3311.4,0.3902,False,-15.0,1.212,0.31,True
2000,11,5,37.052,21.212,-15.84,8193.1,2944.7,0.3594,False,-16.503,0.663,0.17,False
2001,12,5,35.48,19.091,-16.389,7842.9,2372.7,0.3025,False,-19.652,3.263,0.83,False
2002,13,5,35.781,17.576,-18.205,7689.6,2101.7,0.2733,False,-21.507,3.302,0.84,False
2003,14,5,33.874,10.606,-23.268,7340.0,1978.5,0.2696,False,-21.756,-1.512,-0.38,False
2004,15,5,34.343,10.303,-24.04,6977.7,1752.5,0.2512,False,-23.047,-0.993,-0.25,True
2005,16,5,32.481,13.333,-19.148,6667.6,1628.5,0.2442,False,-23.564,4.416,1.12,False
2006,17,5,31.283,22.727,-8.556,6402.2,3371.8,0.5267,False,-9.519,0.963,0.24,False
2007,18,5,31.145,32.424,1.279,6212.7,5351.6,0.8614,False,-0.531,1.81,0.46,False
2008,19,5,29.585,36.97,7.384,5961.5,6268.6,1.0515,False,3.112,4.272,1.08,False
2009,20,5,28.409,41.515,13.106,5727.9,6701.1,1.1699,False,5.062,8.044,2.04,True
2010,21,5,27.201,40.0,12.799,5497.3,7090.4,1.2898,False,6.845,5.954,1.51,False
2011,22,5,27.204,27.879,0.675,5317.3,5577.7,1.049,False,3.069,-2.394,-0.61,False
2012,23,5,29.315,29.394,0.079,5595.1,5539.0,0.99,False,2.011,-1.932,-0.49,False
2013,24,5,30.177,26.061,-4.116,5834.4,5048.6,0.8653,False,-0.449,-3.667,-0.93,False
2014,25,5,30.121,25.758,-4.364,5836.0,4846.8,0.8305,False,-1.199,-3.165,-0.8,True
2015,26,5,29.953,24.545,-5.408,5728.8,4535.3,0.7917,False,-2.073,-3.335,-0.84,False
2016,27,5,29.574,26.97,-2.604,5645.6,4407.5,0.7807,False,-2.328,-0.276,-0.07,False
2017,28,5,29.058,26.364,-2.695,5592.0,5236.7,0.9365,False,0.996,-3.691,-0.93,False
2018,29,5,30.042,41.515,11.473,5783.5,6817.2,1.1787,True,5.199,6.274,1.59,False
