unit,slug,n_parts,n_sites,area_ha,communities,sites,map,sites_drawn,sites_expected,gap_source,docx,pages
Bala 1,Bala_1,2,0,631.370563,multi,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_1.docx,5
Bala 12,Bala_12,2,1,970.874092,multi,some,c1,True,1,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_12.docx,5
Bala 13,Bala_13,1,0,795.728929,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_13.docx,4
Bala 14/16,Bala_14-16,2,0,547.133786,multi,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_14-16.docx,5
Bala 15,Bala_15,1,0,528.428355,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_15.docx,4
Bala 17,Bala_17,1,1,746.346597,single,some,c1,True,1,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_17.docx,4
Bala 18,Bala_18,2,0,754.2028770000001,multi,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_18.docx,5
Bala 19,Bala_19,1,1,831.2692440000001,single,some,c1,True,1,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_19.docx,4
Bala 2,Bala_2,2,0,1748.521107,multi,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_2.docx,5
Bala 20,Bala_20,3,2,788.932623,multi,some,c1,True,2,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_20.docx,5
Bala 21,Bala_21,1,1,639.600953,single,some,c1,True,1,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_21.docx,4
Bala 22,Bala_22,1,0,328.342622,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_22.docx,4
Bala 23,Bala_23,2,1,1519.441957,multi,some,c1,True,1,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_23.docx,5
Bala 24,Bala_24,1,0,353.345545,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_24.docx,4
Bala 25,Bala_25,1,0,568.333269,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_25.docx,4
Bala 26ca,Bala_26ca,2,3,2059.779438,multi,some,c1,True,3,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_26ca.docx,5
Bala 27ca,Bala_27ca,1,0,1490.69795,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_27ca.docx,4
Bala 28ca,Bala_28ca,2,8,1370.8585050000002,multi,some,c1,True,8,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_28ca.docx,5
Bala 29ca,Bala_29ca,3,10,2286.800987,multi,some,c1,True,10,T10_annual_gap_series.csv :: C_29ca,D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_29ca.docx,5
Bala 3,Bala_3,1,0,1292.233354,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_3.docx,4
Bala 4,Bala_4,1,0,347.79626799999994,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Bala_4.docx,4
