path,bytes,mtime_utc,date_class,ext,registered_in,asset_id,path_exists_flag
Output/Gayini_analysis_variable_LUT_20260715.xlsx,22851,2026-07-15T10:21:46Z,prior,xlsx,none,,
Output/Output_search.txt,343,2026-06-23T00:26:58Z,prior,txt,none,,
Output/census/gayini_pixel_census_8058.parquet,26724747,2026-07-17T00:05:28Z,current,parquet,census_asset,census_pixel_8058,1
Output/census/summaries/census_community_flood_freq_means.csv,368,2026-07-20T02:06:36Z,current,csv,none,,
Output/census/summaries/census_flood_zone_by_community.csv,1595,2026-07-20T02:05:48Z,current,csv,none,,
Output/census/summaries/census_percentile_by_community.csv,2023,2026-07-20T02:05:46Z,current,csv,none,,
Output/cleanup_R_terra_temp.ps1,5019,2026-06-13T01:42:16Z,prior,ps1,none,,
Output/csv/.gitkeep,0,2026-06-07T17:32:00Z,prior,,none,,
Output/csv/MER/flow_mer_repo_comparison_table_20260627.csv,5547,2026-06-27T02:51:24Z,prior,csv,none,,
Output/csv/MER/gayini_mer_raster_gap_census_20260627.csv,1769,2026-06-27T02:52:06Z,prior,csv,none,,
Output/csv/MER/mer_adrian_questions.csv,1277,2026-06-27T08:49:38Z,prior,csv,none,,
Output/csv/MER/mer_annual_max_by_plot.csv,177019,2026-06-27T08:53:54Z,prior,csv,none,,
Output/csv/MER/mer_input_files_inventory.csv,1684,2026-06-27T08:49:38Z,prior,csv,none,,
Output/csv/MER/mer_keep_defer_archive_decisions.csv,2106,2026-06-27T08:49:38Z,prior,csv,none,,
Output/csv/MER/mer_metric_definitions.csv,2339,2026-06-27T08:49:38Z,prior,csv,none,,
Output/csv/MER/mer_output_files_inventory.csv,1975,2026-06-27T08:49:38Z,prior,csv,none,,
Output/csv/MER/mer_period_summary_by_plot.csv,22626,2026-06-27T08:53:54Z,prior,csv,none,,
Output/csv/MER/mer_period_summary_by_vegetation_group.csv,1079,2026-06-27T08:53:54Z,prior,csv,none,,
Output/csv/MER/mer_raster_input_census_production.csv,102667,2026-06-27T05:05:42Z,prior,csv,none,,
Output/csv/MER/mer_raster_input_summary_by_water_year.csv,3577,2026-06-27T04:57:14Z,prior,csv,none,,
Output/csv/MER/mer_raster_output_manifest.csv,30982,2026-06-27T05:05:48Z,prior,csv,none,,
Output/csv/MER/mer_raster_review_figure_manifest.csv,1871,2026-06-27T08:54:26Z,prior,csv,none,,
Output/csv/MER/mer_recommended_figures.csv,1085,2026-06-27T08:49:38Z,prior,csv,none,,
Output/csv/MER/mer_vs_annual_occurrence_agreement_summary.csv,883,2026-06-27T08:49:38Z,prior,csv,none,,
Output/csv/MER/mer_vs_annual_occurrence_plot_review_flags.csv,7365,2026-06-27T08:49:38Z,prior,csv,none,,
Output/csv/MER/mer_vs_annual_occurrence_raster_comparison_by_plot.csv,15287,2026-06-27T08:53:54Z,prior,csv,none,,
Output/csv/MER/mer_vs_annual_occurrence_raster_comparison_summary.csv,478,2026-06-27T08:53:54Z,prior,csv,none,,
Output/csv/MER/raster_build/flow_mer_vs_gayini_rs_data_census.csv,6846,2026-06-27T03:12:10Z,prior,csv,none,,
Output/csv/MER/raster_build/mer_raster_smoke_test_plot_qa.csv,32008,2026-06-27T03:46:32Z,prior,csv,none,,
