referencing_script,prior_input_path,prior_input_mtime_utc,prior_input_registered_in,prior_input_asset_id
R/gayini_dashboard_compose.R,Output/diagnostics/f6_stratum_annual_series.csv,2026-07-09T04:55:28Z,none,
R/gayini_dashboard_compose.R,Output/diagnostics/f6_verdict_summary.csv,2026-07-09T04:55:30Z,none,
R/gayini_dashboard_compose.R,Output/diagnostics/regime_band_breaks.csv,2026-07-09T02:10:00Z,none,
R/gayini_dashboard_compose.R,Output/rasters/background_flood_frequency_8058.tif,2026-07-09T02:09:58Z,none,
R/gayini_dashboard_compose.R,Output/rasters/inundation_annual_stack/annual_valid_any_1988_2023.tif,2026-07-07T02:24:56Z,raster_asset,stack_annual_valid_any_1988_2023
R/gayini_dashboard_compose.R,Output/rasters/inundation_annual_stack/annual_wet_any_1988_2023.tif,2026-07-07T02:24:46Z,raster_asset,stack_annual_wet_any_1988_2023
R/gayini_dashboard_compose.R,Output/rasters/veg_regime_class_8058.tif,2026-07-10T06:15:30Z,raster_asset,raster_veg_regime_class_8058
R/gayini_dashboard_compose.R,Output/review_bundles/tier1_pixel_census/diagnostics/regime_band_breaks.csv,2026-07-10T00:44:50Z,none,
R/gayini_dashboard_compose.R,Output/review_bundles/tier1_veg_regime_checkerboard/diagnostics/regime_band_breaks.csv,2026-07-10T06:16:56Z,none,
R/gayini_dashboard_compose.R,Output/review_bundles/tier1c2_f5_legibility/diagnostics/regime_band_breaks.csv,2026-07-09T02:59:20Z,none,
R/gayini_dashboard_compose.R,Output/review_bundles/tier1c3_f5_figures/diagnostics/regime_band_breaks.csv,2026-07-10T01:02:20Z,none,
R/gayini_dashboard_compose.R,Output/review_bundles/tier1c_stratified_sampling/diagnostics/regime_band_breaks.csv,2026-07-09T02:10:46Z,none,
R/gayini_dashboard_compose.R,Output/review_bundles/tier1c_stratified_sampling/spatial/background_flood_frequency_8058.tif,2026-07-09T02:10:46Z,none,
R/gayini_dashboard_compose.R,Output/review_bundles/tier1d_trend_test/diagnostics/f6_stratum_annual_series.csv,2026-07-09T04:55:36Z,none,
R/gayini_dashboard_compose.R,Output/review_bundles/tier1d_trend_test/diagnostics/f6_verdict_summary.csv,2026-07-09T04:55:36Z,none,
R/gayini_dashboard_compose.R,Output/spatial_8058/gayini_boundary_epsg8058.gpkg,2026-07-08T02:09:32Z,none,
R/gayini_dashboard_compose.R,Output/spatial_8058/gayini_hectare_plots_epsg8058.gpkg,2026-07-08T02:09:32Z,none,
R/gayini_dashboard_compose.R,Output/spatial_8058/management_zones_epsg8058.gpkg,2026-07-08T02:09:34Z,none,
R/gayini_dashboard_compose.R,Output/spatial_8058/vegetation_communities_epsg8058.gpkg,2026-07-08T02:09:32Z,none,
R/gayini_gradient_helpers.R,Output/figures/figures_manifest.csv,2026-07-14T07:03:06Z,none,
R/gayini_gradient_helpers.R,Output/review_bundles/tier1G_figures_dashboards/figures_manifest.csv,2026-07-14T07:03:06Z,none,
R/gayini_gradient_helpers.R,Output/review_bundles/tier1_dashboards_trial/figures_manifest.csv,2026-07-10T06:13:56Z,none,
R/gayini_gradient_helpers.R,Output/review_bundles/tier1_pixel_census/figures_manifest.csv,2026-07-10T00:44:48Z,none,
R/gayini_gradient_helpers.R,Output/review_bundles/tier1_veg_regime_checkerboard/figures_manifest.csv,2026-07-10T06:16:56Z,none,
R/gayini_gradient_helpers.R,Output/review_bundles/tier1b_descriptive_figures/figures_manifest.csv,2026-07-08T07:17:22Z,none,
R/gayini_gradient_helpers.R,Output/review_bundles/tier1c2_f5_legibility/figures_manifest.csv,2026-07-09T02:59:20Z,none,
R/gayini_gradient_helpers.R,Output/review_bundles/tier1c3_f5_figures/figures_manifest.csv,2026-07-10T01:02:20Z,none,
R/gayini_gradient_helpers.R,Output/review_bundles/tier1c_stratified_sampling/figures_manifest.csv,2026-07-09T02:10:46Z,none,
