figure_number,pack_item,section,source_filename,provenance,embedding_note,sha256_embedded,docx_media_id,in_docx
1,,3 substrate,M2_all_pixel_method.png,extracted from Gayini_Veg_samples_ALLPIXEL_v6_20260724.pptx,resampled to 2000 px long edge,47dc695cef0887dccaac39b559fe87d527db2ad6e33af607a6df5a77ddd076a5,68107599beb0352e1759e0bc30bd953ad72ecfee,Y
2,,3.1 stratification,C1_checkerboard_farm.png,extracted from Gayini_Veg_samples_ALLPIXEL_v6_20260724.pptx,resampled to 2000 px long edge,ac67fcfbc1e2e0acf1b1597bbdfc50e685027544644f7dc4e00ff6002e9a3deb,812199e09957d3be743beb428bad283188a9aa08,Y
3,,7.1 flooding,S_annual_wet_extent_flow.png,extracted from Gayini_Veg_samples_ALLPIXEL_v6_20260724.pptx,resampled to 2000 px long edge,efb163bc82941cc7774126ed2aad71f92088abcae95445c0181ede379dc3f4ff,9c8d65c8b101de124e34ecdb28deb4deff21d75e,Y
4,,7.1 flooding,S21_flood_trend_census.png,extracted from Gayini_Veg_samples_ALLPIXEL_v6_20260724.pptx,resampled to 2000 px long edge,a1fd3001be6eabc2b521c70ebbf143fb80991e834a066c0073c60d32ba72b37b,0ee48ed1edb6bf565c72f9a49670e6f192f929f7,Y
5,,7.1 flooding,H6_absolute_flood_zones.png,extracted from Gayini_Veg_samples_ALLPIXEL_v6_20260724.pptx,resampled to 2000 px long edge,06b36011f2a945ac2cc865df7b206ca2884a5e5687ada46fd351a5bc9a52f041,39f22f2431419c04f32cbdebd5d1ba16cc0c9cae,Y
6,,7.2 floor vs typical,S_veg_water_percentile_fan.png,supplied to design seat directly,unmodified,2ec291ce42d0284e9b87b6f75afdb95715f433a5aba98b8f1669b8c1aabd87dc,bc86e0e44a9d83af3a18297d17c9e175fbeeb4c0,Y
7,,7.3 response,S26_response_matrix.png,supplied to design seat directly,unmodified,e6af2db39d823a0502bafbf6f0fd927e542c8b26ef27711183ee13bd9d9618ab,d60ef8ad44c81fc1882935a0e5378b937609592d,Y
8,,7.4 persistence,S_floor_and_typical_mapped.png,extracted from Gayini_Veg_samples_ALLPIXEL_v6_20260724.pptx,resampled to 2000 px long edge,d95ca1e541c8a03061a114e48887c8f1b2faba7b31dbe96b887a8d877ea1a6cb,1d041ecf6dac80765575e2cc70177d4a39ada486,Y
9,,7.4 persistence,T3_B2_green_share_map.png,supplied to design seat directly,resampled to 1900 px long edge,04f2d853712764b8798ab3e80ee32d1a96cc599f5a4f93848aa8935e63ee6428,54d28e6913c2e473080e88274449a5d285ad4e88,Y
10,,7.4 persistence,T3_C_persistence_map.png,supplied to design seat directly,resampled to 1900 px long edge,cdb41a2ef04a46a3159cc6fbc08459a1b9755a0a39e49324103094273da31dd5,6c6f3a7b730130548bed9e7133d0745cf338337a,Y
